time:1217, count:105
time:8, count:4
time:13, count:61
time:9, count:23
time:25, count:241
time:12, count:57
time:10, count:25
time:11, count:84
time:10, count:44
time:7, count:32
time:13, count:76
time:12, count:127
time:9, count:16
time:6, count:13
time:7, count:44
time:10, count:138
time:9, count:38
time:9, count:66
time:10, count:113
time:7, count:7
time:6, count:20
time:7, count:26
time:9, count:100
time:7, count:52
time:6, count:61
time:9, count:103
time:13, count:241
time:8, count:71
time:9, count:101
time:5, count:2
time:6, count:47
time:9, count:103
time:7, count:64
time:8, count:91
time:9, count:63
time:7, count:49
time:6, count:42
time:6, count:35
time:6, count:40
time:6, count:12
time:7, count:133
time:5, count:10
time:6, count:100
time:6, count:67
time:11, count:181
time:6, count:35
time:4, count:15
time:9, count:146
time:10, count:108
time:5, count:15
time:7, count:27
time:5, count:44
time:5, count:23
time:9, count:241
time:5, count:21
time:7, count:89
time:7, count:15
time:7, count:28
time:6, count:5
time:5, count:17
time:7, count:119
time:6, count:98
time:6, count:66
time:6, count:41
time:8, count:72
time:5, count:48
time:10, count:225
time:5, count:7
time:4, count:30
time:5, count:21
time:5, count:45
time:5, count:25
time:6, count:70
time:9, count:241
time:8, count:95
time:5, count:61
time:5, count:32
time:8, count:77
time:7, count:104
time:11, count:241
time:7, count:80
time:6, count:54
time:6, count:30
time:4, count:21
time:8, count:67
time:7, count:88
time:4, count:2
time:7, count:64
time:5, count:22
time:6, count:27
time:7, count:35
time:10, count:241
time:9, count:41
time:7, count:109
time:9, count:172
time:5, count:23
time:6, count:84
time:6, count:92
time:5, count:12
time:5, count:44
time:6, count:82
time:6, count:71
time:7, count:117
time:5, count:40
time:5, count:20
time:5, count:3
time:3, count:8
time:5, count:94
time:4, count:50
time:8, count:177
time:8, count:22
time:5, count:17
time:6, count:26
time:4, count:7
time:5, count:83
time:7, count:129
time:6, count:127
time:4, count:27
time:6, count:66
time:5, count:12
time:5, count:66
time:5, count:56
time:6, count:47
time:5, count:58
time:4, count:8
time:5, count:57
time:6, count:59
time:8, count:169
time:4, count:2
time:4, count:39
time:5, count:37
time:6, count:92
time:7, count:140
time:5, count:61
time:6, count:115
time:4, count:17
time:4, count:26
time:5, count:19
time:5, count:76
time:4, count:11
time:5, count:46
time:4, count:49
time:7, count:86
time:6, count:72
time:6, count:66
time:5, count:52
time:5, count:20
time:4, count:14
time:7, count:103
time:5, count:103
time:6, count:125
