time:1294, count:234
time:47, count:7
time:81, count:270
time:44, count:258
time:52, count:94
time:69, count:661
time:33, count:105
time:105, count:1155
time:26, count:44
time:44, count:264
time:29, count:162
time:25, count:4
time:19, count:1
time:42, count:210
time:25, count:54
time:66, count:693
time:49, count:561
time:46, count:91
time:34, count:115
time:62, count:1098
time:37, count:589
time:60, count:794
time:29, count:26
time:45, count:348
time:34, count:104
time:96, count:1091
time:36, count:176
time:23, count:123
time:36, count:300
time:22, count:4
time:41, count:290
time:37, count:35
time:26, count:32
time:18, count:2
time:27, count:127
time:47, count:280
time:42, count:282
time:31, count:92
time:23, count:38
time:41, count:361
time:29, count:190
time:42, count:295
time:58, count:791
time:22, count:71
time:39, count:370
time:77, count:861
time:22, count:57
time:43, count:330
time:34, count:166
time:18, count:1
time:66, count:1298
time:55, count:336
time:23, count:142
time:72, count:493
time:36, count:271
time:52, count:600
time:21, count:80
time:22, count:21
time:45, count:5
time:28, count:215
time:26, count:46
time:32, count:323
time:46, count:283
time:33, count:242
time:22, count:102
time:52, count:882
time:36, count:200
time:68, count:153
time:22, count:26
time:50, count:806
time:21, count:26
time:63, count:1251
time:27, count:249
time:38, count:30
time:21, count:48
time:18, count:88
time:25, count:89
time:17, count:24
time:58, count:995
time:28, count:98
time:27, count:88
time:51, count:582
time:21, count:28
time:22, count:22
time:24, count:115
time:18, count:95
time:36, count:210
time:26, count:282
time:23, count:32
time:66, count:803
time:45, count:273
time:24, count:74
time:17, count:85
time:23, count:134
time:49, count:898
time:30, count:298
time:34, count:675
time:21, count:97
time:25, count:84
time:17, count:6
time:18, count:27
time:20, count:18
time:28, count:222
time:22, count:49
time:48, count:423
time:22, count:45
time:29, count:435
time:70, count:839
time:32, count:147
time:27, count:194
time:36, count:392
time:29, count:161
time:36, count:553
time:72, count:907
time:68, count:1140
time:25, count:140
time:27, count:151
time:88, count:1516
time:40, count:586
time:24, count:98
time:95, count:1054
time:16, count:5
time:16, count:1
time:24, count:183
time:78, count:2127
time:19, count:32
time:59, count:154
time:26, count:111
time:23, count:36
time:41, count:439
time:84, count:2359
time:21, count:55
time:64, count:396
time:60, count:1097
time:71, count:861
time:21, count:4
time:84, count:1256
time:49, count:768
time:44, count:244
time:29, count:186
