time:1365, count:6
time:17, count:1
time:276, count:109
time:123, count:332
time:152, count:171
time:150, count:68
time:150, count:5
time:877, count:468
time:42, count:1
time:115, count:49
time:71, count:104
time:8, count:1
time:14, count:8
time:39, count:20
time:46, count:2
time:251, count:715
time:386, count:631
time:30, count:3
time:61, count:42
time:359, count:162
time:268, count:7
time:610, count:932
time:24, count:4
time:430, count:118
time:358, count:160
time:607, count:17
time:56, count:120
time:23, count:69
time:77, count:151
time:33, count:37
time:83, count:2
time:85, count:1
time:39, count:9
time:6, count:1
time:61, count:301
time:88, count:21
time:320, count:93
time:36, count:9
time:42, count:55
time:181, count:227
time:143, count:62
time:139, count:77
time:190, count:501
time:77, count:724
time:72, count:210
time:463, count:84
time:75, count:11
time:421, count:477
time:69, count:7
time:6, count:1
time:352, count:319
time:388, count:547
time:81, count:53
time:214, count:48
time:221, count:101
time:431, count:49
time:93, count:53
time:119, count:60
time:29, count:19
time:136, count:135
time:47, count:12
time:55, count:66
time:348, count:22
time:105, count:102
time:46, count:25
time:338, count:137
time:88, count:12
time:90, count:83
time:32, count:6
time:33, count:116
time:20, count:12
time:453, count:1069
time:68, count:164
time:56, count:55
time:33, count:29
time:31, count:74
time:73, count:12
time:11, count:12
time:355, count:39
time:41, count:12
time:69, count:222
time:531, count:687
time:25, count:23
time:70, count:61
time:48, count:29
time:49, count:18
time:183, count:245
time:267, count:23
time:82, count:87
time:439, count:1142
time:116, count:9
time:118, count:105
time:17, count:46
time:11, count:26
time:413, count:169
time:77, count:323
time:203, count:341
time:19, count:32
time:83, count:50
time:20, count:5
time:53, count:101
time:63, count:6
time:124, count:143
time:114, count:361
time:152, count:103
time:24, count:11
time:73, count:18
time:438, count:255
time:147, count:259
time:79, count:708
time:98, count:18
time:33, count:1
time:134, count:960
time:145, count:58
time:647, count:293
time:190, count:74
time:68, count:161
time:916, count:711
time:21, count:77
time:48, count:222
time:484, count:17
time:40, count:43
time:5, count:1
time:95, count:202
time:680, count:487
time:38, count:81
time:454, count:89
time:16, count:47
time:36, count:167
time:254, count:134
time:538, count:734
time:115, count:141
time:229, count:68
time:58, count:143
time:224, count:499
time:6, count:4
time:541, count:16
time:192, count:76
time:428, count:84
time:98, count:85
time:309, count:13
time:33, count:31
time:6, count:2
time:131, count:128
time:210, count:53
time:13, count:19
time:397, count:712
time:163, count:196
time:365, count:32
time:177, count:312
time:183, count:117
time:78, count:105
time:17, count:172
time:9, count:1
time:233, count:33
time:159, count:226
time:170, count:77
time:72, count:8
time:325, count:6
time:100, count:165
time:53, count:34
time:226, count:142
time:6, count:1
time:383, count:53
time:24, count:39
time:103, count:94
time:112, count:242
time:374, count:778
time:6, count:1
time:106, count:107
time:428, count:542
time:289, count:32
time:362, count:299
time:46, count:7
time:120, count:31
time:74, count:17
time:33, count:40
time:339, count:248
time:363, count:120
time:299, count:227
time:121, count:79
time:267, count:7
time:251, count:407
time:114, count:6
time:23, count:2
time:22, count:6
time:144, count:395
time:34, count:2
time:51, count:44
time:32, count:20
time:38, count:17
time:9, count:24
time:245, count:153
time:325, count:353
time:49, count:149
time:11, count:4
time:46, count:22
time:26, count:48
time:20, count:26
time:210, count:54
time:698, count:83
time:52, count:100
time:613, count:75
time:202, count:415
time:37, count:20
time:139, count:383
time:258, count:118
time:302, count:14
time:32, count:146
time:107, count:205
time:240, count:109
time:278, count:515
time:34, count:79
time:402, count:33
time:9, count:2
time:46, count:53
time:43, count:69
time:10, count:27
time:295, count:188
time:194, count:175
time:7, count:3
time:280, count:680
time:139, count:882
time:163, count:89
time:326, count:439
time:6, count:2
time:111, count:111
time:20, count:141
time:187, count:24
time:106, count:51
time:146, count:52
time:76, count:29
time:27, count:3
time:85, count:20
time:93, count:5
time:262, count:120
time:201, count:15
time:110, count:759
time:378, count:21
time:94, count:424
time:354, count:283
time:368, count:25
time:79, count:61
time:7, count:1
time:86, count:255
time:11, count:27
time:98, count:10
time:8, count:3
time:84, count:449
time:53, count:77
time:9, count:22
time:247, count:54
time:39, count:3
time:326, count:45
time:267, count:38
time:70, count:3
time:40, count:35
time:81, count:24
time:70, count:29
time:222, count:523
time:394, count:107
time:213, count:490
time:11, count:18
time:67, count:26
time:184, count:671
time:479, count:87
time:273, count:17
time:9, count:4
time:8, count:27
time:236, count:42
time:18, count:2
time:6, count:1
time:91, count:109
time:174, count:256
time:132, count:323
time:112, count:385
time:50, count:9
time:177, count:165
time:76, count:1
time:66, count:49
time:260, count:161
time:419, count:18
time:11, count:1
time:66, count:366
time:71, count:105
time:14, count:4
time:54, count:11
time:71, count:133
time:89, count:135
time:253, count:769
time:10, count:4
time:77, count:79
time:300, count:177
time:67, count:16
time:102, count:129
time:7, count:1
time:88, count:375
time:839, count:231
time:25, count:113
time:7, count:3
time:27, count:5
time:66, count:52
time:106, count:174
time:7, count:12
time:126, count:75
time:337, count:132
time:196, count:120
time:21, count:57
time:91, count:18
time:65, count:28
time:62, count:32
time:16, count:9
time:91, count:353
time:276, count:848
time:340, count:53
time:349, count:59
time:163, count:14
time:11, count:8
time:35, count:77
time:201, count:134
time:61, count:155
time:21, count:10
time:98, count:100
time:16, count:17
time:312, count:538
time:12, count:8
time:390, count:277
time:54, count:3
time:75, count:123
time:113, count:324
time:11, count:1
time:8, count:1
time:118, count:16
time:20, count:3
time:114, count:45
time:251, count:45
time:493, count:261
time:34, count:1
time:176, count:140
time:77, count:3
time:202, count:468
time:355, count:58
time:22, count:1
time:29, count:12
time:327, count:71
time:52, count:79
time:439, count:41
time:201, count:50
time:7, count:3
time:59, count:34
time:26, count:18
time:472, count:1321
time:124, count:215
time:37, count:34
time:350, count:69
time:326, count:105
time:106, count:2
time:72, count:4
time:233, count:151
time:249, count:61
time:178, count:227
time:156, count:258
time:21, count:1
time:164, count:156
time:75, count:61
time:220, count:48
time:69, count:40
time:43, count:3
time:200, count:8
time:7, count:2
time:17, count:5
time:398, count:563
time:23, count:33
time:70, count:56
time:89, count:179
time:71, count:63
time:108, count:24
time:5, count:1
time:155, count:187
time:82, count:37
time:13, count:5
time:6, count:1
time:164, count:305
time:609, count:685
time:56, count:24
time:540, count:123
time:85, count:8
time:21, count:38
time:72, count:14
time:27, count:98
time:134, count:70
time:138, count:21
time:38, count:43
time:39, count:34
time:169, count:40
time:48, count:49
time:342, count:67
time:105, count:44
time:191, count:116
time:206, count:57
time:143, count:137
time:731, count:1212
time:8, count:3
time:174, count:1
time:165, count:29
time:150, count:11
time:127, count:126
time:91, count:184
time:78, count:24
time:175, count:77
time:6, count:1
time:68, count:10
time:61, count:15
time:203, count:22
time:102, count:21
time:63, count:136
time:8, count:1
time:5, count:3
time:5, count:1
time:308, count:424
time:98, count:65
time:40, count:14
time:96, count:20
time:58, count:70
time:105, count:340
time:24, count:47
time:26, count:6
time:131, count:219
time:110, count:144
time:24, count:64
time:17, count:7
time:22, count:3
time:17, count:8
time:120, count:54
time:174, count:44
time:89, count:119
time:92, count:1
time:55, count:45
time:7, count:9
time:93, count:99
time:8, count:1
time:159, count:133
time:122, count:11
time:56, count:72
time:23, count:4
time:453, count:36
time:487, count:187
time:440, count:493
time:97, count:44
time:27, count:29
time:36, count:2
time:20, count:45
