time:1311, count:1170
time:27, count:35
time:44, count:1358
time:23, count:1294
time:31, count:469
time:60, count:3303
time:21, count:525
time:85, count:5769
time:24, count:220
time:34, count:1322
time:26, count:813
time:23, count:20
time:20, count:5
time:36, count:1050
time:28, count:270
time:52, count:3458
time:28, count:2809
time:27, count:455
time:19, count:579
time:48, count:5468
time:23, count:2946
time:36, count:3969
time:15, count:130
time:27, count:1746
time:19, count:520
time:56, count:5465
time:16, count:884
time:15, count:615
time:20, count:1507
time:10, count:20
time:27, count:1449
time:19, count:175
time:25, count:160
time:6, count:10
time:16, count:635
time:74, count:1397
time:33, count:1411
time:20, count:460
time:15, count:194
time:32, count:1817
time:23, count:955
time:34, count:1474
time:43, count:3949
time:15, count:355
time:34, count:1848
time:72, count:4303
time:16, count:285
time:29, count:1645
time:22, count:834
time:13, count:5
time:46, count:6497
time:34, count:1672
time:19, count:713
time:38, count:2468
time:23, count:1358
time:35, count:2996
time:15, count:400
time:15, count:105
time:14, count:25
time:18, count:1070
time:17, count:230
time:26, count:1613
time:26, count:1411
time:29, count:1202
time:17, count:510
time:40, count:4413
time:31, count:1000
time:18, count:767
time:12, count:130
time:32, count:4027
time:13, count:130
time:44, count:6248
time:25, count:1241
time:12, count:150
time:12, count:240
time:6, count:445
time:19, count:447
time:10, count:120
time:36, count:4986
time:19, count:490
time:15, count:436
time:36, count:2906
time:9, count:140
time:8, count:110
time:13, count:579
time:9, count:473
time:28, count:1053
time:25, count:1409
time:16, count:160
time:40, count:4018
time:27, count:1368
time:10, count:368
time:12, count:425
time:15, count:666
time:30, count:4490
time:16, count:1491
time:22, count:3372
time:15, count:485
time:18, count:420
time:8, count:30
time:11, count:135
time:10, count:90
time:15, count:1119
time:9, count:242
time:30, count:2107
time:11, count:225
time:16, count:2175
time:63, count:4204
time:18, count:735
time:17, count:970
time:23, count:1965
time:18, count:809
time:26, count:2757
time:57, count:4537
time:59, count:5704
time:23, count:699
time:16, count:755
time:76, count:7581
time:30, count:2929
time:17, count:493
time:68, count:5272
time:8, count:25
time:7, count:5
time:14, count:913
time:69, count:10653
time:6, count:160
time:37, count:775
time:10, count:555
time:10, count:180
time:24, count:2193
time:50, count:11799
time:11, count:271
time:36, count:1977
time:32, count:5481
time:38, count:4308
time:17, count:20
time:56, count:6274
time:27, count:3847
time:26, count:1220
time:26, count:928
time:36, count:3780
time:17, count:460
time:70, count:5
time:7, count:75
time:12, count:267
time:7, count:415
time:44, count:6264
time:25, count:2112
time:36, count:3973
time:18, count:2727
time:18, count:1249
time:24, count:1692
time:8, count:915
time:19, count:5
time:30, count:2499
time:18, count:1000
time:28, count:1555
time:19, count:1093
time:44, count:3963
time:17, count:1834
time:13, count:375
time:28, count:2391
time:13, count:5
time:27, count:1170
time:9, count:326
time:13, count:650
time:11, count:605
time:12, count:809
time:18, count:20
time:17, count:1329
time:55, count:10416
time:15, count:1484
time:24, count:2364
time:11, count:65
time:50, count:1724
time:16, count:359
time:9, count:200
time:23, count:706
time:31, count:1173
time:51, count:5222
time:13, count:644
time:18, count:749
time:14, count:590
time:42, count:1897
time:9, count:60
time:7, count:160
time:38, count:1905
time:7, count:175
time:14, count:495
time:9, count:85
time:13, count:90
time:8, count:105
time:45, count:1268
time:29, count:2089
time:17, count:1434
time:6, count:5
time:8, count:704
time:15, count:1344
time:10, count:35
time:25, count:1588
time:60, count:6915
time:21, count:1176
time:41, count:2099
time:22, count:1245
time:12, count:405
time:21, count:2191
time:30, count:2600
time:21, count:942
time:11, count:647
time:49, count:3440
time:9, count:120
time:28, count:3501
time:6, count:205
time:45, count:4779
time:17, count:455
time:12, count:935
time:12, count:1526
time:7, count:205
time:44, count:7065
time:31, count:4228
time:11, count:15
time:31, count:5588
time:28, count:1523
time:35, count:4575
time:52, count:9337
time:17, count:10
time:14, count:893
time:15, count:670
time:16, count:1185
time:33, count:2358
time:22, count:874
time:15, count:533
time:8, count:205
time:14, count:255
time:23, count:875
time:24, count:1931
time:27, count:1300
time:7, count:145
time:42, count:2496
time:41, count:5934
time:67, count:7883
time:36, count:3429
time:15, count:265
time:7, count:5
time:10, count:1557
time:45, count:90
time:18, count:1894
time:5, count:5
time:13, count:765
time:10, count:140
time:11, count:176
time:33, count:2430
time:29, count:299
time:13, count:455
time:47, count:7246
time:9, count:100
time:13, count:488
time:10, count:295
time:17, count:1836
time:36, count:4474
time:25, count:1320
time:34, count:4169
time:7, count:125
time:16, count:434
time:15, count:1391
time:18, count:957
time:32, count:1090
time:6, count:190
time:6, count:110
time:25, count:1706
time:6, count:50
time:12, count:5
time:21, count:1641
time:22, count:1371
time:20, count:2059
time:20, count:2264
time:7, count:75
time:27, count:1775
time:9, count:345
time:11, count:649
time:26, count:1501
time:26, count:1270
time:13, count:5
time:8, count:335
time:29, count:1971
time:8, count:10
time:6, count:125
time:16, count:860
time:8, count:235
time:41, count:4103
time:17, count:50
time:7, count:110
time:42, count:4659
time:15, count:504
time:8, count:552
time:14, count:5
time:28, count:2564
time:45, count:7844
time:7, count:95
time:5, count:10
time:9, count:120
time:7, count:165
time:14, count:723
time:5, count:20
time:11, count:460
time:30, count:1141
time:32, count:3506
time:26, count:2895
time:19, count:1721
time:7, count:84
time:9, count:515
time:9, count:5
time:19, count:3145
time:37, count:7258
time:30, count:2827
time:28, count:2664
time:16, count:780
time:7, count:90
time:29, count:770
time:21, count:1317
time:17, count:1576
time:7, count:125
time:10, count:776
time:14, count:1552
time:42, count:9219
time:9, count:20
time:36, count:3943
time:12, count:794
time:25, count:2399
time:19, count:1918
time:5, count:40
