time:1252, count:234
time:29, count:7
time:77, count:270
time:48, count:258
time:56, count:94
time:90, count:661
time:24, count:105
time:58, count:1155
time:39, count:44
time:75, count:264
time:17, count:162
time:8, count:4
time:23, count:1
time:27, count:210
time:8, count:54
time:23, count:693
time:12, count:561
time:14, count:91
time:18, count:115
time:16, count:1098
time:18, count:589
time:14, count:794
time:9, count:26
time:26, count:348
time:15, count:104
time:23, count:1091
time:15, count:176
time:6, count:123
time:11, count:300
time:10, count:4
time:10, count:290
time:6, count:35
time:13, count:32
time:13, count:2
time:9, count:127
time:52, count:280
time:10, count:282
time:6, count:92
time:11, count:38
time:28, count:361
time:17, count:191
time:43, count:295
time:37, count:791
time:7, count:71
time:15, count:370
time:23, count:861
time:7, count:57
time:11, count:330
time:9, count:166
time:6, count:1
time:16, count:1298
time:15, count:336
time:8, count:142
time:25, count:493
time:12, count:271
time:13, count:600
time:7, count:80
time:11, count:21
time:4, count:5
time:20, count:215
time:12, count:46
time:14, count:323
time:23, count:283
time:34, count:242
time:10, count:102
time:11, count:882
time:11, count:200
time:18, count:153
time:3, count:26
time:14, count:806
time:6, count:26
time:13, count:1251
time:10, count:249
time:9, count:30
time:8, count:48
time:10, count:88
time:18, count:89
time:6, count:24
time:11, count:995
time:7, count:98
time:7, count:88
time:13, count:582
time:7, count:28
time:6, count:22
time:13, count:115
time:7, count:95
time:25, count:210
time:20, count:282
time:10, count:32
time:18, count:803
time:30, count:273
time:27, count:74
time:5, count:85
time:26, count:134
time:14, count:898
time:13, count:298
time:20, count:675
time:6, count:97
time:16, count:84
time:16, count:6
time:4, count:27
time:11, count:18
time:14, count:222
time:7, count:49
time:35, count:423
time:5, count:45
time:13, count:435
time:27, count:839
time:9, count:147
time:28, count:194
time:54, count:392
time:11, count:161
time:33, count:553
time:26, count:907
time:23, count:1140
time:16, count:140
time:10, count:151
time:21, count:1516
time:9, count:586
time:13, count:98
time:22, count:1054
time:5, count:5
time:8, count:1
time:19, count:183
time:18, count:2127
time:2, count:32
time:13, count:154
time:6, count:111
time:4, count:36
time:24, count:439
time:20, count:2359
time:7, count:55
time:30, count:396
time:16, count:1097
time:23, count:861
time:7, count:4
time:26, count:1256
time:16, count:768
time:8, count:244
time:26, count:186
time:82, count:756
time:8, count:92
time:4, count:1
time:6, count:15
time:18, count:54
time:3, count:83
time:22, count:1255
time:13, count:422
time:33, count:796
time:14, count:545
time:18, count:249
time:45, count:339
time:7, count:183
time:12, count:1
time:40, count:499
time:16, count:200
time:31, count:311
time:7, count:219
time:26, count:790
time:34, count:368
time:7, count:75
time:23, count:479
time:5, count:1
time:14, count:233
time:6, count:66
time:14, count:131
time:11, count:121
time:8, count:162
time:5, count:4
time:13, count:266
time:41, count:2083
time:17, count:297
time:25, count:473
time:17, count:13
time:20, count:345
time:8, count:72
time:4, count:40
time:27, count:141
time:27, count:234
time:21, count:1043
time:13, count:129
time:17, count:149
time:6, count:118
time:19, count:380
time:7, count:12
time:9, count:32
time:35, count:381
time:16, count:35
time:12, count:99
time:4, count:17
time:7, count:18
time:6, count:21
time:14, count:254
time:10, count:421
time:15, count:287
time:4, count:1
time:8, count:140
time:7, count:268
time:12, count:7
time:15, count:316
time:22, count:1385
time:13, count:236
time:24, count:420
time:22, count:249
time:10, count:81
time:24, count:439
time:15, count:520
time:6, count:189
time:40, count:129
time:19, count:687
time:8, count:24
time:24, count:702
time:5, count:41
time:36, count:955
time:12, count:91
time:5, count:187
time:6, count:304
time:4, count:41
time:17, count:1415
time:19, count:844
time:5, count:3
time:15, count:1120
time:12, count:305
time:15, count:915
time:17, count:1865
time:8, count:2
time:30, count:179
time:8, count:134
time:16, count:237
time:35, count:471
time:21, count:175
time:6, count:106
time:28, count:41
time:5, count:51
time:11, count:175
time:24, count:386
time:27, count:260
time:9, count:29
time:24, count:499
time:17, count:1189
time:63, count:1579
time:24, count:685
time:19, count:53
time:4, count:1
time:7, count:311
time:3, count:18
time:34, count:380
time:2, count:1
time:22, count:153
time:3, count:28
time:12, count:35
time:29, count:486
time:13, count:60
time:18, count:91
time:17, count:1450
time:4, count:20
time:8, count:98
time:18, count:59
time:14, count:366
time:19, count:895
time:25, count:264
