time:1296, count:234
time:14, count:7
time:33, count:270
time:28, count:258
time:19, count:94
time:20, count:661
time:20, count:105
time:26, count:1155
time:17, count:44
time:22, count:264
time:11, count:162
time:9, count:4
time:10, count:1
time:13, count:210
time:10, count:54
time:22, count:693
time:19, count:561
time:14, count:91
time:10, count:115
time:16, count:1098
time:12, count:589
time:17, count:794
time:8, count:26
time:12, count:348
time:11, count:104
time:19, count:1091
time:11, count:176
time:8, count:123
time:10, count:300
time:8, count:4
time:16, count:290
time:29, count:35
time:15, count:32
time:7, count:2
time:9, count:127
time:10, count:280
time:11, count:282
time:8, count:92
time:8, count:38
time:11, count:361
time:8, count:191
time:10, count:295
time:12, count:791
time:7, count:71
time:10, count:370
time:20, count:861
time:8, count:57
time:12, count:330
time:8, count:166
time:7, count:1
time:15, count:1298
time:12, count:336
time:7, count:142
time:20, count:493
time:9, count:271
time:10, count:600
time:6, count:80
time:8, count:21
time:6, count:5
time:8, count:215
time:8, count:46
time:17, count:323
time:10, count:283
time:9, count:242
time:6, count:102
time:10, count:882
time:8, count:200
time:6, count:153
time:4, count:26
time:11, count:806
time:7, count:26
time:12, count:1251
time:8, count:249
time:5, count:30
time:5, count:48
time:6, count:88
time:8, count:89
time:5, count:24
time:12, count:995
time:8, count:98
time:6, count:88
time:12, count:582
time:7, count:28
time:7, count:22
time:9, count:115
time:10, count:95
time:9, count:210
time:8, count:282
time:4, count:32
time:13, count:803
time:10, count:273
time:6, count:74
time:4, count:85
time:7, count:134
time:9, count:898
time:6, count:298
time:9, count:675
time:7, count:97
time:6, count:84
time:4, count:6
time:5, count:27
time:4, count:18
time:6, count:222
time:6, count:49
time:9, count:423
time:6, count:45
time:6, count:435
time:13, count:839
time:6, count:147
time:5, count:194
time:7, count:392
time:8, count:161
time:9, count:553
time:12, count:907
time:13, count:1140
time:7, count:140
time:5, count:151
time:14, count:1516
time:8, count:586
time:6, count:98
time:15, count:1054
time:4, count:5
time:4, count:1
time:5, count:183
time:14, count:2127
time:4, count:32
time:11, count:154
time:6, count:111
time:5, count:36
time:10, count:439
time:15, count:2359
time:5, count:55
time:11, count:396
time:12, count:1097
time:14, count:861
time:6, count:4
time:19, count:1256
time:12, count:768
time:9, count:244
time:9, count:186
time:12, count:756
time:6, count:92
time:7, count:1
time:4, count:15
time:5, count:54
time:4, count:83
time:13, count:1255
time:8, count:422
time:10, count:796
time:8, count:545
time:5, count:249
time:8, count:339
time:5, count:183
time:3, count:1
time:10, count:499
time:7, count:200
time:9, count:311
time:5, count:219
time:17, count:790
time:6, count:368
time:5, count:75
time:7, count:479
time:4, count:1
time:6, count:233
time:4, count:66
time:4, count:131
time:4, count:121
time:5, count:162
time:3, count:4
time:6, count:266
time:13, count:2083
time:5, count:297
time:6, count:473
time:4, count:13
time:9, count:345
time:5, count:72
time:4, count:40
time:4, count:141
time:6, count:234
