time:1511, count:30
time:20, count:5
time:215, count:545
time:133, count:1660
time:113, count:855
time:116, count:340
time:79, count:25
time:583, count:2342
time:43, count:5
time:95, count:245
time:51, count:520
time:12, count:5
time:21, count:40
time:23, count:100
time:30, count:10
time:151, count:3578
time:273, count:3166
time:30, count:15
time:55, count:215
time:257, count:815
time:159, count:35
time:328, count:4679
time:20, count:20
time:303, count:590
time:236, count:800
time:321, count:85
time:42, count:600
time:37, count:345
time:84, count:755
time:34, count:185
time:77, count:10
time:92, count:5
time:42, count:45
time:11, count:5
time:62, count:1505
time:72, count:105
time:213, count:465
time:40, count:45
time:43, count:275
time:151, count:1135
time:75, count:310
time:83, count:385
time:103, count:2505
time:48, count:3620
time:42, count:1050
time:197, count:420
time:36, count:55
time:194, count:2385
time:44, count:35
time:14, count:5
time:202, count:1595
time:231, count:2735
time:40, count:265
time:133, count:240
time:149, count:505
time:229, count:245
time:58, count:265
time:67, count:300
time:25, count:95
time:99, count:675
time:37, count:60
time:44, count:330
time:194, count:110
time:91, count:510
time:33, count:125
time:225, count:689
time:68, count:60
time:55, count:417
time:37, count:30
time:28, count:580
time:13, count:60
time:316, count:5345
time:62, count:820
time:66, count:275
time:32, count:145
time:24, count:370
time:68, count:60
time:16, count:60
time:293, count:195
time:44, count:60
time:69, count:1110
time:361, count:3435
time:19, count:115
time:51, count:305
time:36, count:145
time:40, count:90
time:105, count:1225
time:194, count:115
time:46, count:435
time:256, count:5711
time:77, count:45
time:84, count:525
time:12, count:230
time:11, count:130
time:211, count:845
time:54, count:1615
time:89, count:1705
time:22, count:160
time:86, count:250
time:22, count:25
time:39, count:505
time:43, count:30
time:77, count:715
time:76, count:1810
time:86, count:515
time:15, count:55
time:61, count:90
time:266, count:1276
time:81, count:1295
time:71, count:3540
time:59, count:90
time:18, count:5
time:85, count:4800
time:89, count:290
time:347, count:1470
time:111, count:370
time:46, count:805
time:503, count:3557
time:15, count:385
time:32, count:1110
time:270, count:85
time:27, count:215
time:5, count:5
time:58, count:1010
time:385, count:2436
time:32, count:405
time:349, count:445
time:23, count:235
time:32, count:835
time:198, count:670
time:322, count:3670
time:94, count:705
time:188, count:340
time:46, count:715
time:175, count:2498
time:9, count:20
time:397, count:80
time:114, count:380
time:224, count:420
time:79, count:425
time:184, count:65
time:26, count:155
time:7, count:10
time:86, count:640
time:115, count:265
time:9, count:95
time:243, count:3560
time:102, count:980
time:223, count:160
time:102, count:1560
time:115, count:581
time:51, count:525
time:19, count:860
time:18, count:5
time:128, count:165
time:101, count:1130
time:99, count:385
time:51, count:40
time:177, count:30
time:78, count:825
time:42, count:170
time:146, count:710
time:8, count:5
time:204, count:265
time:17, count:195
time:72, count:470
time:63, count:1210
time:201, count:3890
time:10, count:5
time:79, count:535
time:252, count:2710
time:160, count:160
time:180, count:1495
time:33, count:35
time:71, count:155
time:57, count:85
time:30, count:200
time:198, count:1240
time:172, count:600
time:181, count:1136
time:58, count:395
time:142, count:35
time:156, count:2035
time:88, count:30
time:14, count:10
time:15, count:30
time:86, count:1975
time:20, count:10
time:31, count:220
time:14, count:100
time:28, count:85
time:9, count:120
time:120, count:765
time:206, count:1765
time:36, count:745
time:13, count:20
time:36, count:110
time:23, count:240
time:17, count:130
time:116, count:270
time:368, count:415
time:35, count:500
time:346, count:375
time:148, count:2075
time:26, count:100
time:82, count:1915
time:146, count:590
time:187, count:70
time:24, count:730
time:65, count:1025
time:93, count:545
time:155, count:2575
time:26, count:395
time:274, count:165
time:10, count:10
