time:1364, count:6
time:111, count:1
time:66, count:109
time:270, count:332
time:289, count:171
time:52, count:68
time:322, count:5
time:226, count:469
time:159, count:1
time:67, count:49
time:142, count:104
time:18, count:1
time:68, count:8
time:32, count:20
time:90, count:2
time:198, count:715
time:192, count:633
time:210, count:3
time:110, count:43
time:187, count:163
time:218, count:7
time:275, count:938
time:79, count:4
time:312, count:118
time:244, count:160
time:210, count:17
time:127, count:120
time:48, count:69
time:127, count:151
time:10, count:37
time:141, count:2
time:52, count:1
time:99, count:9
time:135, count:1
time:119, count:301
time:32, count:21
time:133, count:93
time:29, count:9
time:102, count:55
time:177, count:227
time:52, count:62
time:37, count:77
time:214, count:501
time:233, count:724
time:152, count:210
time:229, count:84
time:137, count:11
time:252, count:477
time:146, count:7
time:196, count:1
time:171, count:319
time:167, count:547
time:101, count:53
time:215, count:48
time:178, count:101
time:177, count:49
time:76, count:53
time:42, count:60
time:44, count:19
time:168, count:135
time:104, count:12
time:98, count:66
time:208, count:22
time:36, count:102
time:82, count:25
time:141, count:137
time:147, count:12
time:180, count:83
time:10, count:6
time:177, count:116
time:45, count:12
time:170, count:1069
time:96, count:164
time:82, count:55
time:77, count:29
time:77, count:74
time:170, count:12
time:39, count:12
time:155, count:39
time:39, count:12
time:74, count:222
time:208, count:687
time:88, count:23
time:123, count:61
time:127, count:29
time:147, count:18
time:269, count:245
time:281, count:23
time:130, count:87
time:192, count:1142
time:160, count:9
time:179, count:105
time:13, count:46
time:36, count:26
time:194, count:169
time:119, count:323
time:55, count:341
time:50, count:32
time:36, count:50
time:62, count:5
time:9, count:101
time:88, count:6
time:112, count:143
time:115, count:362
time:189, count:103
time:54, count:11
time:118, count:18
time:218, count:255
time:124, count:259
time:204, count:708
time:205, count:18
time:73, count:1
time:249, count:960
time:251, count:58
time:245, count:293
time:273, count:74
time:111, count:161
time:241, count:711
time:232, count:77
time:38, count:222
time:220, count:17
time:68, count:43
time:10, count:1
time:147, count:202
time:278, count:487
time:14, count:81
time:232, count:89
time:50, count:47
time:12, count:167
time:227, count:134
time:212, count:734
time:117, count:141
time:192, count:68
time:255, count:143
time:220, count:499
time:1, count:4
time:236, count:16
time:148, count:76
time:126, count:84
time:30, count:85
time:273, count:13
time:60, count:31
time:37, count:2
time:166, count:128
time:182, count:53
time:12, count:19
time:196, count:712
time:143, count:196
time:348, count:32
time:136, count:312
time:166, count:117
time:44, count:105
time:10, count:172
time:1, count:1
time:185, count:33
time:122, count:226
time:208, count:77
time:63, count:8
time:241, count:6
time:237, count:165
time:118, count:34
time:242, count:142
time:1, count:1
time:246, count:53
time:39, count:39
time:233, count:94
time:153, count:242
time:216, count:778
time:1, count:1
time:153, count:107
time:239, count:542
time:230, count:32
time:214, count:299
time:149, count:7
time:207, count:31
time:113, count:17
time:13, count:40
time:336, count:248
time:244, count:120
time:237, count:227
time:153, count:79
time:195, count:7
time:193, count:407
time:200, count:6
time:73, count:2
time:176, count:6
time:44, count:395
time:123, count:2
time:129, count:44
time:9, count:20
time:55, count:17
time:97, count:24
time:223, count:153
time:189, count:353
time:153, count:149
time:3, count:4
time:29, count:22
time:61, count:48
time:341, count:26
time:174, count:54
time:299, count:83
time:55, count:100
time:300, count:75
time:226, count:415
time:83, count:20
time:143, count:383
time:193, count:118
time:56, count:14
time:211, count:146
time:179, count:205
time:174, count:109
time:211, count:515
time:65, count:79
time:202, count:33
time:218, count:2
time:52, count:53
time:95, count:69
time:70, count:27
time:170, count:188
time:168, count:175
time:3, count:3
time:176, count:680
time:179, count:882
time:202, count:89
time:192, count:439
time:4, count:2
time:48, count:111
time:48, count:141
time:191, count:24
time:189, count:51
time:70, count:52
time:49, count:29
time:206, count:3
time:45, count:20
time:171, count:5
time:184, count:120
time:74, count:15
time:291, count:759
time:244, count:21
time:58, count:424
time:213, count:283
time:213, count:25
time:138, count:61
time:9, count:1
time:137, count:255
time:61, count:27
time:225, count:10
time:10, count:3
time:195, count:449
time:84, count:77
time:58, count:22
time:240, count:54
time:184, count:3
time:206, count:45
time:166, count:38
time:54, count:3
time:57, count:35
time:147, count:24
time:134, count:29
time:181, count:523
time:318, count:107
time:262, count:490
time:19, count:18
time:51, count:26
time:103, count:671
time:284, count:87
time:108, count:17
time:17, count:4
time:16, count:27
time:124, count:42
time:141, count:2
time:2, count:1
time:197, count:109
time:129, count:256
time:133, count:323
time:134, count:385
time:154, count:9
time:158, count:165
time:206, count:1
time:132, count:49
time:209, count:161
time:187, count:18
time:7, count:1
time:151, count:366
time:59, count:105
time:5, count:4
time:154, count:11
time:163, count:133
time:185, count:135
time:243, count:769
time:69, count:4
time:199, count:79
time:287, count:177
time:222, count:16
time:148, count:129
time:2, count:1
time:58, count:375
time:252, count:231
time:75, count:113
time:20, count:3
time:91, count:5
time:140, count:52
time:106, count:175
time:97, count:12
time:114, count:75
time:261, count:132
time:206, count:120
time:216, count:57
time:186, count:18
time:195, count:28
time:153, count:32
time:326, count:9
time:189, count:353
time:182, count:848
time:193, count:53
time:172, count:59
time:130, count:14
time:9, count:8
time:175, count:77
time:166, count:134
time:59, count:155
time:173, count:10
time:41, count:100
time:36, count:17
time:168, count:538
time:131, count:8
time:90, count:277
time:127, count:3
time:147, count:123
time:122, count:324
time:3, count:1
time:152, count:1
time:208, count:16
time:78, count:3
time:53, count:45
time:195, count:45
time:148, count:261
time:78, count:1
time:165, count:140
time:157, count:3
time:152, count:468
time:349, count:58
time:46, count:1
time:184, count:12
time:149, count:71
time:128, count:79
time:161, count:41
time:170, count:50
time:61, count:3
time:62, count:34
time:54, count:18
time:225, count:1321
time:173, count:215
time:29, count:34
time:179, count:69
time:156, count:105
time:192, count:2
time:145, count:4
time:204, count:151
time:332, count:61
time:66, count:227
time:146, count:258
time:107, count:1
time:100, count:156
time:96, count:61
time:94, count:48
time:154, count:40
time:185, count:3
time:85, count:8
time:12, count:2
time:57, count:5
time:248, count:563
time:153, count:33
time:130, count:56
time:89, count:179
time:91, count:63
time:102, count:24
time:2, count:1
time:173, count:187
time:150, count:37
time:280, count:5
time:8, count:1
time:175, count:305
time:280, count:685
time:44, count:24
time:328, count:123
time:73, count:8
time:15, count:38
time:154, count:14
time:7, count:98
time:329, count:70
time:162, count:21
time:122, count:43
time:172, count:34
time:217, count:40
time:44, count:49
time:203, count:67
time:191, count:44
time:80, count:116
time:196, count:57
time:75, count:137
time:291, count:1212
time:246, count:3
time:134, count:1
time:134, count:29
time:182, count:11
time:128, count:126
time:215, count:184
time:151, count:24
time:50, count:77
time:14, count:1
time:116, count:10
time:110, count:15
time:113, count:22
time:51, count:21
time:171, count:136
time:159, count:1
time:3, count:3
time:1, count:1
time:189, count:424
time:130, count:65
time:8, count:14
time:66, count:20
time:156, count:70
time:201, count:340
time:255, count:47
time:66, count:6
time:183, count:219
time:169, count:144
time:46, count:64
time:34, count:7
time:173, count:3
time:123, count:8
time:108, count:54
time:191, count:44
time:162, count:119
time:172, count:1
time:29, count:45
time:132, count:9
time:96, count:99
time:12, count:1
time:183, count:133
time:82, count:11
time:149, count:72
time:170, count:4
time:177, count:36
time:201, count:187
time:196, count:493
time:41, count:44
time:9, count:29
time:58, count:2
time:294, count:45
time:79, count:110
time:98, count:3
time:157, count:66
time:142, count:15
time:185, count:93
time:17, count:15
time:170, count:19
time:238, count:10
time:57, count:236
time:47, count:22
time:228, count:181
time:112, count:96
time:54, count:80
time:226, count:1
time:51, count:12
time:121, count:26
time:49, count:28
time:173, count:1
time:121, count:104
time:56, count:3
time:207, count:1
time:135, count:147
time:225, count:392
time:290, count:108
time:60, count:24
time:53, count:7
time:51, count:15
time:112, count:107
time:53, count:30
time:303, count:48
time:6, count:1
time:191, count:203
time:35, count:6
time:202, count:61
time:35, count:6
time:207, count:27
time:137, count:20
time:2, count:2
time:234, count:610
time:191, count:265
time:185, count:382
time:46, count:2
time:40, count:53
time:37, count:1
time:170, count:287
time:196, count:69
time:181, count:973
time:136, count:21
total:, average count:128.946
time:41, count:6
time:57, count:1
time:62, count:109
time:216, count:332
time:221, count:171
time:53, count:68
time:321, count:5
time:231, count:469
time:143, count:1
time:60, count:49
time:99, count:104
time:11, count:1
time:62, count:8
time:34, count:20
time:93, count:2
time:248, count:715
time:186, count:633
time:180, count:3
time:105, count:43
time:193, count:163
time:185, count:7
time:211, count:938
time:57, count:4
time:212, count:118
time:209, count:160
time:215, count:17
time:125, count:120
time:50, count:69
time:132, count:151
time:8, count:37
time:154, count:2
time:54, count:1
time:92, count:9
time:132, count:1
time:97, count:301
time:31, count:21
time:131, count:93
time:30, count:9
time:110, count:55
time:183, count:227
time:51, count:62
time:37, count:77
time:212, count:501
time:231, count:724
time:108, count:210
time:143, count:84
time:95, count:11
time:186, count:477
time:103, count:7
time:170, count:1
time:183, count:319
time:165, count:547
time:104, count:53
time:188, count:48
time:171, count:101
time:174, count:49
time:75, count:53
time:40, count:60
time:42, count:19
time:180, count:135
time:98, count:12
time:96, count:66
time:190, count:22
time:34, count:102
time:79, count:25
time:137, count:137
time:145, count:12
time:188, count:83
time:10, count:6
time:191, count:116
time:45, count:12
time:168, count:1069
time:89, count:164
time:82, count:55
time:79, count:29
time:85, count:74
time:188, count:12
time:44, count:12
time:190, count:39
time:40, count:12
time:75, count:222
time:156, count:687
time:76, count:23
time:96, count:61
time:105, count:29
time:100, count:18
time:186, count:245
time:203, count:23
time:110, count:87
time:133, count:1142
time:157, count:9
time:190, count:105
time:13, count:46
time:35, count:26
time:178, count:169
time:118, count:323
time:55, count:341
time:49, count:32
time:36, count:50
time:63, count:5
time:9, count:101
time:109, count:6
time:120, count:143
time:155, count:362
time:190, count:103
time:52, count:11
time:118, count:18
time:201, count:255
time:128, count:259
time:218, count:708
time:201, count:18
time:72, count:1
time:246, count:960
time:232, count:58
time:241, count:293
time:318, count:74
time:109, count:161
time:244, count:711
time:204, count:77
time:38, count:222
time:221, count:17
time:75, count:43
time:10, count:1
time:159, count:202
time:278, count:487
time:13, count:81
time:239, count:89
time:50, count:47
time:12, count:167
time:206, count:134
time:218, count:734
time:131, count:141
time:202, count:68
time:242, count:143
time:202, count:499
time:1, count:4
time:247, count:16
time:147, count:76
time:138, count:84
time:30, count:85
time:272, count:13
time:61, count:31
time:41, count:2
time:167, count:128
time:177, count:53
time:12, count:19
time:192, count:712
time:158, count:196
time:353, count:32
time:143, count:312
time:172, count:117
time:35, count:105
time:12, count:172
time:3, count:1
time:211, count:33
time:140, count:226
time:207, count:77
time:61, count:8
time:252, count:6
time:239, count:165
time:105, count:34
time:242, count:142
time:2, count:1
time:264, count:53
time:38, count:39
time:230, count:94
time:153, count:242
time:200, count:778
time:2, count:1
time:153, count:107
time:264, count:542
time:237, count:32
time:216, count:299
time:125, count:7
time:227, count:31
time:103, count:17
time:9, count:40
time:331, count:248
time:254, count:120
time:213, count:227
time:176, count:79
time:201, count:7
time:198, count:407
time:201, count:6
time:76, count:2
time:156, count:6
time:44, count:395
time:159, count:2
time:120, count:44
time:8, count:20
time:55, count:17
time:97, count:24
time:229, count:153
time:191, count:353
time:137, count:149
time:3, count:4
time:28, count:22
time:88, count:48
time:354, count:26
time:181, count:54
time:305, count:83
time:56, count:100
time:312, count:75
time:213, count:415
time:80, count:20
time:143, count:383
time:204, count:118
time:56, count:14
time:222, count:146
time:179, count:205
time:179, count:109
time:208, count:515
time:64, count:79
time:214, count:33
time:233, count:2
time:51, count:53
time:95, count:69
time:58, count:27
time:176, count:188
time:164, count:175
time:3, count:3
time:188, count:680
time:210, count:882
time:190, count:89
time:195, count:439
time:3, count:2
time:49, count:111
time:49, count:141
time:203, count:24
time:183, count:51
time:93, count:52
time:50, count:29
time:187, count:3
time:44, count:20
time:161, count:5
time:186, count:120
time:77, count:15
time:337, count:759
time:218, count:21
time:57, count:424
time:225, count:283
time:212, count:25
time:153, count:61
time:10, count:1
time:164, count:255
time:62, count:27
time:212, count:10
time:9, count:3
time:201, count:449
time:80, count:77
time:65, count:22
time:279, count:54
time:192, count:3
time:214, count:45
time:158, count:38
time:57, count:3
time:57, count:35
time:163, count:24
time:134, count:29
time:209, count:523
time:327, count:107
time:262, count:490
time:18, count:18
time:51, count:26
time:113, count:671
time:330, count:87
time:109, count:17
time:17, count:4
time:15, count:27
time:131, count:42
time:123, count:2
time:1, count:1
time:203, count:109
time:140, count:256
time:158, count:323
time:133, count:385
time:160, count:9
time:170, count:165
time:186, count:1
time:122, count:49
time:249, count:161
time:189, count:18
time:6, count:1
time:151, count:366
time:54, count:105
time:5, count:4
time:151, count:11
time:141, count:133
time:200, count:135
time:269, count:769
time:70, count:4
time:193, count:79
time:260, count:177
time:263, count:16
time:147, count:129
time:3, count:1
time:60, count:375
time:250, count:231
time:76, count:113
time:19, count:3
time:89, count:5
time:130, count:52
time:112, count:175
time:127, count:12
time:112, count:75
time:258, count:132
time:206, count:120
time:195, count:57
time:202, count:18
time:181, count:28
time:149, count:32
time:338, count:9
time:160, count:353
time:230, count:848
time:194, count:53
time:175, count:59
time:121, count:14
time:8, count:8
time:174, count:77
time:128, count:134
time:59, count:155
time:206, count:10
time:36, count:100
time:36, count:17
time:170, count:538
time:131, count:8
time:90, count:277
time:127, count:3
time:129, count:123
time:123, count:324
time:2, count:1
time:188, count:1
time:212, count:16
time:77, count:3
time:53, count:45
time:207, count:45
time:147, count:261
time:53, count:1
time:192, count:140
time:163, count:3
time:156, count:468
time:339, count:58
time:46, count:1
time:167, count:12
time:176, count:71
time:141, count:79
time:161, count:41
time:180, count:50
time:59, count:3
time:60, count:34
time:53, count:18
time:188, count:1321
time:207, count:215
time:29, count:34
time:171, count:69
time:156, count:105
time:195, count:2
time:152, count:4
time:180, count:151
time:360, count:61
time:65, count:227
time:154, count:258
time:106, count:1
time:99, count:156
time:96, count:61
time:66, count:48
time:180, count:40
time:199, count:3
time:83, count:8
time:11, count:2
time:56, count:5
time:245, count:563
time:154, count:33
time:109, count:56
time:90, count:179
time:119, count:63
time:125, count:24
time:2, count:1
time:173, count:187
time:149, count:37
time:243, count:5
time:9, count:1
time:177, count:305
time:323, count:685
time:43, count:24
time:304, count:123
time:72, count:8
time:14, count:38
time:135, count:14
time:8, count:98
time:367, count:70
time:166, count:21
time:130, count:43
time:171, count:34
time:193, count:40
time:44, count:49
time:232, count:67
time:193, count:44
time:81, count:116
time:186, count:57
time:79, count:137
time:263, count:1212
time:264, count:3
time:139, count:1
time:130, count:29
time:179, count:11
time:172, count:126
time:188, count:184
time:168, count:24
time:49, count:77
time:14, count:1
time:117, count:10
time:113, count:15
time:111, count:22
time:50, count:21
time:171, count:136
time:136, count:1
time:2, count:3
time:2, count:1
time:208, count:424
time:129, count:65
time:8, count:14
time:68, count:20
time:176, count:70
time:203, count:340
time:227, count:47
time:61, count:6
time:217, count:219
time:167, count:144
time:44, count:64
time:33, count:7
time:166, count:3
time:114, count:8
time:108, count:54
time:163, count:44
time:182, count:119
time:185, count:1
time:29, count:45
time:149, count:9
time:95, count:99
time:11, count:1
time:175, count:133
time:82, count:11
time:124, count:72
time:216, count:4
time:171, count:36
time:189, count:187
time:182, count:493
time:45, count:44
time:9, count:29
time:61, count:2
time:266, count:45
time:105, count:110
time:97, count:3
time:152, count:66
time:148, count:15
time:187, count:93
time:17, count:15
time:141, count:19
time:263, count:10
time:56, count:236
time:46, count:22
time:225, count:181
time:111, count:96
time:52, count:80
time:183, count:1
time:50, count:12
time:120, count:26
time:77, count:28
time:171, count:1
time:120, count:104
time:55, count:3
time:207, count:1
time:133, count:147
time:194, count:392
time:315, count:108
time:61, count:24
time:53, count:7
time:51, count:15
time:111, count:107
time:52, count:30
time:255, count:48
time:5, count:1
time:222, count:203
time:35, count:6
time:198, count:61
time:36, count:6
time:215, count:27
time:140, count:20
time:2, count:2
time:208, count:610
time:213, count:265
time:198, count:382
time:44, count:2
time:41, count:53
time:38, count:1
time:170, count:287
time:170, count:69
time:193, count:973
time:152, count:21
total:, average count:128.946




time:1993, count:114790
time:247, count:9738
time:228, count:55200
time:567, count:20663
time:389, count:25912
time:585, count:116466
time:608, count:19364
time:558, count:80662
time:168, count:2602
time:465, count:70259
time:118, count:11690
time:39, count:652
time:201, count:3458
time:381, count:77527
time:113, count:7685
time:374, count:57673
time:355, count:87079
time:372, count:86059
time:178, count:20381
time:497, count:96926
time:495, count:76238
time:496, count:78273
time:228, count:17052
time:401, count:86776
time:409, count:63504
time:384, count:119540
time:157, count:24059
time:613, count:199769
time:149, count:51263
time:20, count:593
time:277, count:95327
time:210, count:20616
time:505, count:92072
time:171, count:1711
time:119, count:16661
time:327, count:53427
time:240, count:44889
time:356, count:112521
time:137, count:4738
time:357, count:42661
time:185, count:40437
time:481, count:83215
time:355, count:49475
time:409, count:39837
time:164, count:41957
