time:1337, count:6
time:20, count:1
time:93, count:109
time:68, count:332
time:54, count:171
time:69, count:68
time:43, count:5
time:276, count:469
time:42, count:1
time:23, count:49
time:25, count:104
time:11, count:1
time:13, count:8
time:9, count:20
time:15, count:2
time:44, count:715
time:81, count:633
time:21, count:3
time:23, count:43
time:45, count:163
time:43, count:7
time:74, count:938
time:15, count:4
time:90, count:118
time:70, count:160
time:100, count:17
time:12, count:120
time:12, count:69
time:25, count:151
time:12, count:37
time:13, count:2
time:35, count:1
time:26, count:9
time:8, count:1
time:20, count:301
time:14, count:21
time:35, count:93
time:22, count:9
time:14, count:55
time:31, count:227
time:18, count:62
time:19, count:77
time:23, count:501
time:45, count:724
time:13, count:210
time:42, count:84
time:12, count:11
time:42, count:477
time:15, count:7
time:19, count:1
time:57, count:319
time:54, count:547
time:19, count:53
time:24, count:48
time:29, count:101
time:46, count:49
time:19, count:53
time:21, count:60
time:20, count:19
time:19, count:135
time:18, count:12
time:18, count:66
time:49, count:22
time:23, count:102
time:10, count:25
time:39, count:137
time:15, count:12
time:14, count:83
time:14, count:6
time:8, count:116
time:6, count:12
time:63, count:1069
time:14, count:164
time:22, count:55
time:13, count:29
time:8, count:74
time:20, count:12
time:14, count:12
time:81, count:39
time:17, count:12
time:22, count:222
time:95, count:687
time:8, count:23
time:27, count:61
time:9, count:29
time:12, count:18
time:35, count:245
time:69, count:23
time:19, count:87
time:73, count:1142
time:16, count:9
time:27, count:105
time:9, count:46
time:10, count:26
time:44, count:169
time:15, count:323
time:17, count:341
time:10, count:32
time:22, count:50
time:16, count:5
time:16, count:101
time:11, count:6
time:16, count:143
time:17, count:362
time:19, count:103
time:6, count:11
time:13, count:18
time:41, count:255
time:17, count:259
time:13, count:708
time:14, count:18
time:6, count:1
time:18, count:960
time:39, count:58
time:67, count:293
time:25, count:74
time:13, count:161
time:102, count:711
time:6, count:77
time:15, count:222
time:56, count:17
time:11, count:43
time:6, count:1
time:14, count:202
time:75, count:487
time:10, count:81
time:55, count:89
time:12, count:47
time:8, count:167
time:28, count:134
time:60, count:734
time:14, count:141
time:27, count:68
time:9, count:143
time:33, count:499
time:12, count:4
time:64, count:16
time:22, count:76
time:46, count:84
time:15, count:85
time:49, count:13
time:13, count:31
time:8, count:2
time:21, count:128
time:29, count:53
time:5, count:19
time:45, count:712
time:21, count:196
time:41, count:32
time:25, count:312
time:26, count:117
time:13, count:105
time:14, count:172
time:10, count:1
time:25, count:33
time:35, count:226
time:27, count:77
time:13, count:8
time:40, count:6
time:15, count:165
time:9, count:34
time:26, count:142
time:9, count:1
time:44, count:53
time:7, count:39
time:18, count:94
time:13, count:242
time:37, count:778
time:8, count:1
time:17, count:107
time:52, count:542
time:32, count:32
time:40, count:299
time:15, count:7
time:14, count:31
time:9, count:17
time:12, count:40
time:46, count:248
time:34, count:120
time:33, count:227
time:13, count:79
time:33, count:7
time:30, count:407
time:16, count:6
time:6, count:2
time:10, count:6
time:44, count:395
time:7, count:2
time:9, count:44
time:5, count:20
time:15, count:17
time:6, count:24
time:27, count:153
time:36, count:353
time:9, count:149
time:10, count:4
time:15, count:22
time:11, count:48
time:8, count:26
time:25, count:54
time:72, count:83
time:10, count:100
time:76, count:75
time:64, count:415
time:8, count:20
time:20, count:383
time:33, count:118
time:41, count:14
time:7, count:146
time:15, count:205
time:21, count:109
time:33, count:515
time:13, count:79
time:55, count:33
time:10, count:2
time:27, count:53
time:10, count:69
time:5, count:27
time:37, count:188
time:25, count:175
time:8, count:3
time:30, count:680
time:17, count:882
time:22, count:89
time:36, count:439
time:10, count:2
time:16, count:111
time:6, count:141
time:23, count:24
time:16, count:51
time:21, count:52
time:16, count:29
time:7, count:3
time:14, count:20
time:14, count:5
time:31, count:120
time:30, count:15
time:15, count:759
time:46, count:21
time:15, count:424
time:64, count:283
time:39, count:25
time:12, count:61
time:5, count:1
time:15, count:255
time:4, count:27
time:13, count:10
time:2, count:3
time:12, count:449
time:11, count:77
time:2, count:22
time:30, count:54
time:8, count:3
time:45, count:45
time:60, count:38
time:13, count:3
time:10, count:35
time:11, count:24
time:12, count:29
time:26, count:523
time:41, count:107
time:25, count:490
time:8, count:18
time:9, count:26
time:18, count:671
time:58, count:87
time:36, count:17
time:6, count:4
time:7, count:27
time:29, count:42
time:13, count:2
time:9, count:1
time:12, count:109
time:18, count:256
time:21, count:323
time:16, count:385
time:9, count:9
time:23, count:165
time:12, count:1
time:10, count:49
time:31, count:161
time:54, count:18
time:10, count:1
time:14, count:366
time:8, count:105
time:10, count:4
time:8, count:11
time:11, count:133
time:10, count:135
time:30, count:769
time:11, count:4
time:38, count:79
time:42, count:177
time:19, count:16
time:17, count:129
time:6, count:1
time:12, count:375
time:97, count:231
time:8, count:113
time:6, count:3
time:5, count:5
time:9, count:52
time:14, count:175
time:5, count:12
time:18, count:75
time:34, count:132
time:33, count:120
time:14, count:57
time:34, count:18
time:15, count:28
time:10, count:32
time:9, count:9
time:16, count:353
time:36, count:848
time:70, count:53
time:41, count:59
time:24, count:14
time:8, count:8
time:7, count:77
time:30, count:134
time:10, count:155
time:12, count:10
time:16, count:100
time:3, count:17
time:37, count:538
time:4, count:8
time:57, count:277
time:10, count:3
time:10, count:123
time:16, count:324
time:12, count:1
time:6, count:1
time:20, count:16
time:13, count:3
time:44, count:45
time:28, count:45
time:61, count:261
time:8, count:1
time:23, count:140
time:13, count:3
time:23, count:468
time:45, count:58
time:5, count:1
time:7, count:12
time:42, count:71
time:9, count:79
time:51, count:41
time:22, count:50
time:3, count:3
time:12, count:34
time:6, count:18
time:48, count:1321
time:17, count:215
time:7, count:34
time:42, count:69
time:45, count:105
time:13, count:2
time:13, count:4
