time:724, count:315
time:12, count:12
time:22, count:183
time:14, count:69
time:39, count:720
time:14, count:171
time:13, count:75
time:13, count:252
time:14, count:132
time:14, count:96
time:15, count:228
time:17, count:390
time:9, count:48
time:11, count:39
time:12, count:129
time:16, count:414
time:9, count:114
time:11, count:198
time:16, count:339
time:13, count:21
time:12, count:60
time:15, count:78
time:13, count:300
time:11, count:156
time:12, count:183
time:15, count:309
time:23, count:720
time:10, count:213
time:13, count:303
time:9, count:6
time:9, count:141
time:11, count:309
time:17, count:192
time:11, count:273
time:10, count:189
time:11, count:147
time:9, count:126
time:10, count:105
time:15, count:120
time:11, count:36
time:16, count:399
time:12, count:30
time:13, count:300
time:12, count:201
time:13, count:543
time:8, count:105
time:9, count:45
time:15, count:438
time:10, count:324
time:9, count:45
time:14, count:81
time:8, count:132
time:10, count:69
time:16, count:720
time:11, count:63
time:10, count:267
time:11, count:45
time:8, count:84
time:9, count:15
time:8, count:51
time:13, count:357
time:12, count:294
time:11, count:198
time:9, count:123
time:9, count:216
time:11, count:144
time:17, count:675
time:16, count:21
time:10, count:90
time:11, count:63
time:9, count:135
time:10, count:75
time:10, count:210
time:22, count:720
time:9, count:285
time:12, count:183
time:8, count:96
time:14, count:231
time:10, count:312
time:15, count:720
time:13, count:240
time:9, count:162
time:9, count:90
time:14, count:63
time:11, count:201
time:9, count:264
time:9, count:6
time:10, count:192
time:10, count:66
time:9, count:81
time:12, count:105
time:20, count:720
time:11, count:123
time:14, count:327
time:23, count:516
time:12, count:69
time:10, count:252
time:10, count:276
time:7, count:36
time:12, count:132
time:8, count:246
time:9, count:213
time:10, count:351
time:10, count:120
time:10, count:60
time:11, count:9
time:9, count:24
time:9, count:282
time:10, count:150
time:11, count:531
time:9, count:66
time:9, count:51
time:9, count:78
time:8, count:21
time:9, count:249
time:10, count:387
time:11, count:381
time:9, count:81
time:11, count:198
time:11, count:36
time:10, count:198
time:11, count:168
time:12, count:141
time:10, count:174
time:11, count:24
time:10, count:171
time:11, count:177
time:14, count:507
time:9, count:6
time:10, count:117
time:10, count:111
time:10, count:276
time:11, count:420
time:9, count:183
time:12, count:345
time:9, count:51
time:9, count:78
time:8, count:57
time:10, count:228
time:8, count:33
time:9, count:138
time:11, count:147
time:12, count:258
time:15, count:216
time:13, count:198
time:10, count:156
time:10, count:60
time:8, count:42
time:12, count:309
time:12, count:309
time:17, count:375
time:13, count:324
time:24, count:207
time:21, count:390
time:18, count:48
time:15, count:18
time:14, count:162
time:17, count:309
time:20, count:324
time:14, count:207
time:21, count:135
time:19, count:210
time:16, count:132
time:20, count:24
time:14, count:42
time:21, count:633
time:21, count:114
time:17, count:84
time:18, count:240
time:20, count:315
time:15, count:6
time:20, count:291
time:19, count:444
time:17, count:153
time:14, count:39
time:21, count:522
time:19, count:81
time:29, count:57
time:18, count:129
time:12, count:183
time:13, count:162
time:9, count:24
time:11, count:93
time:15, count:348
time:8, count:66
time:15, count:423
time:12, count:246
time:13, count:246
time:15, count:270
time:16, count:24
time:8, count:84
time:9, count:144
time:25, count:132
time:10, count:162
time:9, count:318
time:10, count:267
time:11, count:393
time:10, count:348
time:8, count:144
time:10, count:171
time:14, count:405
time:14, count:519
time:10, count:45
time:10, count:150
time:7, count:66
time:9, count:60
time:7, count:114
time:13, count:270
time:10, count:420
time:9, count:246
time:10, count:261
time:8, count:270
time:10, count:195
time:8, count:24
time:9, count:132
time:9, count:3
time:14, count:228
time:18, count:312
time:11, count:15
time:13, count:393
time:10, count:9
time:11, count:204
time:10, count:147
time:10, count:147
time:10, count:249
time:10, count:342
time:8, count:33
time:9, count:120
time:9, count:132
time:9, count:177
time:11, count:270
time:10, count:6
time:9, count:108
time:10, count:36
time:10, count:90
time:8, count:33
time:8, count:81
time:9, count:60
time:8, count:165
time:10, count:198
time:9, count:63
time:10, count:147
time:9, count:165
time:11, count:528
time:11, count:132
time:11, count:222
time:10, count:207
time:10, count:66
time:9, count:45
time:9, count:30
time:11, count:279
time:9, count:150
time:11, count:378
time:10, count:12
time:10, count:255
time:10, count:252
time:9, count:237
time:8, count:21
time:10, count:117
time:12, count:195
time:9, count:117
time:10, count:156
time:11, count:303
time:9, count:141
time:9, count:108
time:14, count:294
time:9, count:90
time:9, count:231
time:10, count:168
time:10, count:216
time:9, count:159
time:10, count:285
time:11, count:264
time:12, count:147
time:11, count:294
time:10, count:159
time:12, count:60
time:9, count:132
time:12, count:156
time:7, count:6
time:10, count:90
time:11, count:144
time:10, count:114
time:11, count:270
time:10, count:69
time:9, count:309
time:9, count:147
time:8, count:72
time:11, count:240
time:8, count:51
time:11, count:75
time:11, count:237
time:10, count:204
time:9, count:165
time:11, count:228
time:11, count:459
time:14, count:168
time:14, count:324
time:16, count:720
time:15, count:147
time:11, count:75
time:11, count:111
time:11, count:144
time:10, count:159
time:10, count:282
time:9, count:90
time:9, count:108
time:12, count:639
time:8, count:3
time:13, count:330
time:14, count:423
time:10, count:93
time:8, count:21
time:11, count:126
time:10, count:33
time:9, count:120
time:9, count:168
time:10, count:201
time:8, count:39
time:14, count:210
time:10, count:192
time:14, count:513
time:11, count:177
time:14, count:426
time:12, count:144
time:10, count:423
time:9, count:90
time:11, count:234
time:8, count:90
time:12, count:147
time:9, count:84
time:8, count:54
time:11, count:42
time:8, count:3
time:11, count:141
time:8, count:57
time:11, count:240
time:8, count:201
time:10, count:165
time:9, count:120
time:8, count:201
time:11, count:81
time:10, count:63
time:10, count:90
time:10, count:144
time:10, count:327
time:11, count:111
time:10, count:21
time:10, count:126
time:8, count:27
time:10, count:48
time:10, count:156
time:10, count:384
time:9, count:279
time:8, count:60
time:8, count:123
time:13, count:150
time:8, count:15
time:9, count:87
time:8, count:6
time:8, count:141
time:9, count:129
time:10, count:291
time:8, count:105
time:7, count:171
time:7, count:60
time:15, count:720
time:9, count:132
time:8, count:123
time:9, count:3
time:10, count:168
time:12, count:138
time:9, count:78
time:10, count:96
time:17, count:99
time:9, count:105
time:11, count:372
time:7, count:27
time:8, count:72
time:8, count:111
time:9, count:144
time:10, count:168
time:10, count:387
time:10, count:72
time:9, count:330
time:9, count:315
time:9, count:156
time:9, count:252
time:9, count:165
time:7, count:39
time:9, count:21
time:13, count:270
time:9, count:42
time:11, count:348
time:10, count:66
time:9, count:36
time:11, count:30
time:9, count:270
time:9, count:69
time:9, count:162
time:10, count:513
time:9, count:270
time:9, count:30
time:9, count:165
time:9, count:9
time:13, count:183
time:9, count:63
time:9, count:27
time:8, count:42
time:10, count:30
time:10, count:156
time:10, count:216
time:11, count:234
time:11, count:159
time:9, count:90
time:13, count:396
time:11, count:96
time:8, count:108
time:9, count:90
time:14, count:528
time:9, count:129
time:15, count:405
time:11, count:288
time:15, count:108
time:10, count:69
time:11, count:54
time:8, count:93
time:8, count:66
time:7, count:30
time:10, count:30
time:9, count:171
time:9, count:147
time:8, count:12
time:9, count:243
time:9, count:303
time:11, count:720
time:10, count:120
time:8, count:33
time:11, count:345
time:8, count:96
time:7, count:48
time:21, count:222
time:9, count:111
time:14, count:321
time:11, count:204
time:10, count:231
time:8, count:174
time:10, count:129
time:8, count:138
time:9, count:135
time:8, count:135
time:9, count:117
time:9, count:153
time:10, count:111
time:9, count:21
time:9, count:189
time:9, count:132
time:10, count:81
time:13, count:510
time:9, count:33
time:9, count:360
time:13, count:720
time:12, count:168
time:11, count:48
time:11, count:270
time:10, count:282
time:10, count:48
time:9, count:180
time:8, count:63
time:10, count:135
time:10, count:237
time:11, count:258
time:8, count:243
time:10, count:45
time:10, count:276
time:9, count:78
time:7, count:129
time:8, count:15
time:10, count:69
time:36, count:27
time:21, count:36
time:19, count:162
time:23, count:279
time:20, count:270
time:19, count:465
time:18, count:267
time:14, count:90
time:15, count:384
time:17, count:105
time:24, count:102
time:16, count:171
time:16, count:285
time:21, count:108
time:21, count:330
time:14, count:39
time:28, count:153
time:24, count:75
time:18, count:198
time:28, count:63
time:18, count:18
time:20, count:315
time:10, count:12
time:10, count:183
time:11, count:69
time:15, count:720
time:14, count:171
time:13, count:75
time:13, count:252
time:10, count:132
time:8, count:96
time:16, count:228
time:14, count:390
time:8, count:48
time:8, count:39
time:10, count:129
time:11, count:414
time:8, count:114
time:9, count:198
time:10, count:339
time:9, count:21
time:11, count:60
time:13, count:78
time:9, count:300
time:10, count:156
time:10, count:183
time:13, count:309
time:19, count:720
time:9, count:213
time:11, count:303
time:9, count:6
time:9, count:141
time:10, count:309
time:16, count:192
time:10, count:273
time:9, count:189
time:10, count:147
time:8, count:126
time:10, count:105
time:13, count:120
time:10, count:36
time:14, count:399
time:11, count:30
time:10, count:300
time:10, count:201
time:9, count:543
time:7, count:105
time:8, count:45
time:12, count:438
time:11, count:324
time:10, count:45
time:16, count:81
time:11, count:132
time:9, count:69
time:17, count:720
time:11, count:63
time:10, count:267
time:10, count:45
time:8, count:84
time:8, count:15
time:8, count:51
time:13, count:357
time:9, count:294
time:11, count:198
time:8, count:123
time:8, count:216
time:10, count:144
time:14, count:675
time:9, count:21
time:9, count:90
time:9, count:63
time:8, count:135
time:9, count:75
time:14, count:210
time:22, count:720
time:9, count:285
time:11, count:183
time:8, count:96
time:13, count:231
time:10, count:312
time:14, count:720
time:12, count:240
time:9, count:162
time:8, count:90
time:13, count:63
time:11, count:201
time:9, count:264
time:8, count:6
time:10, count:192
time:10, count:66
time:9, count:81
time:11, count:105
time:18, count:720
time:10, count:123
time:13, count:327
time:23, count:516
time:12, count:69
time:9, count:252
time:9, count:276
time:7, count:36
time:12, count:132
time:9, count:246
time:8, count:213
time:9, count:351
time:9, count:120
time:10, count:60
time:11, count:9
time:10, count:24
time:9, count:282
time:10, count:150
time:10, count:531
time:8, count:66
time:10, count:51
time:8, count:78
time:9, count:21
time:10, count:249
time:11, count:387
time:10, count:381
time:10, count:81
time:10, count:198
time:11, count:36
time:10, count:198
time:10, count:168
time:15, count:141
time:9, count:174
time:10, count:24
time:9, count:171
time:9, count:177
time:12, count:507
time:8, count:6
time:9, count:117
time:9, count:111
time:10, count:276
time:9, count:420
time:8, count:183
time:12, count:345
time:8, count:51
time:10, count:78
time:8, count:57
time:8, count:228
time:8, count:33
time:8, count:138
time:11, count:147
time:12, count:258
time:15, count:216
time:10, count:198
time:10, count:156
time:9, count:60
time:8, count:42
time:11, count:309
time:11, count:309
time:17, count:375
time:13, count:324
time:9, count:207
time:12, count:390
time:9, count:48
time:8, count:18
time:8, count:162
time:10, count:309
time:12, count:324
time:8, count:207
time:11, count:135
time:10, count:210
time:9, count:132
time:8, count:24
time:7, count:42
time:11, count:633
time:11, count:114
time:9, count:84
time:9, count:240
time:10, count:315
time:7, count:6
time:11, count:291
time:11, count:444
time:9, count:153
time:7, count:39
time:9, count:522
time:10, count:81
time:10, count:57
time:10, count:129
time:10, count:183
time:9, count:162
time:8, count:24
time:9, count:93
time:10, count:348
time:7, count:66
time:11, count:423
time:9, count:246
time:10, count:246
time:10, count:270
time:12, count:24
time:7, count:84
time:7, count:144
time:22, count:132
time:10, count:162
time:8, count:318
time:9, count:267
time:10, count:393
time:10, count:348
time:8, count:144
time:11, count:171
time:13, count:405
time:12, count:519
time:10, count:45
time:11, count:150
time:7, count:66
time:8, count:60
time:7, count:114
time:12, count:270
time:9, count:420
time:8, count:246
time:11, count:261
time:9, count:270
time:9, count:195
time:8, count:24
time:8, count:132
time:9, count:3
time:14, count:228
time:17, count:312
time:10, count:15
time:12, count:393
time:9, count:9
time:11, count:204
time:11, count:147
time:8, count:147
time:10, count:249
