time:898, count:234
time:68, count:7
time:134, count:270
time:103, count:258
time:119, count:94
time:148, count:661
time:88, count:105
time:256, count:1154
time:76, count:44
time:111, count:264
time:103, count:162
time:30, count:4
time:39, count:1
time:88, count:210
time:71, count:54
time:171, count:693
time:166, count:561
time:129, count:91
time:102, count:114
time:185, count:1098
time:119, count:588
time:172, count:794
time:77, count:26
time:133, count:348
time:117, count:104
time:164, count:1091
time:118, count:176
time:148, count:123
time:122, count:300
time:37, count:4
time:80, count:290
time:98, count:35
time:72, count:32
time:27, count:2
time:83, count:127
time:110, count:280
time:98, count:282
time:58, count:92
time:84, count:38
time:130, count:361
time:114, count:191
time:127, count:295
time:128, count:791
time:86, count:71
time:103, count:370
time:123, count:861
time:59, count:57
time:144, count:330
time:122, count:166
time:52, count:1
time:208, count:1298
time:161, count:335
time:92, count:142
time:124, count:493
time:103, count:271
time:129, count:600
time:66, count:80
time:67, count:21
time:42, count:5
time:120, count:215
time:94, count:46
time:110, count:323
time:118, count:283
time:105, count:241
time:68, count:102
time:118, count:881
time:81, count:200
time:70, count:153
time:64, count:26
time:122, count:806
time:53, count:26
time:252, count:1251
time:133, count:248
time:68, count:30
time:61, count:48
time:55, count:88
time:78, count:89
time:42, count:24
time:129, count:995
time:84, count:98
time:71, count:88
time:108, count:582
time:57, count:28
time:119, count:22
time:92, count:115
time:81, count:95
time:106, count:210
time:93, count:282
time:82, count:32
time:130, count:803
time:141, count:273
time:91, count:74
time:41, count:85
time:70, count:133
time:179, count:898
time:165, count:298
time:121, count:674
time:71, count:97
time:71, count:84
time:37, count:6
time:39, count:27
time:53, count:18
time:129, count:222
time:111, count:49
time:148, count:423
time:86, count:45
time:112, count:434
time:175, count:839
time:111, count:147
time:98, count:194
time:103, count:392
time:89, count:161
time:113, count:553
time:152, count:907
time:168, count:1140
time:102, count:140
time:139, count:151
time:201, count:1516
time:127, count:586
time:84, count:98
time:174, count:1054
time:65, count:5
time:23, count:1
time:74, count:183
time:161, count:2127
time:54, count:32
time:140, count:154
time:52, count:111
time:60, count:36
time:132, count:439
time:181, count:2359
time:89, count:54
time:141, count:396
time:154, count:1097
time:204, count:861
time:36, count:4
time:211, count:1255
time:135, count:767
time:131, count:244
time:92, count:185
time:148, count:756
time:87, count:92
time:42, count:1
time:87, count:15
time:80, count:54
time:42, count:83
time:178, count:1253
time:122, count:422
time:143, count:796
time:118, count:545
time:119, count:249
time:209, count:339
time:51, count:183
time:25, count:1
time:150, count:499
time:118, count:200
time:141, count:311
time:101, count:219
time:157, count:790
time:108, count:368
time:105, count:75
time:129, count:479
time:21, count:1
time:123, count:233
time:49, count:65
time:87, count:131
time:90, count:121
time:90, count:162
time:20, count:4
time:188, count:266
time:247, count:2083
time:128, count:297
time:128, count:472
time:60, count:13
time:145, count:345
time:80, count:72
time:33, count:40
time:76, count:141
time:145, count:234
time:160, count:1043
time:110, count:129
time:126, count:149
time:114, count:118
time:164, count:380
time:55, count:12
time:58, count:32
time:127, count:381
time:53, count:35
time:81, count:99
time:33, count:17
time:48, count:18
time:43, count:21
time:208, count:254
time:129, count:421
time:114, count:287
time:24, count:1
time:71, count:140
time:75, count:268
time:45, count:7
time:121, count:316
time:176, count:1385
time:89, count:235
time:137, count:420
time:101, count:249
time:73, count:81
time:99, count:439
time:157, count:520
time:129, count:189
time:104, count:129
time:178, count:687
time:108, count:24
time:162, count:700
time:53, count:41
time:202, count:955
time:125, count:91
time:74, count:187
time:70, count:304
time:58, count:41
time:167, count:1414
time:135, count:844
time:21, count:3
time:142, count:1120
time:131, count:305
time:131, count:915
time:156, count:1864
time:21, count:2
time:119, count:179
time:90, count:134
time:104, count:237
time:143, count:471
time:109, count:174
time:62, count:106
time:70, count:41
time:70, count:51
time:108, count:175
time:80, count:385
time:200, count:260
time:106, count:29
time:152, count:499
time:138, count:1188
time:174, count:1579
time:166, count:685
time:80, count:53
time:27, count:1
time:92, count:311
time:42, count:18
time:105, count:380
time:27, count:1
time:80, count:153
time:74, count:28
time:58, count:35
time:247, count:486
time:201, count:60
time:124, count:91
time:175, count:1450
time:60, count:20
time:79, count:98
time:87, count:59
time:116, count:366
time:140, count:895
time:123, count:264
time:135, count:833
time:40, count:25
time:71, count:86
time:93, count:278
time:100, count:192
time:110, count:218
time:38, count:37
time:28, count:22
time:138, count:340
time:62, count:10
