time:1018, count:6
time:26, count:1
time:394, count:109
time:236, count:332
time:211, count:171
time:243, count:68
time:255, count:5
time:1418, count:469
time:58, count:1
time:132, count:49
time:83, count:104
time:8, count:1
time:28, count:8
time:67, count:20
time:77, count:2
time:247, count:715
time:404, count:633
time:48, count:3
time:86, count:43
time:538, count:163
time:272, count:7
time:566, count:938
time:45, count:4
time:460, count:118
time:376, count:160
time:665, count:17
time:93, count:120
time:38, count:69
time:141, count:151
time:55, count:37
time:152, count:2
time:122, count:1
time:63, count:9
time:9, count:1
time:75, count:301
time:133, count:21
time:254, count:93
time:80, count:9
time:58, count:55
time:157, count:227
time:121, count:62
time:139, count:77
time:176, count:501
time:73, count:724
time:78, count:210
time:445, count:84
time:84, count:11
time:386, count:477
time:97, count:7
time:11, count:1
time:319, count:319
time:378, count:547
time:83, count:53
time:186, count:48
time:337, count:101
time:605, count:49
time:185, count:53
time:192, count:60
time:70, count:19
time:194, count:135
time:66, count:12
time:69, count:66
time:316, count:22
time:140, count:102
time:88, count:25
time:370, count:137
time:129, count:12
time:100, count:83
time:48, count:6
time:40, count:116
time:25, count:12
time:413, count:1069
time:71, count:164
time:86, count:55
time:41, count:29
time:41, count:74
time:83, count:12
time:22, count:12
time:360, count:39
time:52, count:12
time:80, count:222
time:540, count:687
time:61, count:23
time:135, count:61
time:70, count:29
time:75, count:18
time:185, count:245
time:312, count:23
time:105, count:87
time:433, count:1142
time:119, count:9
time:149, count:105
time:21, count:46
time:14, count:26
time:362, count:169
time:94, count:323
time:135, count:341
time:29, count:32
time:123, count:50
time:56, count:5
time:123, count:101
time:93, count:6
time:126, count:143
time:129, count:362
time:149, count:103
time:38, count:11
time:96, count:18
time:374, count:255
time:143, count:259
time:93, count:708
time:100, count:18
time:43, count:1
time:144, count:960
time:150, count:58
time:567, count:293
time:185, count:74
time:86, count:161
time:822, count:711
time:41, count:77
time:52, count:222
time:422, count:17
time:78, count:43
time:7, count:1
time:102, count:202
time:638, count:487
time:41, count:81
time:408, count:89
time:47, count:47
time:56, count:167
time:243, count:134
time:385, count:734
time:105, count:141
time:235, count:68
time:110, count:143
time:254, count:499
time:11, count:4
time:510, count:16
time:186, count:76
time:401, count:84
time:121, count:85
time:330, count:13
time:54, count:31
time:10, count:2
time:209, count:128
time:214, count:53
time:27, count:19
time:381, count:712
time:171, count:196
time:352, count:32
time:187, count:312
time:206, count:116
time:107, count:105
time:33, count:172
time:16, count:1
time:239, count:33
time:157, count:226
time:173, count:77
time:94, count:8
time:301, count:6
time:119, count:165
time:76, count:34
time:216, count:142
time:7, count:1
time:356, count:53
time:50, count:39
time:154, count:94
time:121, count:242
time:313, count:778
time:7, count:1
time:135, count:107
time:397, count:542
time:271, count:32
time:312, count:299
time:64, count:7
time:117, count:31
time:71, count:17
time:46, count:40
time:411, count:248
time:309, count:120
time:292, count:227
time:109, count:79
time:248, count:7
time:268, count:407
time:128, count:6
time:47, count:2
time:37, count:6
time:149, count:395
time:38, count:2
time:64, count:44
time:34, count:20
time:50, count:17
time:21, count:24
time:213, count:153
time:318, count:353
time:81, count:149
time:13, count:4
time:89, count:22
time:52, count:48
time:29, count:26
time:206, count:54
time:595, count:83
time:102, count:100
time:594, count:75
time:225, count:415
time:86, count:20
time:166, count:383
time:268, count:118
time:374, count:14
time:59, count:146
time:112, count:205
time:163, count:109
time:263, count:515
time:70, count:79
time:447, count:33
time:25, count:2
time:73, count:53
time:64, count:69
time:27, count:27
time:258, count:188
time:195, count:175
time:7, count:3
time:260, count:680
time:125, count:882
time:180, count:89
time:288, count:439
time:7, count:2
time:118, count:111
time:38, count:141
time:174, count:24
time:130, count:51
time:136, count:52
time:97, count:29
time:52, count:3
time:102, count:20
time:110, count:5
time:249, count:120
time:209, count:15
time:101, count:759
time:374, count:21
time:106, count:424
time:302, count:283
time:329, count:25
time:102, count:61
time:12, count:1
time:127, count:255
time:23, count:27
time:99, count:10
time:13, count:3
time:94, count:449
time:56, count:77
time:15, count:22
time:234, count:54
time:50, count:3
time:372, count:45
time:267, count:38
time:124, count:3
time:67, count:35
time:87, count:24
time:93, count:29
time:218, count:522
time:364, count:107
time:205, count:490
time:24, count:18
time:63, count:26
time:145, count:671
time:488, count:87
time:430, count:17
time:27, count:4
time:20, count:27
time:258, count:42
time:39, count:2
time:8, count:1
time:98, count:109
time:174, count:256
time:165, count:323
time:104, count:385
time:67, count:9
time:197, count:165
time:92, count:1
time:80, count:49
time:262, count:161
time:430, count:18
time:21, count:1
time:80, count:366
time:77, count:105
time:16, count:4
time:55, count:11
time:80, count:133
time:86, count:135
time:261, count:769
time:17, count:4
time:86, count:79
time:294, count:177
time:101, count:16
time:112, count:129
time:6, count:1
time:91, count:375
time:781, count:231
time:46, count:113
time:10, count:3
time:56, count:5
time:76, count:52
time:111, count:175
time:16, count:12
time:145, count:75
time:274, count:132
time:179, count:120
time:30, count:57
time:111, count:18
time:127, count:28
time:79, count:32
time:27, count:9
time:126, count:353
time:356, count:848
time:396, count:53
time:317, count:59
time:211, count:14
time:18, count:8
time:51, count:77
time:219, count:134
time:74, count:155
time:42, count:10
time:115, count:100
time:27, count:17
time:303, count:538
time:32, count:8
time:466, count:277
time:80, count:3
time:94, count:123
time:129, count:324
time:15, count:1
time:19, count:1
time:130, count:16
time:46, count:3
time:130, count:45
time:251, count:45
time:483, count:261
time:33, count:1
time:198, count:140
time:130, count:3
time:216, count:468
time:400, count:58
time:57, count:1
time:62, count:12
time:364, count:71
time:76, count:79
time:429, count:41
time:196, count:50
time:24, count:3
time:69, count:34
time:38, count:18
time:416, count:1321
time:134, count:215
time:63, count:34
time:331, count:69
time:351, count:105
time:103, count:2
time:94, count:4
time:218, count:151
time:244, count:61
time:155, count:227
time:143, count:258
time:47, count:1
time:160, count:156
time:72, count:61
time:217, count:48
time:81, count:40
time:61, count:3
time:183, count:8
time:24, count:2
time:49, count:5
time:456, count:563
time:33, count:33
time:103, count:56
time:106, count:179
time:85, count:63
time:169, count:24
time:6, count:1
time:156, count:187
time:115, count:37
time:24, count:5
time:11, count:1
time:176, count:305
time:612, count:685
time:98, count:24
time:518, count:123
time:125, count:8
time:37, count:38
time:92, count:14
time:42, count:98
time:233, count:70
time:147, count:21
time:58, count:43
time:58, count:34
time:167, count:40
time:60, count:49
time:303, count:67
time:135, count:44
time:196, count:116
time:221, count:57
time:153, count:137
time:650, count:1212
time:19, count:3
time:250, count:1
time:320, count:29
time:151, count:11
