time:1362, count:234
time:450, count:7
time:472, count:270
time:364, count:258
time:472, count:94
time:402, count:661
time:217, count:105
time:292, count:1154
time:221, count:44
time:281, count:264
time:296, count:162
time:316, count:4
time:208, count:1
time:278, count:210
time:128, count:54
time:317, count:693
time:153, count:561
time:213, count:91
time:340, count:114
time:225, count:1098
time:248, count:588
time:270, count:794
time:540, count:26
time:219, count:348
time:142, count:104
time:263, count:1091
time:263, count:176
time:146, count:123
time:338, count:300
time:166, count:4
time:98, count:290
time:228, count:35
time:272, count:32
time:254, count:2
time:182, count:127
time:298, count:280
time:127, count:282
time:90, count:92
time:225, count:38
time:239, count:361
time:372, count:191
time:339, count:295
time:399, count:791
time:173, count:71
time:375, count:370
time:175, count:861
time:79, count:57
time:173, count:330
time:249, count:166
time:118, count:1
time:256, count:1298
time:231, count:335
time:205, count:142
time:231, count:493
time:233, count:271
time:229, count:600
time:115, count:80
time:109, count:21
time:103, count:5
time:166, count:215
time:230, count:46
time:276, count:323
time:210, count:283
time:167, count:241
time:163, count:102
time:127, count:881
time:98, count:200
time:110, count:153
time:130, count:26
time:159, count:806
time:183, count:26
time:250, count:1251
time:289, count:248
time:189, count:30
time:134, count:48
time:193, count:88
time:196, count:89
time:172, count:24
time:149, count:995
time:162, count:98
time:126, count:88
time:136, count:582
time:121, count:28
time:135, count:22
time:236, count:115
time:250, count:95
time:238, count:210
time:188, count:282
time:136, count:32
time:170, count:803
time:233, count:273
time:255, count:74
time:278, count:85
time:209, count:133
time:163, count:898
time:240, count:298
time:209, count:674
time:199, count:97
time:260, count:84
time:178, count:6
time:131, count:27
time:127, count:18
time:232, count:222
time:144, count:48
time:228, count:423
time:153, count:45
time:263, count:434
time:284, count:839
time:191, count:147
time:251, count:194
time:314, count:392
time:303, count:161
time:208, count:553
time:252, count:907
time:199, count:1140
time:137, count:140
time:202, count:151
time:240, count:1516
time:162, count:586
time:209, count:98
time:280, count:1054
time:176, count:5
time:360, count:1
time:270, count:183
time:273, count:2127
time:271, count:32
time:164, count:154
time:326, count:111
time:308, count:36
time:290, count:439
time:383, count:2359
time:268, count:54
time:325, count:396
time:314, count:1097
time:480, count:861
time:447, count:4
time:320, count:1255
time:222, count:767
time:148, count:244
time:216, count:185
time:368, count:756
time:299, count:92
time:214, count:1
time:171, count:15
time:312, count:54
time:416, count:83
time:545, count:1253
time:318, count:422
time:320, count:796
time:341, count:545
time:407, count:249
time:222, count:339
time:364, count:183
time:493, count:1
time:351, count:499
time:332, count:200
time:302, count:311
time:320, count:219
time:329, count:790
time:448, count:368
time:216, count:75
time:265, count:479
time:180, count:1
time:201, count:233
time:216, count:65
time:120, count:131
time:131, count:121
time:119, count:162
time:62, count:4
time:245, count:266
time:350, count:2083
time:171, count:297
time:305, count:472
time:347, count:13
time:271, count:345
time:163, count:72
time:155, count:40
time:112, count:141
time:294, count:234
time:317, count:1043
time:320, count:129
time:336, count:149
time:190, count:118
time:335, count:380
time:283, count:12
time:227, count:32
time:256, count:381
time:326, count:35
time:370, count:99
time:229, count:17
time:220, count:18
time:193, count:21
time:166, count:254
time:144, count:421
time:269, count:287
time:289, count:1
time:292, count:140
time:245, count:268
time:185, count:7
time:462, count:316
