time:9400, count:6
time:5723, count:1
time:6870, count:109
time:4473, count:332
time:4486, count:171
time:4684, count:68
time:6522, count:5
time:5059, count:469
time:4771, count:1
time:4459, count:49
time:4568, count:104
time:4190, count:1
time:4051, count:8
time:2908, count:20
time:3114, count:2
time:4218, count:715
time:3980, count:633
time:4073, count:3
time:3858, count:43
time:3872, count:163
time:4192, count:7
time:4069, count:938
time:4559, count:4
time:4651, count:118
time:4632, count:160
time:4410, count:17
time:4353, count:120
time:5387, count:69
time:5152, count:151
time:3884, count:37
time:3007, count:2
time:4194, count:1
time:4473, count:9
time:5191, count:1
time:4055, count:301
time:2839, count:21
time:2986, count:93
time:2997, count:9
time:3731, count:55
time:3796, count:227
time:3805, count:62
time:3924, count:77
time:3971, count:501
time:4538, count:724
time:4573, count:210
time:3165, count:84
time:3453, count:11
time:3695, count:477
time:3712, count:7
time:3795, count:1
time:3779, count:319
time:3539, count:547
time:3568, count:53
time:3893, count:48
time:3593, count:101
time:3660, count:49
time:2644, count:53
time:2918, count:60
time:3184, count:19
time:3212, count:135
time:3719, count:12
time:3546, count:66
time:3637, count:22
time:3534, count:102
time:3598, count:25
time:2807, count:137
time:2927, count:12
time:3494, count:83
time:3365, count:6
time:3370, count:116
time:3901, count:12
time:3168, count:1069
time:3131, count:164
time:2952, count:55
time:2818, count:29
time:2786, count:74
time:3363, count:12
time:3087, count:12
time:2960, count:39
time:2974, count:12
time:2831, count:222
time:2761, count:687
time:2223, count:23
time:3068, count:61
time:3095, count:29
time:3095, count:18
time:4188, count:245
time:3382, count:23
time:3409, count:87
time:2798, count:1142
time:3243, count:9
time:3925, count:105
time:4008, count:46
time:3914, count:26
time:3894, count:169
time:4808, count:323
time:4729, count:341
time:4324, count:32
time:4178, count:50
time:2577, count:5
time:3124, count:101
time:3146, count:6
time:3955, count:143
time:4314, count:362
time:4191, count:103
time:4423, count:11
time:4571, count:18
time:4623, count:255
time:4546, count:259
time:4524, count:708
time:4755, count:18
time:5881, count:1
time:5674, count:960
time:4909, count:58
time:5149, count:293
time:5931, count:74
time:5293, count:161
time:5277, count:711
time:4280, count:77
time:4686, count:222
time:5181, count:17
time:5838, count:43
time:6322, count:1
time:6493, count:202
time:7571, count:487
time:5952, count:81
time:4755, count:89
time:5811, count:47
time:4558, count:167
time:5108, count:134
time:4697, count:734
time:5107, count:141
time:4205, count:68
time:6718, count:143
time:6860, count:499
time:8234, count:4
time:5339, count:16
time:4314, count:76
time:2920, count:84
time:4164, count:85
time:7457, count:13
time:5223, count:31
time:5140, count:2
time:6779, count:128
time:4921, count:53
time:5298, count:19
time:4849, count:712
time:5206, count:196
time:10739, count:32
time:5557, count:312
time:4785, count:116
time:2877, count:105
time:6723, count:172
time:4112, count:1
time:4263, count:33
time:4353, count:226
time:4657, count:77
time:5613, count:8
time:5062, count:6
time:5452, count:165
time:6779, count:34
time:4998, count:142
time:4748, count:1
time:4592, count:53
time:3462, count:39
time:4220, count:94
time:3370, count:242
time:4365, count:778
time:5059, count:1
time:5531, count:107
time:5520, count:542
time:5160, count:32
time:4557, count:299
time:4243, count:7
time:5910, count:31
time:3948, count:17
time:3916, count:40
time:3586, count:248
time:4992, count:120
time:4613, count:227
time:4922, count:79
time:5045, count:7
time:4585, count:407
time:4677, count:6
time:8198, count:2
time:4748, count:6
time:4806, count:395
time:5345, count:2
time:4820, count:44
time:4536, count:20
time:4988, count:17
time:4450, count:24
time:4228, count:153
time:3972, count:353
time:4310, count:149
time:6565, count:4
time:4043, count:22
time:4559, count:48
time:6724, count:26
time:6317, count:54
time:8994, count:83
time:5336, count:100
time:5632, count:75
time:4216, count:415
time:3029, count:20
time:2997, count:383
time:4477, count:118
time:6386, count:14
time:4180, count:146
time:4185, count:205
time:4199, count:109
time:5156, count:515
time:4889, count:79
time:4950, count:33
time:5064, count:2
time:3863, count:53
time:3409, count:69
time:3561, count:27
time:3861, count:188
time:3802, count:175
time:3969, count:3
time:4057, count:680
time:4610, count:882
time:4174, count:89
time:4375, count:439
time:2663, count:2
time:3188, count:111
time:3636, count:141
time:4131, count:24
time:4424, count:51
time:8064, count:52
time:4488, count:29
time:3778, count:3
time:3663, count:20
time:3180, count:5
time:3434, count:120
time:6421, count:15
time:7135, count:759
time:7315, count:21
time:5594, count:424
time:5151, count:283
time:5041, count:25
time:4500, count:61
time:4366, count:1
time:4337, count:255
time:4773, count:27
time:4923, count:10
time:4495, count:3
time:4712, count:449
time:5663, count:77
time:5516, count:22
time:5778, count:54
time:4676, count:3
time:4499, count:45
time:3456, count:38
time:4039, count:3
time:4005, count:35
time:4075, count:24
time:4189, count:29
time:3736, count:522
time:6261, count:107
time:6237, count:490
time:5114, count:18
time:4621, count:26
time:4272, count:671
time:4024, count:87
time:2537, count:17
time:3568, count:4
time:3898, count:27
time:3900, count:42
time:5670, count:2
time:3716, count:1
time:4213, count:109
time:4185, count:256
time:4241, count:323
time:4291, count:385
time:4605, count:9
time:4759, count:165
time:8646, count:1
time:4182, count:49
time:4797, count:161
time:4033, count:18
time:2660, count:1
time:2855, count:366
time:3943, count:105
time:4328, count:4
time:4408, count:11
time:4314, count:133
time:6923, count:135
time:5266, count:769
time:5497, count:4
time:5789, count:79
time:5857, count:177
time:7171, count:16
time:8565, count:129
time:5508, count:1
time:5292, count:375
time:5393, count:231
time:4833, count:113
time:4731, count:3
time:3415, count:5
time:4017, count:52
time:4350, count:175
time:3197, count:12
time:3437, count:75
time:5322, count:132
time:4376, count:120
time:3874, count:57
time:3923, count:18
time:2454, count:28
time:2766, count:32
time:6319, count:9
time:6022, count:353
time:4708, count:848
time:4226, count:53
time:3907, count:59
time:3851, count:14
time:3214, count:8
time:3502, count:77
time:3886, count:134
time:3992, count:155
time:3953, count:10
time:4028, count:100
time:4748, count:17
time:3619, count:538
time:2653, count:8
time:1902, count:277
time:3362, count:3
time:3771, count:123
time:3790, count:324
time:4214, count:1
time:4202, count:1
time:4687, count:16
time:5331, count:3
time:5674, count:45
time:5098, count:45
time:3284, count:261
time:3295, count:1
time:3783, count:140
time:3791, count:3
time:4964, count:468
time:4519, count:58
time:3433, count:1
time:3771, count:12
time:4498, count:71
time:3502, count:79
time:3348, count:41
time:4044, count:50
time:4009, count:3
time:4531, count:34
time:4010, count:18
time:3983, count:1321
time:3965, count:215
time:2210, count:34
time:3688, count:69
time:5752, count:105
time:4282, count:2
time:4220, count:4
time:4100, count:151
time:4239, count:61
time:4480, count:227
time:5089, count:258
time:3997, count:1
time:6336, count:156
time:3883, count:61
time:4265, count:48
time:4505, count:40
time:4385, count:3
time:5801, count:8
time:5375, count:2
time:6284, count:5
time:5585, count:563
time:4938, count:33
