time:503, count:525
time:5, count:20
time:7, count:305
time:5, count:115
time:13, count:1201
time:4, count:285
time:3, count:125
time:10, count:420
time:5, count:220
time:4, count:160
time:4, count:380
time:8, count:650
time:45, count:80
time:3, count:65
time:5, count:216
time:9, count:690
time:4, count:190
time:7, count:330
time:9, count:565
time:45, count:35
time:3, count:100
time:4, count:130
time:8, count:500
time:6, count:260
time:5, count:305
time:7, count:515
time:12, count:1201
time:4, count:355
time:7, count:505
time:46, count:10
time:6, count:235
time:7, count:515
time:5, count:320
time:8, count:455
time:7, count:315
time:4, count:245
time:4, count:210
time:3, count:175
time:4, count:200
time:44, count:60
time:9, count:665
time:3, count:50
time:6, count:500
time:6, count:335
time:10, count:905
time:4, count:175
time:45, count:75
time:10, count:730
time:7, count:536
time:46, count:75
time:4, count:135
time:4, count:220
time:5, count:115
time:16, count:1201
time:47, count:105
time:7, count:441
time:3, count:75
time:4, count:140
time:4, count:25
time:45, count:85
time:9, count:593
time:10, count:490
time:6, count:330
time:5, count:205
time:4, count:360
time:4, count:240
time:15, count:1125
time:43, count:35
time:2, count:150
time:3, count:105
time:3, count:225
time:3, count:125
time:2, count:350
time:16, count:1201
time:7, count:475
time:6, count:305
time:2, count:160
time:2, count:385
time:5, count:520
time:13, count:1201
time:4, count:398
time:3, count:270
time:2, count:150
time:45, count:105
time:4, count:335
time:5, count:440
time:46, count:10
time:6, count:320
time:3, count:110
time:3, count:135
time:3, count:175
time:16, count:1201
time:2, count:205
time:3, count:545
time:8, count:858
time:47, count:115
time:2, count:1
time:5, count:458
time:1, count:59
time:3, count:220
time:5, count:410
time:4, count:351
time:4, count:583
time:2, count:198
time:45, count:100
time:2, count:15
time:2, count:40
time:8, count:470
time:4, count:246
time:8, count:885
time:44, count:110
time:2, count:85
time:2, count:127
time:1, count:35
time:5, count:415
time:3, count:642
time:7, count:632
time:1, count:135
time:4, count:330
time:46, count:60
time:2, count:65
time:2, count:209
time:3, count:235
time:5, count:290
time:43, count:40
time:5, count:285
time:3, count:295
time:9, count:845
time:46, count:10
time:2, count:195
time:2, count:185
time:3, count:460
time:6, count:700
time:2, count:305
time:2, count:572
time:44, count:85
time:3, count:130
time:1, count:95
time:3, count:380
time:1, count:55
time:1, count:230
time:3, count:245
time:6, count:429
time:4, count:357
time:4, count:330
time:3, count:260
time:42, count:100
time:2, count:70
time:3, count:515
time:6, count:512
time:9, count:625
time:5, count:540
time:5, count:342
time:7, count:650
time:45, count:80
time:2, count:30
time:3, count:270
time:7, count:515
time:5, count:537
time:3, count:345
time:2, count:225
time:8, count:350
time:2, count:220
time:43, count:40
time:3, count:70
time:11, count:1055
time:4, count:190
time:2, count:140
time:7, count:400
time:7, count:525
time:46, count:10
time:6, count:482
time:7, count:740
time:3, count:255
time:43, count:65
time:9, count:870
time:2, count:135
time:2, count:95
time:5, count:215
time:4, count:305
time:4, count:266
time:42, count:40
time:3, count:155
time:6, count:580
time:4, count:110
time:8, count:705
time:5, count:410
time:6, count:410
time:6, count:447
time:46, count:40
time:4, count:140
time:4, count:240
time:4, count:220
time:5, count:268
time:3, count:530
time:4, count:445
time:7, count:653
time:7, count:580
time:4, count:240
time:5, count:285
time:7, count:675
time:8, count:865
time:46, count:75
time:2, count:250
time:3, count:110
time:1, count:100
time:2, count:190
time:7, count:450
time:5, count:700
time:3, count:410
time:7, count:435
time:5, count:450
time:4, count:325
time:43, count:40
time:4, count:220
time:3, count:5
time:6, count:380
time:14, count:519
time:45, count:25
time:7, count:655
time:2, count:15
time:3, count:340
time:3, count:245
time:3, count:245
time:6, count:415
time:6, count:570
time:45, count:55
time:3, count:197
time:4, count:220
time:5, count:295
time:6, count:451
time:46, count:10
time:2, count:177
time:1, count:60
time:5, count:150
time:47, count:55
time:3, count:134
time:3, count:100
time:2, count:275
time:4, count:330
time:43, count:105
time:4, count:245
time:4, count:275
time:12, count:877
time:4, count:220
time:5, count:370
time:5, count:345
time:46, count:110
time:2, count:75
time:2, count:50
time:4, count:465
time:4, count:250
time:8, count:630
time:42, count:20
time:5, count:426
time:7, count:420
time:3, count:395
time:45, count:35
time:2, count:195
time:3, count:325
time:1, count:195
time:2, count:260
time:3, count:505
time:3, count:234
time:3, count:180
time:3, count:490
time:2, count:150
time:3, count:385
time:5, count:280
time:5, count:360
time:3, count:265
time:6, count:475
time:5, count:440
time:4, count:245
time:4, count:490
time:2, count:265
time:46, count:96
time:3, count:220
time:3, count:260
time:3, count:10
time:2, count:150
time:3, count:240
time:3, count:190
time:2, count:450
time:44, count:115
time:9, count:514
time:3, count:245
time:3, count:120
time:3, count:399
time:46, count:85
time:2, count:125
time:4, count:392
time:4, count:340
time:2, count:275
time:2, count:380
time:4, count:763
time:3, count:280
time:4, count:540
time:11, count:1201
time:4, count:245
time:3, count:125
time:3, count:182
time:3, count:240
time:4, count:262
time:2, count:470
time:2, count:150
time:2, count:180
time:5, count:1062
time:46, count:5
time:3, count:551
time:5, count:705
time:4, count:155
time:1, count:35
time:2, count:210
time:4, count:55
time:2, count:200
time:2, count:276
time:2, count:335
time:42, count:65
time:3, count:350
time:3, count:320
time:6, count:855
time:3, count:295
time:5, count:706
time:3, count:240
time:6, count:705
time:1, count:147
time:2, count:390
time:1, count:150
time:1, count:243
time:2, count:140
time:46, count:90
time:3, count:70
time:3, count:5
time:4, count:233
time:46, count:92
time:3, count:400
time:5, count:335
time:2, count:275
time:4, count:200
time:2, count:335
time:3, count:135
time:43, count:105
time:1, count:150
time:1, count:237
time:5, count:545
time:2, count:185
time:1, count:35
time:1, count:210
time:44, count:45
time:2, count:80
time:4, count:260
time:3, count:640
time:30, count:465
time:45, count:100
time:3, count:204
time:3, count:249
time:2, count:25
time:2, count:145
time:42, count:10
time:4, count:235
time:4, count:215
time:7, count:485
time:5, count:175
time:4, count:285
time:44, count:100
time:15, count:1201
time:4, count:220
time:3, count:205
time:42, count:5
time:3, count:280
time:5, count:230
time:4, count:130
time:1, count:160
time:2, count:165
time:3, count:175
time:3, count:617
time:43, count:45
time:2, count:120
time:3, count:185
time:4, count:240
time:1, count:280
time:5, count:641
time:44, count:120
time:4, count:550
time:2, count:525
time:2, count:260
time:5, count:420
time:2, count:275
time:45, count:65
time:3, count:35
time:9, count:450
time:2, count:70
time:4, count:580
time:42, count:110
time:3, count:60
time:1, count:50
time:3, count:450
time:6, count:115
time:3, count:270
time:6, count:854
time:2, count:450
time:44, count:50
time:2, count:274
time:1, count:15
time:2, count:305
time:1, count:105
time:1, count:45
time:1, count:70
time:44, count:50
time:3, count:260
time:7, count:360
time:2, count:390
time:2, count:265
time:3, count:150
time:2, count:660
time:1, count:160
time:1, count:178
time:3, count:150
time:2, count:879
time:2, count:215
time:3, count:675
time:2, count:480
time:3, count:180
time:43, count:115
time:2, count:90
time:2, count:155
time:1, count:110
time:1, count:50
time:1, count:50
time:1, count:285
time:1, count:242
time:42, count:20
time:4, count:405
time:3, count:501
time:9, count:1201
time:2, count:200
time:1, count:55
time:2, count:575
time:1, count:160
time:42, count:80
time:4, count:370
time:2, count:185
time:3, count:535
time:2, count:338
time:3, count:385
time:1, count:290
time:1, count:215
time:1, count:230
time:5, count:225
time:2, count:226
time:45, count:65
time:2, count:255
time:1, count:185
time:1, count:35
time:2, count:315
time:1, count:220
time:1, count:135
time:7, count:850
time:42, count:55
time:3, count:600
time:12, count:1200
time:3, count:280
time:42, count:80
time:2, count:235
time:4, count:470
time:2, count:80
time:3, count:300
time:3, count:105
time:2, count:225
time:3, count:395
time:3, count:428
time:3, count:405
time:42, count:75
time:6, count:458
time:2, count:130
time:1, count:214
time:2, count:25
time:1, count:115
time:43, count:45
time:2, count:60
time:5, count:270
time:2, count:80
time:3, count:450
time:5, count:775
time:2, count:445
time:3, count:150
time:4, count:640
time:1, count:175
time:2, count:170
time:2, count:285
time:3, count:475
time:1, count:180
time:3, count:548
time:42, count:65
time:3, count:255
time:1, count:125
time:2, count:330
time:2, count:105
time:44, count:30
total:, average count:300.756
time:2, count:525
time:1, count:20
time:3, count:305
time:6, count:115
time:5, count:1201
time:5, count:285
time:1, count:125
time:2, count:420
time:2, count:220
time:8, count:160
time:2, count:380
time:3, count:650
time:43, count:80
time:1, count:65
time:1, count:216
time:2, count:690
time:1, count:190
time:1, count:330
time:2, count:565
time:42, count:35
time:1, count:100
time:2, count:130
time:1, count:500
time:2, count:260
time:1, count:305
time:2, count:515
time:3, count:1201
time:1, count:355
time:1, count:505
time:45, count:10
time:2, count:235
time:2, count:515
time:2, count:320
time:1, count:455
time:2, count:315
time:1, count:245
time:1, count:210
time:1, count:175
time:2, count:200
time:42, count:60
time:3, count:665
time:1, count:50
time:2, count:500
time:1, count:335
time:3, count:905
time:1, count:175
time:45, count:75
time:3, count:730
time:2, count:536
time:1, count:75
time:2, count:135
time:1, count:220
time:43, count:115
time:3, count:1201
time:2, count:105
time:2, count:441
time:1, count:75
time:1, count:140
time:43, count:25
time:2, count:85
time:2, count:593
time:2, count:490
time:2, count:330
time:1, count:205
time:1, count:360
time:1, count:240
time:3, count:1125
time:45, count:35
time:2, count:150
time:2, count:105
time:1, count:225
