time:487, count:105
time:1, count:4
time:1, count:61
time:1, count:23
time:1, count:241
time:1, count:57
time:1, count:25
time:1, count:84
time:1, count:44
time:1, count:32
time:1, count:76
time:1, count:130
time:1, count:16
time:1, count:13
time:1, count:44
time:2, count:138
time:1, count:38
time:0, count:66
time:1, count:113
time:0, count:7
time:1, count:20
time:1, count:26
time:1, count:100
time:0, count:52
time:1, count:61
time:1, count:103
time:1, count:241
time:0, count:71
time:1, count:101
time:1, count:2
time:2, count:47
time:0, count:103
time:1, count:64
time:1, count:91
time:0, count:63
time:0, count:49
time:0, count:42
time:0, count:35
time:0, count:40
time:0, count:12
time:1, count:133
time:1, count:10
time:1, count:100
time:1, count:67
time:1, count:181
time:1, count:35
time:1, count:15
time:1, count:146
time:1, count:108
time:1, count:15
time:1, count:27
time:1, count:44
time:1, count:23
time:1, count:241
time:0, count:21
time:0, count:89
time:0, count:15
time:1, count:28
time:0, count:5
time:1, count:17
time:1, count:119
time:1, count:98
time:1, count:66
time:0, count:41
time:1, count:72
time:1, count:48
time:1, count:225
time:0, count:7
time:1, count:30
time:1, count:21
time:1, count:45
time:1, count:25
time:1, count:70
time:1, count:241
time:1, count:95
time:0, count:61
time:0, count:32
time:1, count:77
time:1, count:104
time:1, count:241
time:1, count:80
time:1, count:54
time:1, count:30
time:1, count:21
time:1, count:67
time:1, count:88
time:0, count:2
time:0, count:64
time:1, count:22
time:1, count:27
time:0, count:35
time:1, count:241
time:1, count:41
time:1, count:109
time:1, count:172
time:1, count:23
time:1, count:84
time:1, count:92
time:1, count:12
time:0, count:44
time:0, count:82
time:0, count:71
time:1, count:117
time:1, count:40
time:1, count:20
time:0, count:3
time:0, count:8
time:0, count:94
time:0, count:50
time:1, count:177
time:1, count:22
time:1, count:17
time:1, count:26
time:0, count:7
time:0, count:83
time:1, count:129
time:1, count:127
time:1, count:27
time:1, count:66
time:1, count:12
time:1, count:66
time:1, count:56
time:0, count:47
time:0, count:58
time:1, count:8
time:1, count:57
