time:520, count:1170
time:3, count:35
time:15, count:1353
time:15, count:1294
time:9, count:469
time:24, count:3303
time:9, count:525
time:44, count:5769
time:4, count:220
time:16, count:1322
time:11, count:813
time:43, count:15
time:3, count:5
time:17, count:1050
time:10, count:265
time:29, count:3458
time:33, count:2809
time:12, count:455
time:11, count:579
time:39, count:5468
time:29, count:2941
time:32, count:3969
time:6, count:130
time:18, count:1746
time:13, count:520
time:42, count:5465
time:11, count:884
time:9, count:615
time:17, count:1507
time:50, count:20
time:21, count:1449
time:5, count:175
time:5, count:160
time:44, count:10
time:11, count:635
time:19, count:1392
time:19, count:1411
time:9, count:460
time:7, count:194
time:22, count:1817
time:13, count:955
time:19, count:1474
time:29, count:3949
time:11, count:355
time:18, count:1848
time:44, count:4303
time:11, count:285
time:95, count:1645
time:13, count:834
time:45, count:5
time:43, count:6497
time:19, count:1672
time:12, count:713
time:22, count:2468
time:18, count:1353
time:37, count:2996
time:12, count:400
time:51, count:105
time:6, count:20
time:18, count:1070
time:8, count:230
time:19, count:1613
time:20, count:1411
time:21, count:1202
time:12, count:510
time:47, count:4413
time:24, count:1000
time:17, count:767
time:5, count:130
time:36, count:4027
time:4, count:130
time:43, count:6248
time:18, count:1241
time:7, count:150
time:6, count:240
time:9, count:440
time:10, count:447
time:48, count:120
time:54, count:4986
time:14, count:490
time:12, count:436
time:34, count:2901
time:7, count:140
time:53, count:110
time:12, count:579
time:12, count:473
time:13, count:508
time:19, count:1409
time:8, count:130
time:39, count:4018
time:18, count:1368
time:10, count:368
time:5, count:425
time:9, count:661
time:38, count:4490
time:16, count:1491
time:25, count:3372
time:10, count:485
time:11, count:420
time:46, count:25
time:9, count:135
time:5, count:90
time:14, count:1119
time:12, count:242
time:20, count:2107
time:5, count:225
time:16, count:2175
time:60, count:4204
time:13, count:735
time:17, count:970
time:17, count:1965
time:10, count:804
time:24, count:2757
time:28, count:4537
time:55, count:5704
time:17, count:699
time:17, count:750
time:48, count:7581
time:33, count:2932
time:10, count:493
time:40, count:5272
time:46, count:25
time:3, count:5
time:12, count:908
time:57, count:10653
time:7, count:160
time:23, count:775
time:8, count:555
time:7, count:180
time:66, count:2193
time:52, count:11799
time:12, count:266
time:19, count:1977
time:14, count:695
time:28, count:4308
time:45, count:20
time:40, count:6274
time:39, count:3847
time:25, count:1220
time:15, count:923
time:26, count:3780
time:11, count:460
time:43, count:5
time:7, count:75
time:6, count:267
time:5, count:410
time:42, count:6264
time:20, count:2112
time:31, count:3973
time:25, count:2727
