time:590, count:30
time:8, count:5
time:172, count:540
time:249, count:1660
time:141, count:855
time:67, count:340
time:148, count:25
time:422, count:2342
time:17, count:5
time:46, count:245
time:122, count:520
time:44, count:1
time:46, count:40
time:27, count:100
time:121, count:5
time:200, count:3578
time:244, count:3166
time:55, count:15
time:117, count:215
time:90, count:815
time:99, count:30
time:354, count:4680
time:56, count:20
time:125, count:590
time:176, count:795
time:88, count:85
time:189, count:600
time:76, count:345
time:187, count:755
time:99, count:185
time:51, count:10
time:10, count:5
time:17, count:45
time:49, count:5
time:128, count:1505
time:52, count:100
time:104, count:465
time:68, count:45
time:113, count:275
time:210, count:1135
time:130, count:310
time:80, count:375
time:265, count:2505
time:268, count:3615
time:117, count:1050
time:203, count:420
time:77, count:55
time:410, count:2380
time:22, count:35
time:46, count:5
time:244, count:1595
time:194, count:2735
time:116, count:260
time:301, count:240
time:97, count:490
time:73, count:245
time:121, count:265
time:127, count:300
time:72, count:90
time:144, count:675
time:24, count:60
time:64, count:330
time:88, count:110
time:194, count:510
time:96, count:125
time:152, count:689
time:113, count:60
time:51, count:417
time:13, count:30
time:76, count:580
time:55, count:60
time:447, count:5340
time:96, count:820
time:72, count:275
time:38, count:145
time:64, count:365
time:158, count:55
time:8, count:60
time:243, count:195
time:69, count:60
time:74, count:1110
time:412, count:3415
time:66, count:115
time:24, count:305
time:63, count:145
time:149, count:90
time:148, count:1195
time:62, count:115
time:120, count:425
time:514, count:5713
time:92, count:45
time:137, count:525
time:7, count:230
time:18, count:125
time:167, count:840
time:192, count:1605
time:249, count:1690
time:23, count:160
time:97, count:250
time:65, count:15
time:237, count:505
time:83, count:30
time:164, count:715
time:162, count:1810
time:128, count:515
time:55, count:55
time:54, count:90
time:172, count:1276
time:94, count:1295
time:329, count:3530
time:137, count:90
time:19, count:1
time:485, count:4800
time:129, count:290
time:199, count:1470
time:254, count:370
time:123, count:800
time:510, count:3557
time:53, count:385
time:115, count:1110
time:119, count:80
time:90, count:215
time:4, count:5
time:149, count:1005
time:274, count:2436
time:76, count:405
time:373, count:440
time:77, count:235
time:130, count:830
time:209, count:660
time:308, count:3670
time:168, count:700
time:85, count:340
time:86, count:645
time:312, count:2493
time:52, count:20
time:124, count:80
time:109, count:380
time:208, count:415
time:110, count:395
time:116, count:65
time:50, count:155
time:7, count:10
time:158, count:640
time:65, count:265
time:68, count:90
time:231, count:3560
time:216, count:980
time:232, count:160
time:190, count:1560
time:174, count:566
time:187, count:515
time:10, count:860
time:47, count:5
time:75, count:165
time:163, count:1115
time:131, count:385
time:63, count:10
time:35, count:30
time:103, count:825
time:77, count:170
time:146, count:710
time:46, count:1
time:78, count:265
time:55, count:195
time:50, count:470
time:137, count:1210
time:361, count:3885
time:46, count:5
time:86, count:530
time:251, count:2700
time:49, count:160
time:305, count:1470
time:52, count:35
time:256, count:155
time:67, count:85
time:7, count:200
time:164, count:1235
time:285, count:595
time:143, count:1136
time:168, count:395
time:64, count:35
time:213, count:2035
time:134, count:25
time:48, count:1
time:42, count:30
time:255, count:1975
time:63, count:5
time:32, count:220
time:162, count:100
time:74, count:85
time:43, count:120
time:492, count:765
time:200, count:1765
time:196, count:740
time:48, count:20
time:30, count:110
time:21, count:240
time:26, count:130
time:75, count:270
time:203, count:400
time:114, count:500
time:65, count:375
time:411, count:2075
time:90, count:100
time:275, count:1915
time:123, count:590
time:61, count:70
time:142, count:730
time:312, count:1020
time:67, count:545
time:261, count:2575
time:43, count:395
time:175, count:165
time:55, count:10
time:37, count:265
time:147, count:345
time:32, count:135
time:176, count:940
time:257, count:870
time:46, count:1
time:341, count:3400
time:390, count:4410
time:72, count:445
time:198, count:2195
time:47, count:10
time:150, count:555
time:63, count:705
time:118, count:120
time:45, count:255
time:159, count:260
time:44, count:145
time:84, count:15
time:31, count:100
time:179, count:20
time:177, count:591
time:148, count:65
time:348, count:3780
time:40, count:105
time:210, count:2120
time:265, count:1415
time:51, count:125
time:107, count:305
time:50, count:5
time:180, count:1275
time:42, count:135
time:74, count:50
time:9, count:15
time:292, count:2235
time:58, count:380
time:61, count:110
time:74, count:270
time:24, count:15
time:72, count:225
time:78, count:185
time:79, count:15
time:36, count:175
time:104, count:120
time:13, count:145
time:228, count:2611
time:98, count:535
time:410, count:2445
time:66, count:85
time:61, count:130
time:265, count:3350
time:71, count:435
time:87, count:85
time:10, count:15
time:12, count:135
time:83, count:210
time:51, count:5
time:3, count:5
time:69, count:545
time:118, count:1280
time:122, count:1600
time:216, count:1925
time:56, count:45
time:96, count:820
time:88, count:5
time:119, count:245
time:121, count:805
time:106, count:90
time:4, count:1
time:246, count:1830
time:71, count:525
time:51, count:20
time:12, count:55
time:195, count:665
time:213, count:670
time:297, count:3843
time:50, count:15
time:55, count:390
time:106, count:880
time:87, count:80
time:175, count:635
time:4, count:5
time:405, count:1874
time:394, count:1155
time:78, count:565
time:52, count:15
time:29, count:25
time:146, count:255
time:160, count:878
time:69, count:60
