time:455, count:234
time:3, count:7
time:20, count:270
time:15, count:258
time:15, count:94
time:27, count:661
time:13, count:105
time:39, count:1155
time:4, count:44
time:22, count:264
time:14, count:162
time:47, count:4
time:5, count:1
time:25, count:210
time:16, count:53
time:48, count:693
time:33, count:561
time:13, count:91
time:16, count:115
time:32, count:1098
time:26, count:589
time:26, count:794
time:8, count:26
time:22, count:348
time:18, count:104
time:36, count:1091
time:16, count:176
time:13, count:123
time:20, count:300
time:53, count:4
time:32, count:290
time:8, count:35
time:5, count:32
time:45, count:2
time:17, count:127
time:44, count:280
time:28, count:282
time:13, count:92
time:9, count:38
time:29, count:361
time:19, count:191
time:26, count:295
time:30, count:791
time:14, count:71
time:28, count:370
time:44, count:861
time:20, count:57
time:33, count:330
time:20, count:166
time:45, count:1
time:58, count:1298
time:26, count:336
time:19, count:142
time:31, count:493
time:27, count:271
time:37, count:600
time:19, count:80
time:17, count:21
time:48, count:5
time:24, count:215
time:15, count:46
time:29, count:323
time:29, count:283
time:28, count:242
time:19, count:102
time:62, count:882
time:33, count:200
time:22, count:153
time:5, count:26
time:38, count:806
time:5, count:26
time:43, count:1251
time:23, count:249
time:9, count:30
time:7, count:48
time:11, count:88
time:14, count:89
time:6, count:24
time:46, count:995
time:22, count:98
time:16, count:88
time:61, count:582
time:9, count:28
time:24, count:22
time:20, count:115
time:20, count:95
time:24, count:210
time:28, count:282
time:16, count:32
time:42, count:803
time:23, count:273
time:18, count:74
time:5, count:85
time:14, count:134
time:33, count:898
time:20, count:298
time:27, count:675
time:15, count:97
time:31, count:84
time:47, count:5
time:10, count:27
time:10, count:18
time:26, count:222
time:23, count:49
time:24, count:423
time:10, count:45
time:15, count:435
time:34, count:839
time:17, count:147
time:16, count:194
time:19, count:392
time:12, count:160
time:29, count:553
time:31, count:907
time:44, count:1140
time:37, count:140
time:17, count:151
time:39, count:1516
time:33, count:586
time:13, count:98
time:38, count:1054
time:47, count:5
time:2, count:1
time:16, count:182
time:37, count:2127
time:6, count:32
time:32, count:154
time:10, count:111
time:8, count:36
time:31, count:439
time:38, count:2359
time:39, count:55
time:21, count:396
time:36, count:1097
time:34, count:861
time:45, count:4
time:36, count:1256
time:40, count:768
time:32, count:244
time:22, count:185
time:26, count:756
time:11, count:92
time:43, count:1
time:13, count:15
time:7, count:54
time:6, count:82
time:61, count:1255
time:24, count:422
time:31, count:796
time:25, count:545
time:25, count:248
time:34, count:339
time:4, count:183
time:45, count:1
time:26, count:499
time:25, count:200
time:29, count:311
time:26, count:219
time:25, count:790
time:18, count:368
time:39, count:75
time:30, count:479
time:45, count:1
time:18, count:233
time:8, count:66
time:16, count:131
time:15, count:121
time:18, count:162
time:44, count:4
time:9, count:266
time:28, count:2083
time:23, count:297
time:26, count:473
time:45, count:13
time:28, count:345
time:16, count:72
time:3, count:40
time:21, count:141
time:27, count:234
time:36, count:1043
time:12, count:129
time:14, count:149
time:16, count:118
time:18, count:380
time:44, count:11
time:4, count:32
time:23, count:381
time:4, count:35
time:8, count:99
time:46, count:17
time:5, count:18
time:4, count:21
time:26, count:254
time:25, count:421
time:22, count:287
time:43, count:1
time:9, count:140
time:8, count:268
time:46, count:7
time:15, count:316
time:31, count:1385
time:10, count:236
time:15, count:420
time:41, count:249
time:6, count:81
time:24, count:439
time:19, count:520
time:13, count:189
time:8, count:129
time:28, count:687
time:15, count:24
time:19, count:702
time:4, count:41
time:28, count:954
time:12, count:91
time:12, count:187
time:16, count:304
time:6, count:41
time:35, count:1415
time:29, count:844
time:44, count:3
time:52, count:1120
time:24, count:305
time:21, count:915
time:21, count:1865
time:44, count:2
time:18, count:179
time:8, count:134
time:21, count:237
time:22, count:471
time:13, count:175
time:8, count:106
time:6, count:41
time:11, count:51
time:22, count:175
time:20, count:386
time:20, count:260
time:11, count:29
time:18, count:499
time:36, count:1189
time:22, count:1579
time:18, count:685
time:7, count:53
time:46, count:1
time:14, count:311
time:4, count:18
time:14, count:380
time:43, count:1
time:10, count:153
time:10, count:28
time:9, count:35
time:12, count:486
time:10, count:60
time:16, count:91
time:39, count:1450
time:6, count:20
time:8, count:98
time:11, count:59
time:16, count:366
time:26, count:895
time:19, count:264
time:47, count:833
time:3, count:25
time:11, count:86
time:19, count:278
time:14, count:192
time:20, count:218
time:3, count:36
time:2, count:22
time:23, count:340
time:47, count:10
time:2, count:1
time:11, count:327
time:13, count:273
time:16, count:411
time:16, count:451
time:45, count:15
time:18, count:355
time:12, count:69
time:12, count:130
time:24, count:299
time:16, count:255
time:42, count:1
time:11, count:67
time:21, count:395
time:43, count:2
time:4, count:25
time:31, count:172
time:13, count:47
time:28, count:822
time:43, count:10
time:8, count:22
time:16, count:933
time:8, count:101
time:8, count:111
time:43, count:1
time:27, count:512
time:26, count:1571
time:47, count:19
time:2, count:2
time:6, count:24
time:14, count:33
time:17, count:144
time:47, count:4
time:9, count:92
time:22, count:229
time:24, count:701
time:21, count:581
time:18, count:345
time:63, count:17
time:11, count:103
time:4, count:1
time:24, count:631
time:26, count:1452
time:17, count:566
time:21, count:533
time:13, count:156
time:48, count:18
time:18, count:155
time:21, count:262
time:18, count:315
time:4, count:25
time:15, count:156
time:14, count:310
time:42, count:1848
time:48, count:4
time:39, count:790
time:10, count:158
time:22, count:480
time:21, count:384
time:44, count:8
time:4, count:1
time:21, count:136
time:4, count:2
time:16, count:505
time:18, count:692
time:18, count:625
time:47, count:17
time:26, count:509
time:10, count:156
time:27, count:617
time:19, count:512
time:46, count:2
time:11, count:67
time:15, count:35
time:9, count:259
time:39, count:860
time:23, count:593
time:47, count:2
time:10, count:97
time:12, count:134
time:22, count:815
time:18, count:182
time:16, count:145
time:19, count:416
time:21, count:340
time:15, count:42
time:16, count:678
time:27, count:536
time:25, count:247
time:16, count:60
time:30, count:445
time:13, count:118
time:13, count:82
time:17, count:235
time:15, count:39
time:9, count:141
time:13, count:307
time:17, count:120
time:5, count:49
time:10, count:153
time:17, count:656
time:4, count:135
time:12, count:165
time:12, count:145
time:10, count:64
time:11, count:131
time:43, count:1
time:21, count:444
time:14, count:169
time:6, count:99
time:43, count:12
time:12, count:391
time:27, count:1358
time:9, count:126
time:32, count:790
time:8, count:74
time:3, count:62
time:57, count:6
time:6, count:16
time:4, count:76
time:21, count:456
time:5, count:41
time:15, count:126
time:20, count:480
time:8, count:76
time:21, count:1077
time:16, count:808
time:22, count:401
time:20, count:372
time:17, count:498
time:20, count:745
time:3, count:20
time:19, count:713
time:22, count:138
time:21, count:255
time:18, count:334
time:12, count:305
time:19, count:286
time:19, count:336
time:42, count:1
time:11, count:179
time:10, count:204
time:13, count:90
time:14, count:127
time:11, count:116
time:48, count:19
time:2, count:25
time:2, count:1
time:33, count:1088
time:20, count:297
time:5, count:22
time:10, count:214
time:16, count:257
time:13, count:59
time:29, count:423
time:3, count:50
time:22, count:857
time:18, count:412
time:50, count:9
time:14, count:445
time:6, count:52
time:44, count:1
time:11, count:26
time:12, count:98
time:12, count:180
time:26, count:276
time:5, count:32
time:45, count:18
time:18, count:230
time:2, count:9
time:15, count:202
time:16, count:77
time:18, count:85
time:4, count:58
time:19, count:444
time:41, count:966
time:24, count:1047
time:8, count:166
time:46, count:15
time:6, count:48
time:5, count:32
time:13, count:145
time:44, count:1
time:11, count:55
time:9, count:95
time:16, count:274
time:44, count:18
time:6, count:147
time:27, count:814
time:18, count:804
time:9, count:152
time:9, count:112
time:47, count:2
time:19, count:189
time:3, count:16
time:45, count:14
time:3, count:39
time:12, count:75
time:6, count:6
time:11, count:307
time:5, count:20
time:46, count:1
time:31, count:143
time:21, count:220
time:33, count:968
time:4, count:58
time:14, count:312
time:11, count:311
time:5, count:93
time:7, count:71
time:4, count:123
time:42, count:1
time:22, count:515
time:2, count:14
time:24, count:394
time:12, count:126
time:17, count:535
time:8, count:25
time:45, count:5
time:37, count:1428
time:20, count:201
time:29, count:583
time:46, count:8
time:8, count:114
time:10, count:170
time:33, count:629
time:22, count:627
time:26, count:1581
time:6, count:26
total:, average count:307.03
time:15, count:234
time:45, count:7
time:15, count:270
time:12, count:258
time:13, count:94
time:21, count:661
time:11, count:105
time:36, count:1155
time:3, count:44
time:33, count:264
time:14, count:162
time:45, count:4
time:4, count:1
time:19, count:210
time:13, count:53
time:25, count:693
time:27, count:561
time:10, count:91
time:14, count:115
time:27, count:1098
time:21, count:589
time:21, count:794
time:6, count:26
time:19, count:348
time:15, count:104
time:44, count:1091
time:14, count:176
time:11, count:123
time:16, count:300
time:49, count:4
time:27, count:290
time:7, count:35
time:4, count:32
time:46, count:2
time:14, count:127
time:24, count:280
time:23, count:282
time:10, count:92
time:6, count:38
time:23, count:361
time:16, count:191
time:35, count:295
time:26, count:791
time:12, count:71
time:19, count:370
time:38, count:861
time:18, count:57
time:28, count:330
time:17, count:166
time:44, count:1
time:33, count:1298
time:21, count:336
time:16, count:142
time:40, count:493
time:22, count:271
time:30, count:600
time:17, count:80
time:13, count:21
time:51, count:5
time:22, count:215
time:12, count:46
time:26, count:323
time:25, count:283
time:23, count:242
time:16, count:102
time:50, count:882
time:27, count:200
time:19, count:153
time:6, count:26
time:38, count:806
time:5, count:26
time:36, count:1251
time:19, count:249
time:8, count:30
time:7, count:48
time:8, count:88
time:12, count:89
time:5, count:24
time:52, count:995
time:18, count:98
time:14, count:88
time:28, count:582
time:8, count:28
time:14, count:22
time:16, count:115
time:17, count:95
time:20, count:210
time:24, count:282
time:14, count:32
time:37, count:803
time:33, count:273
time:17, count:74
time:4, count:85
time:12, count:134
time:28, count:898
time:17, count:298
time:23, count:675
time:13, count:97
time:13, count:84
time:44, count:5
time:8, count:27
time:9, count:18
time:21, count:222
time:20, count:49
time:21, count:423
time:9, count:45
time:25, count:435
time:30, count:839
time:15, count:147
time:14, count:194
time:18, count:392
time:11, count:160
time:24, count:553
time:25, count:907
time:36, count:1140
time:17, count:140
time:16, count:151
time:47, count:1516
time:30, count:586
time:12, count:98
time:32, count:1054
time:47, count:5
time:2, count:1
time:14, count:182
time:31, count:2127
time:5, count:32
time:28, count:154
time:8, count:111
time:8, count:36
time:27, count:439
time:31, count:2359
time:30, count:55
time:19, count:396
time:30, count:1097
time:29, count:861
time:45, count:4
time:32, count:1256
time:32, count:768
time:26, count:244
time:20, count:185
time:21, count:756
time:9, count:92
time:44, count:1
time:12, count:15
time:18, count:54
time:4, count:82
time:35, count:1255
time:21, count:422
time:28, count:796
time:21, count:545
time:23, count:248
time:31, count:339
time:4, count:183
time:43, count:1
time:22, count:499
time:22, count:200
time:24, count:311
time:36, count:219
time:21, count:790
time:16, count:368
time:18, count:75
time:22, count:479
time:43, count:1
time:22, count:233
time:9, count:66
time:25, count:131
time:17, count:121
time:24, count:162
time:45, count:4
time:12, count:266
time:53, count:2083
time:26, count:297
time:29, count:473
time:47, count:13
time:30, count:345
time:18, count:72
time:3, count:40
time:25, count:141
time:27, count:234
time:26, count:1043
time:17, count:129
time:19, count:149
time:36, count:118
time:24, count:380
time:43, count:11
time:7, count:32
time:24, count:381
time:4, count:35
time:8, count:99
time:49, count:17
time:5, count:18
time:6, count:21
time:27, count:254
time:31, count:421
time:24, count:287
time:42, count:1
time:10, count:140
time:8, count:268
time:45, count:7
time:21, count:316
time:44, count:1385
time:10, count:236
time:19, count:420
time:27, count:249
time:9, count:81
time:27, count:439
time:17, count:520
time:11, count:189
time:7, count:129
time:24, count:687
time:14, count:24
time:18, count:702
time:5, count:41
time:38, count:954
time:11, count:91
time:11, count:187
time:14, count:304
time:5, count:41
time:31, count:1415
time:25, count:844
time:44, count:3
time:28, count:1120
time:19, count:305
time:19, count:915
time:19, count:1865
time:43, count:2
time:17, count:179
time:8, count:134
time:18, count:237
time:31, count:471
time:12, count:175
time:7, count:106
time:6, count:41
time:9, count:51
time:20, count:175
time:17, count:386
time:17, count:260
time:9, count:29
time:16, count:499
time:19, count:1189
time:19, count:1579
time:16, count:685
time:6, count:53
time:45, count:1
time:12, count:311
time:4, count:18
time:13, count:380
time:43, count:1
time:9, count:153
time:9, count:28
time:8, count:35
time:23, count:486
time:10, count:60
time:15, count:91
time:33, count:1450
time:5, count:20
time:7, count:98
time:11, count:59
time:14, count:366
time:22, count:895
time:18, count:264
time:29, count:833
time:3, count:25
time:7, count:86
time:14, count:278
time:13, count:192
time:21, count:218
time:3, count:36
time:2, count:22
time:26, count:340
time:57, count:10
time:3, count:1
time:10, count:327
time:12, count:273
time:14, count:411
time:14, count:451
time:47, count:15
time:17, count:355
time:11, count:69
