time:646, count:1170
time:12, count:35
time:79, count:1353
time:87, count:1294
time:47, count:469
time:127, count:3303
time:39, count:525
time:211, count:5769
time:8, count:220
time:74, count:1322
time:46, count:813
time:45, count:15
time:5, count:5
time:81, count:1050
time:55, count:265
time:138, count:3458
time:177, count:2809
time:41, count:455
time:48, count:579
time:288, count:5468
time:145, count:2941
time:119, count:3969
time:22, count:130
time:90, count:1746
time:58, count:520
time:214, count:5465
time:42, count:884
time:42, count:615
time:77, count:1507
time:64, count:20
time:102, count:1449
time:14, count:175
time:19, count:160
time:46, count:10
time:51, count:635
time:99, count:1392
time:86, count:1411
time:36, count:460
time:30, count:194
time:126, count:1817
time:53, count:955
time:82, count:1474
time:134, count:3949
time:43, count:355
time:87, count:1848
time:223, count:4303
time:45, count:285
time:102, count:1645
time:59, count:834
time:45, count:5
time:212, count:6497
time:99, count:1672
time:50, count:713
time:90, count:2468
time:70, count:1353
time:159, count:2996
time:58, count:400
time:72, count:105
time:16, count:20
time:64, count:1070
time:27, count:230
time:81, count:1613
time:85, count:1411
time:94, count:1202
time:46, count:510
time:211, count:4413
time:100, count:1000
time:56, count:767
time:13, count:130
time:163, count:4027
time:10, count:130
time:201, count:6248
time:80, count:1241
time:22, count:150
time:17, count:240
time:32, count:440
time:39, count:447
time:52, count:120
time:249, count:4986
time:56, count:490
time:43, count:436
time:152, count:2901
time:20, count:140
time:79, count:110
time:50, count:579
time:54, count:473
time:62, count:508
time:89, count:1409
time:26, count:130
time:184, count:4018
time:73, count:1368
time:48, count:368
time:16, count:425
time:36, count:661
time:166, count:4490
time:72, count:1491
time:105, count:3372
time:43, count:485
time:45, count:420
time:55, count:25
time:44, count:135
time:20, count:90
time:72, count:1119
time:46, count:242
time:87, count:2107
time:15, count:225
time:66, count:2175
time:141, count:4204
time:47, count:735
time:79, count:970
time:77, count:1965
time:44, count:804
time:122, count:2757
time:114, count:4537
time:251, count:5704
time:63, count:699
time:48, count:750
time:220, count:7581
time:159, count:2932
time:48, count:493
time:187, count:5272
time:49, count:25
time:4, count:5
time:51, count:908
time:255, count:10653
time:18, count:160
time:102, count:775
time:25, count:555
time:31, count:180
time:115, count:2193
time:256, count:11799
time:50, count:266
time:77, count:1977
time:58, count:695
time:134, count:4308
time:49, count:20
time:187, count:6274
time:208, count:3847
time:105, count:1220
time:59, count:923
time:109, count:3780
time:36, count:460
time:46, count:5
time:24, count:75
time:27, count:267
time:19, count:410
time:204, count:6264
time:92, count:2112
time:130, count:3973
time:108, count:2727
time:75, count:1239
time:137, count:1692
time:20, count:915
time:46, count:5
time:90, count:2499
time:65, count:985
time:94, count:1555
time:92, count:1093
time:109, count:3963
time:62, count:1834
time:43, count:375
