time:565, count:234
time:4, count:7
time:20, count:270
time:17, count:258
time:17, count:94
time:29, count:661
time:57, count:105
time:42, count:1155
time:5, count:44
time:27, count:264
time:18, count:162
time:46, count:4
time:5, count:1
time:27, count:210
time:60, count:53
time:34, count:693
time:39, count:561
time:57, count:91
time:20, count:115
time:40, count:1098
time:36, count:589
time:37, count:794
time:49, count:26
time:26, count:348
time:22, count:104
time:43, count:1091
time:20, count:176
time:15, count:123
time:26, count:300
time:50, count:4
time:33, count:290
time:9, count:35
time:49, count:32
time:4, count:2
time:19, count:127
time:31, count:280
time:34, count:282
time:57, count:92
time:11, count:38
time:32, count:361
time:22, count:191
time:26, count:295
time:33, count:791
time:58, count:71
time:24, count:370
time:45, count:861
time:65, count:57
time:36, count:330
time:22, count:166
time:45, count:1
time:43, count:1298
time:28, count:336
time:21, count:142
time:32, count:493
time:29, count:271
time:45, count:600
time:63, count:80
time:19, count:21
time:6, count:5
time:25, count:215
time:56, count:46
time:32, count:323
time:31, count:283
time:30, count:242
time:61, count:102
time:73, count:882
time:41, count:200
time:26, count:153
time:47, count:26
time:39, count:806
time:6, count:26
time:43, count:1251
time:27, count:249
time:54, count:30
time:8, count:48
time:12, count:88
time:55, count:89
time:6, count:24
time:49, count:995
time:68, count:98
time:18, count:88
time:43, count:582
time:54, count:28
time:20, count:22
time:22, count:115
time:62, count:95
time:24, count:210
time:30, count:282
time:61, count:32
time:44, count:803
time:25, count:273
time:62, count:74
time:5, count:85
time:15, count:134
time:39, count:898
time:24, count:298
time:31, count:675
time:57, count:97
time:16, count:84
time:6, count:5
time:52, count:27
time:13, count:18
time:27, count:222
time:67, count:49
time:27, count:423
time:10, count:45
time:16, count:435
time:38, count:839
time:19, count:147
time:19, count:194
time:22, count:392
time:13, count:160
time:31, count:553
time:34, count:907
time:50, count:1140
time:28, count:140
time:23, count:151
time:46, count:1516
time:33, count:586
time:53, count:98
time:41, count:1054
time:5, count:5
time:44, count:1
time:20, count:182
time:44, count:2127
time:51, count:32
time:34, count:154
time:10, count:111
time:50, count:36
time:34, count:439
time:43, count:2359
time:65, count:55
time:27, count:396
time:38, count:1097
time:36, count:861
time:42, count:4
time:39, count:1256
time:43, count:768
time:38, count:244
time:26, count:185
time:29, count:756
time:52, count:92
time:2, count:1
time:15, count:15
time:8, count:54
time:45, count:82
time:41, count:1255
time:24, count:422
time:33, count:796
time:29, count:545
time:28, count:248
time:59, count:339
time:3, count:183
time:44, count:1
time:27, count:499
time:27, count:200
time:30, count:311
time:27, count:219
time:27, count:790
time:21, count:368
time:65, count:75
time:33, count:479
time:2, count:1
time:20, count:233
time:53, count:66
time:28, count:131
time:28, count:121
time:34, count:162
time:45, count:4
time:15, count:266
time:48, count:2083
time:28, count:297
time:35, count:473
time:48, count:13
time:35, count:345
time:21, count:72
time:44, count:40
time:30, count:141
time:33, count:234
time:34, count:1043
time:21, count:129
time:25, count:149
time:72, count:118
