time:589, count:234
time:3, count:7
time:17, count:270
time:14, count:258
time:13, count:94
time:24, count:661
time:51, count:105
time:34, count:1155
time:4, count:44
time:45, count:264
time:13, count:162
time:47, count:4
time:5, count:1
time:21, count:210
time:58, count:53
time:28, count:693
time:30, count:561
time:56, count:91
time:15, count:115
time:28, count:1098
time:23, count:589
time:21, count:794
time:49, count:26
time:34, count:348
time:17, count:104
time:32, count:1091
time:15, count:176
time:12, count:123
time:18, count:300
time:50, count:4
time:27, count:290
time:8, count:35
time:47, count:32
time:4, count:2
time:17, count:127
time:25, count:280
time:26, count:282
time:50, count:92
time:8, count:38
time:49, count:361
time:28, count:191
time:33, count:295
time:28, count:791
time:55, count:71
time:19, count:370
time:39, count:861
time:61, count:57
time:29, count:330
time:17, count:166
time:44, count:1
time:35, count:1298
time:22, count:336
time:14, count:142
time:27, count:493
time:23, count:271
time:37, count:600
time:61, count:80
time:14, count:21
time:6, count:5
time:23, count:215
time:55, count:46
time:26, count:323
time:26, count:283
time:26, count:242
time:61, count:102
time:59, count:882
time:42, count:200
time:26, count:153
time:48, count:26
time:35, count:806
time:6, count:26
time:38, count:1251
time:29, count:249
time:50, count:30
time:6, count:48
time:10, count:88
time:63, count:89
time:7, count:24
time:61, count:995
time:58, count:98
time:24, count:88
time:42, count:582
time:56, count:28
time:24, count:22
time:25, count:115
time:58, count:95
time:34, count:210
time:26, count:282
time:55, count:32
time:36, count:803
time:28, count:273
time:59, count:74
time:4, count:85
time:14, count:134
time:56, count:898
time:20, count:298
time:26, count:675
time:55, count:97
time:14, count:84
time:5, count:5
time:52, count:27
time:10, count:18
time:22, count:222
time:62, count:49
time:22, count:423
time:8, count:45
time:14, count:435
time:33, count:839
time:16, count:147
time:14, count:194
time:17, count:392
time:12, count:160
time:27, count:553
time:28, count:907
time:39, count:1140
time:20, count:140
time:16, count:151
time:34, count:1516
time:30, count:586
time:53, count:98
time:36, count:1054
time:4, count:5
time:43, count:1
time:15, count:182
time:36, count:2127
time:47, count:32
time:58, count:154
time:10, count:111
time:55, count:36
time:35, count:439
time:35, count:2359
time:62, count:55
time:25, count:396
time:31, count:1097
time:33, count:861
time:42, count:4
time:42, count:1256
time:37, count:768
time:29, count:244
time:21, count:185
time:24, count:756
time:54, count:92
time:2, count:1
time:12, count:15
time:6, count:54
time:47, count:82
time:37, count:1255
time:20, count:422
time:28, count:796
time:21, count:545
time:24, count:248
time:30, count:339
time:4, count:183
time:45, count:1
time:25, count:499
time:56, count:200
time:26, count:311
time:22, count:219
time:21, count:790
time:15, count:368
time:60, count:75
time:26, count:479
time:3, count:1
time:17, count:233
time:49, count:66
time:19, count:131
time:18, count:121
time:22, count:162
time:44, count:4
time:10, count:266
time:28, count:2083
time:22, count:297
time:23, count:473
time:45, count:13
time:25, count:345
time:13, count:72
time:45, count:40
time:19, count:141
time:25, count:234
time:20, count:1043
time:10, count:129
time:16, count:149
time:57, count:118
time:16, count:380
time:3, count:11
time:48, count:32
time:31, count:381
time:4, count:35
time:52, count:99
time:5, count:17
time:5, count:18
time:49, count:21
time:24, count:254
time:24, count:421
time:54, count:287
time:44, count:1
time:8, count:140
time:6, count:268
time:44, count:7
time:16, count:316
time:29, count:1385
time:16, count:236
time:14, count:420
time:21, count:249
time:48, count:81
time:22, count:439
time:18, count:520
time:11, count:189
time:8, count:129
time:25, count:687
time:56, count:24
time:19, count:702
time:5, count:41
time:26, count:954
time:53, count:91
time:11, count:187
time:13, count:304
time:47, count:41
time:29, count:1415
time:25, count:844
time:45, count:3
time:26, count:1120
time:31, count:305
time:29, count:915
time:25, count:1865
time:42, count:2
time:25, count:179
time:13, count:134
time:18, count:237
time:34, count:471
time:11, count:175
time:54, count:106
time:7, count:41
time:9, count:51
time:19, count:175
time:65, count:386
time:17, count:260
time:53, count:29
time:15, count:499
time:17, count:1189
time:19, count:1579
time:17, count:685
time:47, count:53
time:2, count:1
time:13, count:311
time:4, count:18
time:14, count:380
time:45, count:1
time:9, count:153
time:10, count:28
time:52, count:35
time:13, count:486
time:10, count:60
time:53, count:91
