time:544, count:30
time:9, count:5
time:200, count:540
time:274, count:1660
time:185, count:855
time:77, count:340
time:162, count:25
time:516, count:2342
time:20, count:5
time:56, count:245
time:141, count:520
time:47, count:1
time:57, count:40
time:42, count:100
time:140, count:5
time:229, count:3578
time:262, count:3166
time:55, count:15
time:137, count:215
time:98, count:815
time:104, count:30
time:417, count:4680
time:17, count:20
time:132, count:590
time:189, count:795
time:84, count:85
time:204, count:600
time:95, count:345
time:200, count:755
time:113, count:185
time:48, count:10
time:9, count:5
time:18, count:45
time:51, count:5
time:147, count:1505
time:62, count:100
time:118, count:465
time:78, count:45
time:149, count:275
time:277, count:1135
time:145, count:310
time:90, count:375
time:274, count:2505
time:298, count:3615
time:127, count:1050
time:219, count:420
time:77, count:55
time:480, count:2380
time:25, count:35
time:46, count:5
time:266, count:1595
time:231, count:2735
time:133, count:260
time:367, count:240
time:111, count:490
time:87, count:245
time:140, count:265
time:171, count:300
time:72, count:90
time:160, count:675
time:30, count:60
time:74, count:330
time:99, count:110
time:231, count:510
time:121, count:125
time:177, count:689
time:119, count:60
time:58, count:417
time:14, count:30
time:90, count:580
time:56, count:60
time:551, count:5340
time:110, count:820
time:80, count:275
time:41, count:145
time:67, count:365
time:167, count:55
time:11, count:60
time:249, count:195
time:67, count:60
time:85, count:1110
time:466, count:3415
time:65, count:115
time:29, count:305
time:80, count:145
time:179, count:90
time:162, count:1195
time:69, count:115
time:145, count:425
time:687, count:5713
time:268, count:45
time:204, count:525
time:7, count:230
time:21, count:125
time:163, count:840
time:228, count:1605
time:260, count:1690
time:26, count:160
time:99, count:250
time:64, count:15
time:267, count:505
time:79, count:30
time:187, count:715
time:157, count:1810
time:125, count:515
time:54, count:55
time:63, count:90
time:211, count:1276
time:97, count:1295
time:322, count:3530
time:100, count:90
time:21, count:1
time:481, count:4800
time:128, count:290
time:211, count:1470
time:256, count:370
time:128, count:800
time:499, count:3557
time:50, count:385
time:125, count:1110
time:121, count:80
time:87, count:215
time:4, count:5
time:159, count:1005
time:314, count:2436
time:84, count:405
time:394, count:440
time:81, count:235
time:134, count:830
time:218, count:660
time:373, count:3670
time:188, count:700
time:82, count:340
time:91, count:645
time:335, count:2493
time:50, count:20
time:129, count:80
time:110, count:380
time:212, count:415
time:160, count:395
time:79, count:65
time:52, count:155
time:49, count:10
time:178, count:640
time:70, count:265
time:64, count:90
time:238, count:3560
time:203, count:980
time:249, count:160
time:203, count:1560
time:189, count:566
time:184, count:515
time:12, count:860
time:50, count:5
time:79, count:165
time:169, count:1115
time:153, count:385
time:63, count:10
time:40, count:30
time:107, count:825
time:85, count:170
time:162, count:710
time:46, count:1
time:80, count:265
time:58, count:195
time:57, count:470
time:151, count:1210
time:406, count:3885
time:47, count:5
time:99, count:530
time:312, count:2700
time:55, count:160
time:327, count:1470
time:54, count:35
time:263, count:155
time:70, count:85
time:7, count:200
time:190, count:1235
time:311, count:595
time:195, count:1136
time:197, count:395
time:67, count:35
time:232, count:2035
time:143, count:25
time:48, count:1
time:46, count:30
time:277, count:1975
time:68, count:5
time:30, count:220
time:172, count:100
time:77, count:85
time:43, count:120
time:438, count:765
time:190, count:1765
time:200, count:740
time:49, count:20
time:31, count:110
time:20, count:240
time:27, count:130
time:79, count:270
time:199, count:400
time:123, count:500
time:74, count:375
time:416, count:2075
time:87, count:100
time:281, count:1915
time:127, count:590
time:68, count:70
time:157, count:730
time:331, count:1020
time:84, count:545
time:307, count:2575
time:48, count:395
time:191, count:165
time:55, count:10
time:44, count:265
time:157, count:345
time:36, count:135
time:185, count:940
time:279, count:870
time:46, count:1
time:354, count:3400
time:414, count:4410
time:75, count:445
time:203, count:2195
time:44, count:10
time:149, count:555
time:62, count:705
time:133, count:120
time:49, count:255
time:174, count:260
time:47, count:145
time:90, count:15
time:37, count:100
time:202, count:20
time:165, count:591
time:152, count:65
time:358, count:3780
time:44, count:105
time:200, count:2120
time:222, count:1415
time:111, count:125
time:119, count:305
time:50, count:5
time:208, count:1275
time:49, count:135
time:78, count:50
time:11, count:15
time:329, count:2235
time:69, count:380
time:65, count:110
time:79, count:270
time:21, count:15
time:78, count:225
time:89, count:185
time:81, count:15
time:37, count:175
time:118, count:120
time:13, count:145
time:230, count:2611
time:112, count:535
time:459, count:2445
time:73, count:85
time:72, count:130
time:313, count:3350
time:79, count:435
time:108, count:85
time:11, count:15
time:13, count:135
time:90, count:210
time:50, count:5
time:4, count:5
time:77, count:545
time:132, count:1280
time:122, count:1600
time:233, count:1925
time:59, count:45
time:111, count:820
time:96, count:5
time:134, count:245
time:150, count:805
time:121, count:90
time:5, count:1
time:307, count:1830
time:79, count:525
time:53, count:20
time:12, count:55
time:217, count:665
time:258, count:670
time:385, count:3843
time:52, count:15
time:66, count:390
time:130, count:880
time:92, count:80
time:200, count:635
time:3, count:5
time:358, count:1874
time:443, count:1155
time:87, count:565
time:52, count:15
time:39, count:25
time:165, count:255
time:193, count:878
time:71, count:60
time:42, count:375
time:156, count:655
time:319, count:595
time:50, count:285
time:61, count:90
time:61, count:140
time:39, count:160
time:80, count:45
time:287, count:1760
time:496, count:4241
time:63, count:265
time:201, count:295
