time:488, count:6
time:4, count:1
time:43, count:109
time:65, count:332
time:114, count:171
time:37, count:68
time:81, count:5
time:131, count:469
time:10, count:1
time:18, count:49
time:34, count:104
time:46, count:1
time:21, count:8
time:12, count:20
time:82, count:1
time:48, count:715
time:63, count:633
time:51, count:3
time:39, count:43
time:39, count:163
time:68, count:7
time:84, count:939
time:26, count:4
time:67, count:118
time:50, count:160
time:63, count:17
time:53, count:120
time:18, count:69
time:50, count:151
time:30, count:37
time:47, count:2
time:15, count:1
time:8, count:9
time:44, count:1
time:30, count:301
time:38, count:21
time:54, count:93
time:55, count:9
time:28, count:55
time:68, count:227
time:42, count:62
time:39, count:77
time:67, count:501
time:68, count:724
time:32, count:210
time:74, count:84
time:64, count:11
time:98, count:477
time:22, count:7
time:43, count:1
time:51, count:319
time:50, count:547
time:42, count:53
time:84, count:48
time:126, count:101
time:30, count:49
time:40, count:53
time:43, count:60
time:50, count:19
time:43, count:135
time:18, count:12
time:29, count:66
time:34, count:22
time:55, count:102
time:39, count:25
time:45, count:137
time:69, count:12
time:22, count:83
time:7, count:6
time:18, count:116
time:48, count:12
time:73, count:1069
time:30, count:164
time:19, count:55
time:13, count:29
time:20, count:74
time:75, count:11
time:9, count:12
time:64, count:39
time:54, count:12
time:20, count:222
time:93, count:687
time:10, count:23
time:16, count:61
time:33, count:29
time:91, count:18
time:40, count:245
time:30, count:23
time:41, count:87
time:94, count:1142
time:65, count:9
time:33, count:105
time:6, count:46
time:6, count:26
time:45, count:169
time:40, count:323
time:57, count:338
time:9, count:32
time:25, count:50
time:53, count:4
time:36, count:101
time:30, count:6
time:43, count:143
time:36, count:362
time:35, count:103
time:46, count:11
time:26, count:18
time:45, count:255
time:27, count:259
time:52, count:708
time:62, count:18
time:90, count:1
time:97, count:960
time:35, count:58
time:51, count:293
time:81, count:74
time:32, count:161
time:125, count:711
time:12, count:77
time:21, count:222
time:69, count:17
time:21, count:43
time:2, count:1
time:40, count:201
time:63, count:487
time:19, count:81
time:96, count:89
time:22, count:47
time:26, count:166
time:69, count:134
time:59, count:734
time:44, count:141
time:30, count:68
time:22, count:143
time:89, count:499
time:43, count:4
time:38, count:16
time:31, count:76
time:74, count:84
time:41, count:83
time:78, count:13
time:14, count:31
time:3, count:2
time:48, count:128
time:22, count:53
time:49, count:18
time:64, count:712
time:47, count:196
time:80, count:32
time:61, count:312
time:53, count:116
time:49, count:105
time:4, count:172
time:44, count:1
time:117, count:33
time:49, count:226
time:48, count:77
time:62, count:8
time:25, count:6
time:27, count:165
time:34, count:34
time:45, count:142
time:43, count:1
time:28, count:53
time:20, count:39
time:20, count:94
time:42, count:242
time:97, count:778
time:44, count:1
time:24, count:107
time:91, count:542
time:38, count:32
time:68, count:299
time:44, count:7
time:74, count:31
time:30, count:17
time:3, count:40
time:39, count:248
time:78, count:120
time:48, count:227
time:52, count:79
time:58, count:7
time:60, count:407
time:56, count:6
time:47, count:1
time:16, count:6
time:57, count:395
time:50, count:2
time:16, count:44
time:30, count:20
time:49, count:17
time:14, count:24
time:93, count:153
time:50, count:353
time:54, count:148
time:45, count:4
time:16, count:22
time:6, count:48
time:7, count:26
time:20, count:54
time:81, count:83
time:24, count:100
time:117, count:75
time:87, count:415
time:15, count:20
time:69, count:383
time:39, count:118
time:51, count:14
time:33, count:146
time:75, count:205
time:20, count:109
time:64, count:515
time:13, count:79
time:56, count:33
time:46, count:2
time:18, count:53
time:41, count:69
time:14, count:27
time:38, count:188
time:74, count:175
time:46, count:3
time:78, count:680
time:91, count:882
time:20, count:89
time:56, count:439
time:45, count:2
time:41, count:111
time:15, count:141
time:35, count:24
time:26, count:51
time:52, count:52
time:14, count:29
time:63, count:3
time:12, count:20
time:76, count:5
time:41, count:120
time:106, count:15
time:52, count:758
time:20, count:21
time:46, count:424
time:65, count:283
time:21, count:25
time:35, count:61
time:43, count:1
time:39, count:255
time:15, count:27
time:62, count:10
time:4, count:3
time:133, count:448
time:21, count:77
time:7, count:22
time:24, count:54
time:50, count:3
time:32, count:45
time:37, count:38
time:54, count:3
time:9, count:35
time:37, count:24
time:9, count:29
time:57, count:523
time:41, count:107
time:102, count:490
time:52, count:18
time:20, count:26
time:59, count:671
time:33, count:87
time:68, count:17
time:5, count:3
time:3, count:27
time:22, count:42
time:46, count:2
time:3, count:1
time:19, count:109
time:33, count:256
time:51, count:322
time:54, count:385
time:48, count:9
time:43, count:165
time:40, count:1
time:37, count:49
time:37, count:161
time:74, count:18
time:4, count:1
time:42, count:366
time:35, count:105
time:47, count:4
time:6, count:11
time:51, count:133
time:57, count:135
time:58, count:769
time:47, count:4
time:14, count:79
time:31, count:177
time:55, count:16
time:35, count:127
time:2, count:1
time:68, count:375
time:89, count:231
time:18, count:113
time:45, count:3
time:14, count:5
time:47, count:52
time:39, count:175
time:51, count:12
time:16, count:75
time:123, count:132
time:74, count:120
time:13, count:57
time:53, count:18
time:21, count:28
time:11, count:32
time:52, count:9
time:65, count:353
time:88, count:848
time:17, count:53
time:51, count:59
time:55, count:14
time:6, count:8
time:10, count:77
time:36, count:134
time:38, count:155
time:47, count:10
time:28, count:100
time:8, count:17
time:135, count:538
time:48, count:8
time:47, count:277
time:7, count:2
time:20, count:123
time:46, count:324
time:44, count:1
time:5, count:1
time:27, count:16
time:60, count:3
time:26, count:45
time:56, count:45
time:76, count:261
time:46, count:1
time:32, count:140
time:34, count:3
time:64, count:468
time:23, count:58
time:50, count:1
time:24, count:12
time:27, count:70
time:10, count:78
time:47, count:41
time:42, count:50
time:54, count:3
time:37, count:34
time:10, count:18
time:86, count:1321
time:97, count:215
time:20, count:34
time:30, count:69
time:119, count:105
time:73, count:2
time:42, count:4
time:32, count:151
time:40, count:61
time:24, count:227
time:27, count:258
time:58, count:1
time:37, count:156
time:31, count:61
time:46, count:48
time:21, count:40
time:52, count:3
time:20, count:8
time:4, count:2
time:54, count:5
time:57, count:563
time:14, count:32
time:32, count:56
time:36, count:179
time:31, count:63
time:7, count:24
time:43, count:1
time:45, count:187
time:14, count:37
time:44, count:5
time:4, count:1
time:65, count:304
time:95, count:685
time:9, count:24
time:78, count:123
time:56, count:8
time:9, count:38
time:18, count:14
time:24, count:98
time:16, count:70
time:57, count:21
time:25, count:43
time:12, count:34
time:34, count:40
time:13, count:49
time:28, count:67
time:39, count:44
time:50, count:116
time:66, count:57
time:32, count:137
time:145, count:1211
time:47, count:3
time:8, count:1
time:13, count:29
time:74, count:11
time:114, count:126
time:29, count:184
time:32, count:24
time:30, count:77
time:47, count:1
time:30, count:10
time:25, count:15
time:12, count:22
time:17, count:21
time:29, count:136
time:43, count:1
time:2, count:3
time:2, count:1
time:48, count:424
time:37, count:65
time:67, count:14
time:11, count:20
time:45, count:69
time:33, count:340
time:6, count:47
time:56, count:6
time:69, count:219
time:62, count:144
time:16, count:64
time:53, count:7
time:7, count:3
time:10, count:8
time:32, count:54
time:47, count:44
time:20, count:118
time:47, count:1
time:8, count:45
time:6, count:9
time:23, count:99
time:45, count:1
time:31, count:133
time:19, count:11
time:24, count:72
time:46, count:4
time:24, count:36
time:77, count:187
time:58, count:493
time:14, count:44
time:26, count:29
time:52, count:2
time:5, count:45
time:31, count:110
time:44, count:3
time:30, count:66
time:11, count:15
time:28, count:93
time:43, count:13
time:12, count:19
time:12, count:10
time:45, count:236
time:23, count:22
time:34, count:179
time:18, count:95
time:53, count:80
time:43, count:1
time:4, count:12
time:16, count:26
time:30, count:28
time:46, count:1
time:23, count:104
time:15, count:3
time:46, count:1
time:19, count:147
time:154, count:392
time:25, count:108
time:16, count:24
time:73, count:7
time:32, count:15
time:22, count:106
time:15, count:30
time:6, count:48
time:44, count:1
time:44, count:203
time:2, count:6
time:29, count:61
time:45, count:6
time:22, count:27
time:37, count:20
time:45, count:2
time:74, count:610
time:96, count:265
time:75, count:382
time:54, count:2
time:17, count:53
time:15, count:1
time:40, count:287
time:64, count:69
time:91, count:973
time:12, count:21
total:, average count:128.88
time:51, count:6
time:2, count:1
time:31, count:109
time:39, count:332
time:28, count:171
time:29, count:68
time:73, count:5
time:103, count:469
time:7, count:1
time:15, count:49
time:26, count:104
time:45, count:1
time:17, count:8
time:10, count:20
time:72, count:1
time:38, count:715
time:47, count:633
time:47, count:3
time:32, count:43
time:23, count:163
time:57, count:7
time:65, count:939
time:12, count:4
time:31, count:118
time:42, count:160
time:134, count:17
time:44, count:120
time:14, count:69
time:41, count:151
time:24, count:37
time:49, count:2
time:13, count:1
time:6, count:9
time:45, count:1
time:25, count:301
time:31, count:21
time:45, count:93
time:51, count:9
time:25, count:55
time:54, count:227
time:34, count:62
time:33, count:77
time:67, count:501
time:42, count:724
time:27, count:210
time:60, count:84
time:59, count:11
time:84, count:477
time:18, count:7
time:42, count:1
time:39, count:319
time:41, count:547
time:35, count:53
time:66, count:48
time:36, count:101
time:25, count:49
time:31, count:53
time:35, count:60
time:51, count:19
time:38, count:135
time:16, count:12
time:25, count:66
time:28, count:22
time:46, count:102
time:32, count:25
time:37, count:137
time:66, count:12
time:19, count:83
time:6, count:6
time:16, count:116
time:47, count:12
time:61, count:1069
time:25, count:164
time:86, count:55
time:11, count:29
time:17, count:74
time:68, count:11
time:8, count:12
time:51, count:39
time:49, count:12
time:17, count:222
time:76, count:687
time:9, count:23
time:13, count:61
time:27, count:29
time:82, count:18
time:34, count:245
time:25, count:23
time:32, count:87
time:75, count:1142
time:62, count:9
time:28, count:105
time:5, count:46
time:5, count:26
time:40, count:169
time:36, count:323
time:53, count:338
time:9, count:32
time:22, count:50
time:53, count:4
time:31, count:101
time:25, count:6
time:35, count:143
time:31, count:362
time:29, count:103
time:45, count:11
time:23, count:18
time:37, count:255
time:23, count:259
time:44, count:708
time:61, count:18
time:9, count:1
time:79, count:960
time:29, count:58
time:40, count:293
time:61, count:74
time:26, count:161
time:103, count:711
time:10, count:77
time:18, count:222
time:133, count:17
time:17, count:43
time:3, count:1
time:32, count:201
time:52, count:487
time:16, count:81
time:81, count:89
time:20, count:47
time:21, count:166
time:56, count:134
time:44, count:734
time:38, count:141
time:25, count:68
time:19, count:143
time:66, count:499
time:46, count:4
time:33, count:16
time:24, count:76
time:61, count:84
time:33, count:83
time:73, count:13
time:11, count:31
time:3, count:2
time:40, count:128
time:17, count:53
time:49, count:18
time:57, count:712
time:38, count:196
time:78, count:32
time:52, count:312
time:43, count:116
time:41, count:105
time:3, count:172
time:43, count:1
time:28, count:33
time:40, count:226
time:40, count:77
time:56, count:8
time:22, count:6
time:23, count:165
time:29, count:34
time:38, count:142
time:43, count:1
time:23, count:53
time:18, count:39
time:82, count:94
time:32, count:242
time:76, count:778
time:45, count:1
time:21, count:107
time:74, count:542
time:33, count:32
time:58, count:299
time:46, count:7
time:63, count:31
time:25, count:17
time:3, count:40
time:34, count:248
time:57, count:120
time:37, count:227
time:42, count:79
time:58, count:7
time:50, count:407
time:43, count:6
time:43, count:1
time:14, count:6
time:46, count:395
time:48, count:2
time:15, count:44
time:23, count:20
time:50, count:17
time:11, count:24
time:77, count:153
time:42, count:353
time:48, count:148
time:46, count:4
time:15, count:22
time:5, count:48
time:7, count:26
time:17, count:54
time:68, count:83
time:27, count:100
time:40, count:75
time:71, count:415
time:14, count:20
time:54, count:383
time:33, count:118
time:53, count:14
time:90, count:146
time:61, count:205
time:17, count:109
time:54, count:515
time:11, count:79
time:46, count:33
time:49, count:2
time:16, count:53
time:35, count:69
time:12, count:27
time:31, count:188
time:59, count:175
time:42, count:3
time:61, count:680
time:59, count:882
time:16, count:89
time:42, count:439
time:45, count:2
time:35, count:111
time:13, count:141
time:27, count:24
time:21, count:51
time:43, count:52
time:12, count:29
time:56, count:3
time:11, count:20
time:62, count:5
time:33, count:120
time:93, count:15
time:43, count:758
time:17, count:21
time:31, count:424
time:50, count:283
time:18, count:25
time:28, count:61
time:45, count:1
time:32, count:255
time:12, count:27
time:60, count:10
time:4, count:3
time:41, count:448
time:17, count:77
time:5, count:22
time:20, count:54
time:48, count:3
time:28, count:45
time:31, count:38
time:53, count:3
time:75, count:35
time:47, count:24
time:9, count:29
time:51, count:523
time:34, count:107
time:87, count:490
time:49, count:18
time:17, count:26
time:47, count:671
time:26, count:87
time:62, count:17
time:4, count:3
time:4, count:27
time:18, count:42
time:46, count:2
time:2, count:1
time:16, count:109
time:24, count:256
time:26, count:322
time:42, count:385
time:46, count:9
time:35, count:165
time:35, count:1
time:30, count:49
time:29, count:161
time:71, count:18
time:3, count:1
time:35, count:366
time:28, count:105
time:46, count:4
time:6, count:11
time:42, count:133
time:45, count:135
time:50, count:769
time:45, count:4
time:12, count:79
time:26, count:177
time:54, count:16
time:29, count:127
time:2, count:1
time:58, count:375
time:75, count:231
time:15, count:113
time:43, count:3
time:13, count:5
time:39, count:52
time:34, count:175
time:50, count:12
time:14, count:75
time:35, count:132
time:125, count:120
time:12, count:57
time:50, count:18
time:18, count:28
time:10, count:32
time:52, count:9
time:53, count:353
time:73, count:848
time:18, count:53
time:45, count:59
time:50, count:14
time:7, count:8
time:8, count:77
time:30, count:134
time:32, count:155
time:47, count:10
time:24, count:100
time:9, count:17
time:74, count:538
time:49, count:8
time:39, count:277
time:7, count:2
time:15, count:123
time:38, count:324
time:45, count:1
time:4, count:1
time:23, count:16
time:57, count:3
time:20, count:45
time:45, count:45
time:62, count:261
time:45, count:1
time:27, count:140
time:29, count:3
time:53, count:468
time:19, count:58
time:48, count:1
time:20, count:12
time:23, count:70
time:9, count:78
time:40, count:41
time:35, count:50
time:53, count:3
time:32, count:34
time:9, count:18
time:68, count:1321
time:76, count:215
time:16, count:34
time:83, count:69
time:36, count:105
time:66, count:2
time:35, count:4
time:27, count:151
time:32, count:61
time:19, count:227
time:23, count:258
time:56, count:1
time:30, count:156
time:25, count:61
time:39, count:48
time:18, count:40
time:52, count:3
time:18, count:8
time:4, count:2
time:54, count:5
time:49, count:563
time:12, count:32
time:28, count:56
time:40, count:179
time:25, count:63
time:6, count:24
time:45, count:1
time:39, count:187
time:13, count:37
time:44, count:5
time:3, count:1
time:56, count:304
time:78, count:685
time:8, count:24
time:65, count:123
time:54, count:8
time:7, count:38
time:15, count:14
time:20, count:98
time:13, count:70
time:46, count:21
time:21, count:43
time:8, count:34
time:29, count:40
time:11, count:49
time:24, count:67
time:33, count:44
time:41, count:116
time:55, count:57
time:26, count:137
time:190, count:1211
time:44, count:3
time:7, count:1
time:12, count:29
time:73, count:11
time:33, count:126
time:25, count:184
time:27, count:24
time:26, count:77
time:45, count:1
time:21, count:10
time:18, count:15
time:9, count:22
time:15, count:21
time:24, count:136
time:44, count:1
time:2, count:3
time:1, count:1
time:41, count:424
time:30, count:65
time:61, count:14
time:10, count:20
time:37, count:69
time:27, count:340
time:6, count:47
time:52, count:6
time:51, count:219
time:42, count:144
time:13, count:64
time:50, count:7
time:5, count:3
time:10, count:8
time:26, count:54
time:41, count:44
time:18, count:118
time:48, count:1
time:8, count:45
time:6, count:9
time:20, count:99
time:46, count:1
time:27, count:133
time:16, count:11
time:21, count:72
time:44, count:4
time:20, count:36
time:63, count:187
time:47, count:493
time:13, count:44
time:22, count:29
time:51, count:2
time:4, count:45
time:28, count:110
time:44, count:3
time:24, count:66
time:10, count:15
time:25, count:93
time:45, count:13
time:11, count:19
time:10, count:10
time:38, count:236
time:19, count:22
time:86, count:179
time:15, count:95
time:47, count:80
time:45, count:1
time:4, count:12
time:13, count:26
time:25, count:28
time:45, count:1
time:19, count:104
time:12, count:3
time:45, count:1
time:16, count:147
time:66, count:392
time:21, count:108
time:15, count:24
time:66, count:7
time:24, count:15
time:19, count:106
time:13, count:30
time:5, count:48
time:43, count:1
time:37, count:203
time:2, count:6
time:23, count:61
time:45, count:6
time:19, count:27
time:31, count:20
time:46, count:2
time:54, count:610
time:61, count:265
time:57, count:382
time:52, count:2
time:14, count:53
time:13, count:1
time:34, count:287
time:52, count:69
time:75, count:973
time:11, count:21
total:, average count:128.88
time:46, count:6
time:2, count:1
time:27, count:109
time:32, count:332
time:23, count:171
time:27, count:68
time:72, count:5
time:83, count:469
time:5, count:1
time:11, count:49
time:23, count:104
time:42, count:1
time:14, count:8
time:8, count:20
time:126, count:1
time:32, count:715
time:35, count:633
time:45, count:3
time:27, count:43
time:21, count:163
time:52, count:7
time:49, count:939
time:11, count:4
time:26, count:118
time:34, count:160
time:55, count:17
time:37, count:120
time:11, count:69
time:36, count:151
time:21, count:37
time:47, count:2
time:11, count:1
time:6, count:9
time:43, count:1
time:21, count:301
time:25, count:21
time:38, count:93
time:52, count:9
time:21, count:55
time:46, count:227
time:30, count:62
time:25, count:77
time:44, count:501
time:34, count:724
time:24, count:210
time:51, count:84
time:57, count:11
time:69, count:477
time:15, count:7
time:43, count:1
time:31, count:319
time:35, count:547
time:29, count:53
time:53, count:48
time:30, count:101
time:20, count:49
time:27, count:53
time:87, count:60
time:51, count:19
time:33, count:135
time:14, count:12
time:21, count:66
time:24, count:22
