time:515, count:30
time:5, count:5
time:138, count:540
time:258, count:1660
time:145, count:855
time:63, count:340
time:148, count:25
time:553, count:2342
time:15, count:5
time:49, count:245
time:120, count:520
time:45, count:1
time:50, count:40
time:29, count:100
time:127, count:5
time:194, count:3578
time:263, count:3166
time:52, count:15
time:127, count:215
time:95, count:815
time:107, count:30
time:384, count:4680
time:18, count:20
time:139, count:590
time:181, count:795
time:82, count:85
time:185, count:600
time:71, count:345
time:197, count:755
time:122, count:185
time:48, count:10
time:10, count:5
time:17, count:45
time:47, count:5
time:162, count:1505
time:63, count:100
time:132, count:465
time:77, count:45
time:117, count:275
time:226, count:1135
time:136, count:310
time:93, count:375
time:287, count:2505
time:292, count:3615
time:125, count:1050
time:227, count:420
time:79, count:55
time:432, count:2380
time:25, count:35
time:47, count:5
time:255, count:1595
time:214, count:2735
time:170, count:260
time:317, count:240
time:110, count:490
time:80, count:245
time:130, count:265
time:136, count:300
time:70, count:90
time:158, count:675
time:26, count:60
time:72, count:330
time:96, count:110
time:205, count:510
time:110, count:125
time:161, count:689
time:119, count:60
time:54, count:417
time:13, count:30
time:74, count:580
time:54, count:60
time:453, count:5340
time:100, count:820
time:71, count:275
time:35, count:145
time:57, count:365
time:150, count:55
time:10, count:60
time:222, count:195
time:64, count:60
time:73, count:1110
time:462, count:3415
time:69, count:115
time:24, count:305
time:46, count:145
time:114, count:90
time:35, count:1195
time:16, count:115
time:25, count:425
time:95, count:5713
time:53, count:45
time:25, count:525
time:4, count:230
time:5, count:125
time:31, count:840
time:36, count:1605
time:48, count:1690
time:7, count:160
time:20, count:250
time:47, count:15
time:41, count:505
time:18, count:30
time:32, count:715
time:45, count:1810
time:33, count:515
time:46, count:55
time:13, count:90
time:34, count:1276
time:20, count:1295
time:62, count:3530
time:57, count:90
time:7, count:1
time:89, count:4800
time:27, count:290
time:41, count:1470
time:48, count:370
time:26, count:800
time:95, count:3557
time:11, count:385
time:22, count:1110
time:59, count:80
time:17, count:215
time:3, count:5
time:27, count:1005
time:55, count:2436
time:19, count:405
time:72, count:440
time:15, count:235
time:25, count:830
time:41, count:660
time:61, count:3670
time:33, count:700
time:19, count:340
time:20, count:645
time:58, count:2493
time:48, count:20
time:27, count:80
time:21, count:380
time:42, count:415
time:24, count:395
time:58, count:65
time:11, count:155
time:4, count:10
time:32, count:640
time:15, count:265
time:50, count:90
time:45, count:3560
time:37, count:980
time:44, count:160
time:41, count:1560
time:37, count:566
time:34, count:515
time:5, count:860
time:44, count:5
time:15, count:165
time:31, count:1115
time:28, count:385
time:49, count:10
time:9, count:30
time:21, count:825
time:16, count:170
time:30, count:710
time:43, count:1
time:19, count:265
time:12, count:195
time:13, count:470
time:30, count:1210
time:86, count:3885
time:44, count:5
time:19, count:530
time:53, count:2700
time:11, count:160
time:55, count:1470
time:45, count:35
time:44, count:155
time:15, count:85
time:3, count:200
time:32, count:1235
time:53, count:595
time:28, count:1136
time:35, count:395
time:52, count:35
time:44, count:2035
time:29, count:25
time:50, count:1
time:10, count:30
time:48, count:1975
time:50, count:5
time:9, count:220
time:29, count:100
time:50, count:85
time:11, count:120
time:78, count:765
time:38, count:1765
time:37, count:740
time:44, count:20
time:8, count:110
time:6, count:240
time:7, count:130
time:15, count:270
time:39, count:400
time:24, count:500
time:17, count:375
time:74, count:2075
time:51, count:100
time:55, count:1915
time:22, count:590
time:50, count:70
time:28, count:730
time:56, count:1020
time:15, count:545
time:47, count:2575
time:11, count:395
time:32, count:165
time:46, count:10
time:9, count:265
time:28, count:345
time:8, count:135
time:32, count:940
time:50, count:870
time:46, count:1
time:64, count:3400
time:98, count:4410
time:25, count:445
time:72, count:2195
time:44, count:10
time:26, count:555
time:13, count:705
time:56, count:120
time:12, count:255
time:35, count:260
time:11, count:145
time:50, count:15
time:9, count:100
time:39, count:20
time:30, count:591
time:62, count:65
time:66, count:3780
time:12, count:105
time:41, count:2120
time:44, count:1415
time:12, count:125
time:22, count:305
time:46, count:5
time:37, count:1275
time:10, count:135
time:52, count:50
time:4, count:15
time:59, count:2235
time:15, count:380
time:49, count:110
time:17, count:270
time:6, count:15
time:16, count:225
time:18, count:185
time:51, count:15
time:8, count:175
time:20, count:120
time:5, count:145
time:43, count:2611
time:22, count:535
time:82, count:2445
time:51, count:85
time:14, count:130
time:55, count:3350
time:19, count:435
time:56, count:85
time:4, count:15
time:5, count:135
time:16, count:210
time:47, count:5
time:3, count:5
time:16, count:545
time:25, count:1280
time:25, count:1600
time:46, count:1925
time:49, count:45
time:21, count:820
time:18, count:5
time:24, count:245
time:26, count:805
time:59, count:90
time:3, count:1
time:51, count:1830
time:16, count:525
time:46, count:20
time:5, count:55
time:38, count:665
time:40, count:670
time:56, count:3843
time:47, count:15
time:12, count:390
time:23, count:880
time:52, count:80
time:35, count:635
time:3, count:5
time:61, count:1874
time:72, count:1155
time:17, count:565
time:46, count:15
time:8, count:25
time:27, count:255
time:32, count:878
time:48, count:60
time:10, count:375
time:28, count:655
time:54, count:595
time:11, count:285
time:49, count:90
time:13, count:140
time:9, count:160
time:50, count:45
time:50, count:1760
time:98, count:4241
time:12, count:265
time:36, count:295
time:48, count:70
time:6, count:40
time:8, count:385
time:27, count:670
time:29, count:775
time:45, count:50
time:19, count:500
time:6, count:85
time:75, count:2689
time:48, count:40
time:32, count:1385
time:4, count:10
time:17, count:610
time:35, count:1620
time:44, count:1
time:3, count:5
time:11, count:80
time:11, count:15
time:10, count:225
time:16, count:225
time:49, count:1305
time:47, count:5
time:22, count:680
time:22, count:15
time:49, count:2340
time:14, count:290
time:49, count:5
time:14, count:60
time:17, count:350
time:9, count:390
time:30, count:207
time:18, count:250
time:51, count:15
time:26, count:170
