time:570, count:6
time:3, count:1
time:33, count:109
time:44, count:332
time:34, count:171
time:72, count:68
time:34, count:5
time:110, count:469
time:50, count:1
time:15, count:49
time:29, count:104
time:46, count:1
time:19, count:8
time:11, count:20
time:80, count:1
time:42, count:715
time:57, count:633
time:49, count:3
time:36, count:43
time:35, count:163
time:64, count:7
time:82, count:939
time:13, count:4
time:76, count:118
time:44, count:160
time:20, count:17
time:91, count:120
time:16, count:69
time:45, count:151
time:70, count:37
time:6, count:2
time:13, count:1
time:47, count:9
time:3, count:1
time:27, count:301
time:75, count:21
time:50, count:93
time:13, count:9
time:67, count:55
time:61, count:227
time:39, count:62
time:79, count:77
time:59, count:501
time:50, count:724
time:29, count:210
time:107, count:84
time:21, count:11
time:88, count:477
time:62, count:7
time:2, count:1
time:42, count:319
time:45, count:547
time:80, count:53
time:74, count:48
time:42, count:101
time:70, count:49
time:34, count:53
time:40, count:60
time:49, count:19
time:39, count:135
time:16, count:12
time:67, count:66
time:30, count:22
time:49, count:102
time:79, count:25
time:40, count:137
time:25, count:12
time:62, count:83
time:6, count:6
time:16, count:116
time:49, count:12
time:65, count:1069
time:26, count:164
time:61, count:55
time:12, count:29
time:17, count:74
time:74, count:11
time:9, count:12
time:57, count:39
time:53, count:12
time:18, count:222
time:85, count:687
time:52, count:23
time:15, count:61
time:29, count:29
time:83, count:18
time:36, count:245
time:27, count:23
time:76, count:87
time:79, count:1142
time:22, count:9
time:73, count:105
time:5, count:46
time:5, count:26
time:40, count:169
time:35, count:323
time:49, count:338
time:51, count:32
time:23, count:50
time:11, count:4
time:73, count:101
time:27, count:6
time:37, count:143
time:32, count:362
time:73, count:103
time:5, count:11
time:24, count:18
time:41, count:255
time:26, count:259
time:47, count:708
time:63, count:18
time:9, count:1
time:86, count:960
time:76, count:58
time:47, count:293
time:75, count:74
time:30, count:161
time:120, count:711
time:51, count:77
time:19, count:222
time:26, count:17
time:62, count:43
time:2, count:1
time:37, count:201
time:57, count:487
time:59, count:81
time:87, count:89
time:20, count:47
time:24, count:166
time:64, count:134
time:56, count:734
time:51, count:141
time:72, count:68
time:20, count:143
time:73, count:499
time:46, count:4
time:35, count:16
time:27, count:76
time:111, count:84
time:38, count:83
time:35, count:13
time:53, count:31
time:3, count:2
time:44, count:128
time:21, count:53
time:51, count:18
time:61, count:712
time:44, count:196
time:122, count:32
time:58, count:312
time:50, count:116
time:87, count:105
time:3, count:172
time:3, count:1
time:47, count:33
time:44, count:226
time:86, count:77
time:17, count:8
time:23, count:6
time:26, count:165
