time:634, count:6
time:10, count:1
time:159, count:109
time:83, count:332
time:47, count:171
time:108, count:68
time:65, count:5
time:201, count:469
time:57, count:1
time:30, count:49
time:55, count:104
time:47, count:1
time:46, count:8
time:22, count:20
time:108, count:1
time:53, count:715
time:60, count:633
time:50, count:3
time:64, count:43
time:41, count:163
time:65, count:7
time:78, count:939
time:14, count:4
time:123, count:118
time:43, count:160
time:20, count:17
time:88, count:120
time:27, count:69
time:42, count:151
time:68, count:37
time:7, count:2
time:13, count:1
time:51, count:9
time:4, count:1
time:27, count:301
time:75, count:21
time:49, count:93
time:12, count:9
time:66, count:55
time:59, count:227
time:36, count:62
time:79, count:77
time:57, count:501
time:48, count:724
time:29, count:210
time:177, count:84
time:21, count:11
time:85, count:477
time:61, count:7
time:2, count:1
time:41, count:319
time:43, count:547
time:78, count:53
time:73, count:48
time:39, count:101
time:67, count:49
time:33, count:53
time:38, count:60
time:52, count:19
time:38, count:135
time:17, count:12
time:68, count:66
time:29, count:22
time:47, count:102
time:78, count:25
time:39, count:137
time:46, count:12
time:61, count:83
time:6, count:6
time:16, count:116
time:50, count:12
time:62, count:1069
time:25, count:164
time:58, count:55
time:12, count:29
time:17, count:74
time:70, count:11
time:8, count:12
time:55, count:39
time:51, count:12
time:21, count:222
time:80, count:687
time:49, count:23
time:14, count:61
time:29, count:29
time:84, count:18
time:35, count:245
time:26, count:23
time:73, count:87
time:76, count:1142
time:22, count:9
time:96, count:105
time:6, count:46
time:6, count:26
time:38, count:169
time:35, count:323
time:48, count:338
time:49, count:32
time:22, count:50
time:12, count:4
time:73, count:101
time:26, count:6
time:37, count:143
time:33, count:362
time:71, count:103
time:5, count:11
time:24, count:18
time:40, count:255
time:25, count:259
time:45, count:708
time:64, count:18
time:9, count:1
time:83, count:960
time:71, count:58
time:44, count:293
time:103, count:74
time:27, count:161
time:110, count:711
time:52, count:77
time:19, count:222
time:25, count:17
time:59, count:43
time:2, count:1
time:42, count:201
time:54, count:487
time:56, count:81
time:82, count:89
time:19, count:47
time:23, count:166
time:62, count:134
time:49, count:734
time:38, count:141
time:68, count:68
time:19, count:143
time:111, count:499
time:45, count:4
time:33, count:16
time:27, count:76
time:107, count:84
time:35, count:83
time:33, count:13
time:55, count:31
time:3, count:2
time:40, count:128
time:19, count:53
time:48, count:18
time:56, count:712
time:42, count:196
time:113, count:32
time:56, count:312
time:46, count:116
time:85, count:105
time:3, count:172
time:2, count:1
time:63, count:33
time:43, count:226
time:85, count:77
time:17, count:8
time:22, count:6
time:25, count:165
time:71, count:34
time:38, count:142
time:2, count:1
time:66, count:53
time:18, count:39
time:19, count:94
time:37, count:242
time:85, count:778
time:43, count:1
time:22, count:107
time:80, count:542
time:74, count:32
time:59, count:299
time:4, count:7
time:147, count:31
time:26, count:17
time:4, count:40
time:35, count:248
time:101, count:120
time:42, count:227
time:45, count:79
time:55, count:7
time:53, count:407
time:49, count:6
time:45, count:1
time:14, count:6
time:49, count:395
time:48, count:2
time:14, count:44
time:25, count:20
time:50, count:17
time:12, count:24
time:81, count:153
time:44, count:353
time:84, count:148
time:49, count:4
time:14, count:22
time:9, count:48
time:52, count:26
time:21, count:54
time:71, count:83
time:63, count:100
time:31, count:75
time:78, count:415
time:55, count:20
time:61, count:383
time:35, count:118
time:51, count:14
time:30, count:146
time:66, count:205
time:59, count:109
time:56, count:515
time:11, count:79
time:92, count:33
time:6, count:2
time:49, count:53
time:80, count:69
time:12, count:27
time:33, count:188
time:68, count:175
time:45, count:3
time:70, count:680
time:72, count:882
time:61, count:89
time:48, count:439
time:3, count:2
time:35, count:111
time:13, count:141
time:71, count:24
time:22, count:51
time:46, count:52
time:55, count:29
time:16, count:3
time:10, count:20
time:109, count:5
time:72, count:120
time:55, count:15
time:46, count:758
time:59, count:21
time:37, count:424
time:57, count:283
time:62, count:25
time:30, count:61
time:4, count:1
time:33, count:255
time:53, count:27
time:18, count:10
time:4, count:3
time:45, count:448
time:60, count:77
time:6, count:22
time:21, count:54
time:52, count:3
time:27, count:45
time:33, count:38
time:55, count:3
time:8, count:35
time:32, count:24
time:50, count:29
time:85, count:523
time:36, count:107
time:87, count:490
time:51, count:18
time:17, count:26
time:50, count:671
time:69, count:87
time:23, count:17
time:4, count:3
time:45, count:27
time:20, count:42
time:6, count:2
time:46, count:1
time:18, count:109
time:30, count:256
time:30, count:322
time:48, count:385
time:49, count:9
time:37, count:165
time:35, count:1
time:75, count:49
time:33, count:161
time:78, count:18
time:44, count:1
time:58, count:366
time:54, count:105
time:44, count:4
time:12, count:11
time:79, count:133
time:81, count:135
time:81, count:769
time:46, count:4
time:13, count:79
time:27, count:177
time:56, count:16
time:30, count:127
time:3, count:1
time:61, count:375
time:80, count:231
time:58, count:113
time:4, count:3
time:13, count:5
time:82, count:52
time:35, count:175
time:7, count:12
time:57, count:75
time:38, count:132
time:65, count:120
time:53, count:57
time:9, count:18
time:18, count:28
time:52, count:32
time:10, count:9
time:91, count:353
time:77, count:848
time:57, count:53
time:45, count:59
time:10, count:14
time:48, count:8
time:10, count:77
time:32, count:134
time:34, count:155
time:44, count:10
time:26, count:100
time:8, count:17
time:76, count:538
time:50, count:8
time:40, count:277
time:6, count:2
time:18, count:123
time:40, count:324
time:44, count:1
time:5, count:1
time:24, count:16
time:59, count:3
time:23, count:45
time:48, count:45
time:75, count:261
time:46, count:1
time:27, count:140
time:75, count:3
time:55, count:468
time:62, count:58
time:7, count:1
time:20, count:12
time:64, count:70
time:11, count:78
time:41, count:41
time:76, count:50
time:12, count:3
time:31, count:34
time:52, count:18
time:73, count:1321
time:80, count:215
time:58, count:34
time:26, count:69
time:35, count:105
time:69, count:2
time:37, count:4
time:28, count:151
time:74, count:61
time:21, count:227
time:24, count:258
time:55, count:1
time:76, count:156
time:27, count:61
time:80, count:48
time:19, count:40
time:10, count:3
time:59, count:8
time:5, count:2
time:12, count:5
time:49, count:563
time:54, count:32
time:30, count:56
time:24, count:179
time:66, count:63
time:6, count:24
time:2, count:1
time:39, count:187
time:56, count:37
time:4, count:5
time:3, count:1
time:57, count:304
time:82, count:685
time:52, count:24
time:70, count:123
time:12, count:8
time:50, count:38
time:17, count:14
time:20, count:98
time:55, count:70
time:49, count:21
time:23, count:43
time:92, count:34
time:31, count:40
time:12, count:49
time:69, count:67
time:35, count:44
time:44, count:116
time:97, count:57
time:30, count:137
time:123, count:1211
time:47, count:3
time:7, count:1
time:13, count:29
time:72, count:11
time:33, count:126
time:24, count:184
time:70, count:24
time:28, count:77
time:4, count:1
time:25, count:10
time:63, count:15
time:11, count:22
time:16, count:21
time:39, count:136
time:46, count:1
time:2, count:3
time:2, count:1
time:41, count:424
time:115, count:65
time:23, count:14
time:10, count:20
time:79, count:69
time:30, count:340
time:5, count:47
time:53, count:6
time:60, count:219
time:50, count:144
time:54, count:64
time:11, count:7
time:5, count:3
time:51, count:8
time:28, count:54
time:40, count:44
time:59, count:118
time:4, count:1
time:8, count:45
time:47, count:9
time:21, count:99
time:3, count:1
time:26, count:133
time:58, count:11
time:22, count:72
time:3, count:4
time:63, count:36
time:66, count:187
time:50, count:493
time:56, count:44
time:23, count:29
time:9, count:2
time:44, count:45
time:68, count:110
time:3, count:3
time:25, count:66
time:52, count:15
time:25, count:93
time:3, count:13
time:10, count:19
time:53, count:10
time:41, count:236
time:20, count:22
time:30, count:179
time:61, count:95
time:46, count:80
time:3, count:1
time:46, count:12
time:15, count:26
time:26, count:28
time:43, count:1
time:21, count:104
time:14, count:3
time:45, count:1
time:17, count:147
time:69, count:392
time:66, count:108
time:14, count:24
time:30, count:7
time:71, count:15
time:20, count:106
time:13, count:30
time:46, count:48
time:3, count:1
time:38, count:203
time:2, count:6
time:25, count:61
time:44, count:6
time:19, count:27
time:71, count:20
time:46, count:2
time:60, count:610
time:70, count:265
time:66, count:382
time:51, count:2
time:15, count:53
time:16, count:1
time:35, count:287
time:94, count:69
time:74, count:973
time:10, count:21
total:, average count:128.88
time:48, count:6
time:2, count:1
time:27, count:109
time:34, count:332
time:36, count:171
time:67, count:68
time:27, count:5
time:130, count:469
time:47, count:1
time:11, count:49
time:23, count:104
time:45, count:1
time:16, count:8
time:9, count:20
time:70, count:1
time:32, count:715
time:42, count:633
time:46, count:3
time:28, count:43
time:22, count:163
time:58, count:7
time:56, count:939
time:11, count:4
time:69, count:118
time:34, count:160
time:16, count:17
time:82, count:120
time:14, count:69
time:35, count:151
time:63, count:37
time:6, count:2
time:11, count:1
time:50, count:9
time:4, count:1
time:24, count:301
time:29, count:21
time:119, count:93
time:10, count:9
time:21, count:55
time:48, count:227
time:77, count:62
time:28, count:77
time:45, count:501
time:39, count:724
time:25, count:210
time:95, count:84
time:17, count:11
time:72, count:477
time:59, count:7
time:3, count:1
time:35, count:319
time:36, count:547
time:70, count:53
time:59, count:48
time:61, count:101
time:64, count:49
time:29, count:53
time:32, count:60
time:51, count:19
time:32, count:135
time:14, count:12
time:65, count:66
time:25, count:22
time:39, count:102
time:71, count:25
time:33, count:137
time:21, count:12
time:58, count:83
time:5, count:6
time:13, count:116
time:49, count:12
time:53, count:1069
time:26, count:164
time:57, count:55
time:10, count:29
time:15, count:74
time:66, count:11
time:8, count:12
time:45, count:39
time:50, count:12
time:16, count:222
time:99, count:687
time:49, count:23
time:12, count:61
time:24, count:29
time:78, count:18
time:31, count:245
time:22, count:23
time:67, count:87
time:65, count:1142
time:18, count:9
time:69, count:105
time:6, count:46
time:5, count:26
time:34, count:169
time:30, count:323
time:41, count:338
time:48, count:32
time:20, count:50
time:10, count:4
