time:2134, count:105
time:173, count:4
time:817, count:61
time:225, count:23
time:205, count:241
time:165, count:57
time:153, count:25
time:164, count:84
time:162, count:44
time:142, count:32
time:133, count:76
time:167, count:130
time:132, count:16
time:210, count:13
time:153, count:44
time:198, count:138
time:131, count:38
time:143, count:66
time:155, count:113
time:119, count:7
time:150, count:20
time:150, count:26
time:143, count:100
time:152, count:52
time:141, count:61
time:143, count:103
time:162, count:241
time:149, count:71
time:144, count:101
time:139, count:2
time:141, count:47
time:145, count:103
time:163, count:64
time:144, count:91
time:142, count:63
time:162, count:49
time:161, count:42
time:144, count:35
time:141, count:40
time:150, count:12
time:124, count:133
time:129, count:10
time:133, count:100
time:122, count:67
time:125, count:181
time:130, count:35
time:149, count:15
time:154, count:146
time:123, count:108
time:140, count:15
time:140, count:27
time:140, count:44
time:140, count:23
time:160, count:241
time:139, count:21
time:143, count:89
time:128, count:15
time:130, count:28
time:139, count:5
time:129, count:17
time:144, count:119
time:144, count:98
time:143, count:66
time:150, count:41
time:122, count:72
time:130, count:48
time:149, count:225
time:139, count:7
time:129, count:30
time:139, count:21
time:130, count:45
time:139, count:25
time:141, count:70
time:139, count:241
time:132, count:95
time:121, count:61
time:109, count:32
time:142, count:77
time:133, count:104
time:149, count:241
time:153, count:80
time:141, count:54
time:109, count:30
time:128, count:21
time:121, count:67
time:152, count:88
time:137, count:2
time:122, count:64
time:139, count:22
time:139, count:27
time:139, count:35
time:129, count:241
time:130, count:41
time:142, count:109
time:146, count:172
time:111, count:23
time:142, count:84
time:141, count:92
time:108, count:12
time:125, count:44
time:184, count:82
time:132, count:71
time:112, count:117
time:139, count:40
time:108, count:20
time:107, count:3
time:148, count:8
time:111, count:94
time:120, count:50
time:145, count:177
time:109, count:22
time:107, count:17
time:128, count:26
time:138, count:7
time:121, count:83
time:112, count:129
time:123, count:127
time:108, count:27
time:130, count:66
time:138, count:12
time:140, count:66
time:140, count:56
time:119, count:47
time:139, count:58
time:108, count:8
time:161, count:57
time:143, count:59
time:147, count:169
time:108, count:2
time:140, count:39
time:119, count:37
time:122, count:92
time:157, count:140
time:110, count:61
time:123, count:115
time:108, count:17
time:138, count:26
time:178, count:19
time:131, count:76
time:138, count:11
time:120, count:46
time:130, count:49
time:141, count:86
time:130, count:72
time:133, count:66
time:120, count:52
time:241, count:20
time:148, count:14
time:133, count:103
time:132, count:103
time:154, count:125
time:113, count:108
time:131, count:69
time:134, count:130
time:128, count:16
time:108, count:6
time:130, count:54
time:143, count:103
time:123, count:108
time:111, count:69
time:130, count:45
time:141, count:70
time:120, count:44
time:138, count:8
time:129, count:14
time:139, count:211
time:109, count:38
time:151, count:28
time:132, count:80
time:144, count:105
time:129, count:2
time:133, count:97
time:135, count:148
time:130, count:51
time:118, count:13
time:116, count:174
time:129, count:27
time:188, count:19
time:109, count:43
time:140, count:61
time:130, count:54
time:138, count:8
time:139, count:31
time:133, count:116
time:128, count:22
time:134, count:141
time:111, count:82
time:121, count:82
time:132, count:90
time:139, count:8
time:140, count:28
time:130, count:48
time:108, count:44
time:130, count:54
time:133, count:106
time:131, count:89
time:114, count:131
time:133, count:116
time:134, count:48
time:131, count:57
time:169, count:135
time:146, count:173
time:126, count:15
time:138, count:50
time:126, count:22
time:127, count:20
time:147, count:38
time:130, count:90
time:132, count:140
time:130, count:82
time:129, count:87
time:120, count:90
time:129, count:65
time:125, count:8
time:127, count:44
time:136, count:1
time:128, count:76
time:130, count:104
time:126, count:5
time:142, count:131
time:126, count:3
time:128, count:68
time:127, count:49
time:128, count:49
time:130, count:83
time:151, count:114
time:115, count:11
time:127, count:40
time:107, count:44
time:138, count:59
time:130, count:91
time:135, count:2
time:147, count:36
time:136, count:12
time:116, count:30
time:115, count:11
time:127, count:27
time:126, count:20
time:118, count:55
time:109, count:66
time:114, count:21
time:128, count:49
time:127, count:55
time:134, count:176
time:127, count:44
time:139, count:74
time:119, count:69
time:126, count:22
time:136, count:15
time:125, count:10
time:110, count:93
time:122, count:50
time:112, count:126
time:125, count:4
time:120, count:86
time:120, count:84
time:129, count:79
time:115, count:7
time:117, count:39
time:128, count:65
time:117, count:39
time:127, count:52
time:129, count:101
time:127, count:47
time:116, count:36
time:109, count:98
time:126, count:30
time:108, count:77
time:141, count:56
time:198, count:72
time:117, count:53
time:109, count:95
time:118, count:88
time:136, count:49
time:128, count:98
time:137, count:53
time:116, count:20
time:126, count:44
time:137, count:52
time:125, count:2
time:146, count:30
time:106, count:48
time:127, count:38
time:108, count:90
time:115, count:23
time:129, count:103
time:116, count:49
time:156, count:24
time:128, count:80
time:125, count:17
time:126, count:25
time:127, count:79
time:137, count:68
time:137, count:55
time:128, count:76
time:172, count:153
time:137, count:56
time:129, count:108
time:145, count:241
time:127, count:49
time:181, count:25
time:107, count:37
time:107, count:48
time:128, count:53
time:139, count:94
time:127, count:30
time:116, count:36
time:114, count:213
time:105, count:1
time:119, count:111
