time:2674, count:6
time:383, count:1
time:425, count:109
time:364, count:332
time:388, count:171
time:356, count:68
time:341, count:5
time:318, count:469
time:311, count:1
time:303, count:49
time:285, count:104
time:320, count:1
time:289, count:8
time:251, count:20
time:220, count:2
time:320, count:715
time:342, count:633
time:279, count:3
time:272, count:43
time:298, count:163
time:282, count:7
time:354, count:935
time:311, count:4
time:306, count:118
time:307, count:160
time:300, count:17
time:285, count:120
time:322, count:69
time:295, count:151
time:261, count:37
time:218, count:2
time:299, count:1
time:268, count:9
time:289, count:1
time:273, count:301
time:250, count:21
time:254, count:93
time:249, count:9
time:251, count:55
time:251, count:227
time:322, count:62
time:282, count:77
time:288, count:501
time:295, count:724
time:260, count:210
time:223, count:84
time:228, count:11
time:309, count:477
time:259, count:7
time:308, count:1
time:279, count:319
time:306, count:547
time:252, count:53
time:271, count:48
time:253, count:101
time:240, count:49
time:230, count:53
time:241, count:60
time:248, count:19
time:246, count:135
time:268, count:12
time:252, count:66
time:250, count:22
time:243, count:102
time:258, count:25
time:225, count:137
time:218, count:12
time:272, count:83
time:288, count:6
time:233, count:116
time:269, count:12
time:336, count:1069
time:267, count:164
time:262, count:55
time:217, count:29
time:242, count:74
time:258, count:12
time:278, count:12
time:219, count:39
time:218, count:12
time:249, count:222
time:284, count:687
time:199, count:23
time:242, count:61
time:220, count:29
time:219, count:18
time:261, count:245
time:229, count:23
time:245, count:87
time:270, count:1142
time:238, count:9
time:306, count:105
time:239, count:46
time:248, count:26
time:280, count:169
time:296, count:323
time:309, count:341
time:289, count:32
time:271, count:50
time:201, count:5
time:316, count:101
time:236, count:6
time:266, count:143
time:277, count:362
time:314, count:103
time:246, count:11
time:248, count:18
time:291, count:255
time:373, count:259
time:285, count:708
time:258, count:18
time:318, count:1
time:331, count:960
time:291, count:58
time:272, count:293
time:311, count:74
time:297, count:161
time:328, count:711
time:322, count:77
time:278, count:222
time:288, count:17
time:310, count:43
time:298, count:1
time:318, count:202
time:342, count:487
time:272, count:81
time:275, count:89
time:280, count:47
time:255, count:167
time:284, count:134
time:314, count:734
time:273, count:141
time:259, count:68
time:304, count:143
time:375, count:499
time:318, count:4
time:297, count:16
time:241, count:76
time:211, count:84
time:261, count:85
time:278, count:13
time:288, count:31
time:287, count:2
time:293, count:128
time:259, count:53
time:257, count:19
time:251, count:712
time:306, count:196
time:373, count:32
time:303, count:312
time:323, count:117
time:251, count:105
time:255, count:172
time:247, count:1
time:298, count:33
time:267, count:226
time:302, count:77
time:318, count:8
time:307, count:6
time:296, count:165
time:348, count:34
time:314, count:142
time:277, count:1
time:290, count:53
time:217, count:39
time:221, count:94
time:229, count:242
time:292, count:778
time:257, count:1
time:313, count:107
time:328, count:542
time:268, count:32
time:291, count:299
time:247, count:7
time:258, count:31
time:258, count:17
time:258, count:40
time:249, count:248
time:283, count:120
time:278, count:227
time:251, count:79
time:277, count:7
time:275, count:407
time:307, count:6
time:277, count:2
time:267, count:6
time:295, count:395
time:256, count:2
time:279, count:44
time:237, count:20
time:259, count:17
time:248, count:24
time:206, count:153
time:264, count:353
time:243, count:149
time:227, count:4
time:268, count:22
time:239, count:48
time:338, count:26
time:310, count:54
time:351, count:83
time:313, count:100
time:301, count:75
time:268, count:415
time:208, count:20
time:245, count:383
time:273, count:118
time:278, count:14
time:245, count:146
time:278, count:205
time:243, count:109
time:302, count:515
time:283, count:79
time:238, count:33
time:267, count:2
time:233, count:53
time:250, count:69
time:217, count:27
time:266, count:188
time:245, count:175
time:307, count:3
time:280, count:680
time:311, count:882
time:239, count:89
time:338, count:439
time:227, count:2
time:232, count:111
time:254, count:141
time:228, count:24
time:220, count:51
time:290, count:52
time:279, count:29
time:248, count:3
time:218, count:20
time:257, count:5
time:243, count:120
time:320, count:15
time:343, count:759
time:308, count:21
time:317, count:424
time:320, count:283
time:268, count:25
time:261, count:61
time:246, count:1
time:259, count:255
time:309, count:27
time:267, count:10
time:267, count:3
time:268, count:449
time:280, count:77
time:329, count:22
time:321, count:54
time:267, count:3
time:330, count:45
time:240, count:38
time:258, count:3
time:249, count:35
time:208, count:24
time:248, count:29
time:281, count:523
time:322, count:107
time:332, count:490
time:298, count:18
time:268, count:26
time:290, count:671
time:271, count:87
time:227, count:17
time:256, count:4
time:238, count:27
time:238, count:42
time:227, count:2
time:217, count:1
time:252, count:109
time:258, count:256
time:262, count:323
time:254, count:385
time:238, count:9
time:356, count:165
time:277, count:1
time:230, count:49
time:265, count:161
time:267, count:18
time:217, count:1
time:213, count:366
time:250, count:105
time:247, count:4
time:248, count:11
time:273, count:133
time:273, count:135
time:322, count:769
time:297, count:4
time:335, count:79
time:335, count:177
time:348, count:16
time:273, count:129
time:297, count:1
time:315, count:375
time:317, count:231
time:263, count:113
time:237, count:3
time:279, count:5
time:240, count:52
time:237, count:175
time:198, count:12
time:262, count:75
time:284, count:132
time:263, count:120
time:229, count:57
time:216, count:18
time:177, count:28
time:227, count:32
time:407, count:9
time:343, count:353
time:287, count:848
time:268, count:53
time:238, count:59
time:227, count:14
time:236, count:8
time:231, count:77
time:233, count:134
time:233, count:155
time:247, count:10
time:241, count:100
time:267, count:17
time:262, count:538
time:227, count:8
time:210, count:277
time:277, count:3
time:222, count:123
time:242, count:324
time:236, count:1
time:226, count:1
time:267, count:16
time:247, count:3
time:279, count:45
time:269, count:45
time:279, count:261
time:216, count:1
time:242, count:140
time:227, count:3
time:283, count:468
time:269, count:58
time:206, count:1
time:216, count:12
time:219, count:71
time:219, count:79
time:237, count:41
time:228, count:50
time:235, count:3
time:248, count:34
time:236, count:18
time:308, count:1321
time:246, count:215
time:186, count:34
time:238, count:69
time:241, count:105
time:266, count:2
time:245, count:4
time:254, count:151
time:279, count:61
time:257, count:227
time:308, count:258
time:226, count:1
time:234, count:156
time:228, count:61
time:237, count:48
time:277, count:40
time:246, count:3
time:317, count:8
time:286, count:2
time:316, count:5
time:293, count:563
time:268, count:33
time:270, count:56
time:234, count:179
time:188, count:63
time:229, count:24
time:266, count:1
time:245, count:187
time:257, count:37
time:275, count:5
time:286, count:1
time:301, count:305
time:329, count:685
time:338, count:24
time:281, count:123
time:226, count:8
time:196, count:38
time:246, count:14
time:260, count:98
time:229, count:70
time:237, count:21
time:238, count:43
time:260, count:34
time:248, count:40
time:279, count:49
time:309, count:67
time:257, count:44
time:332, count:116
time:309, count:57
time:343, count:137
time:357, count:1212
time:279, count:3
time:209, count:1
time:219, count:29
time:218, count:11
time:254, count:126
time:245, count:184
time:300, count:24
time:323, count:77
time:279, count:1
time:260, count:10
time:280, count:15
time:270, count:22
time:239, count:21
time:234, count:136
time:258, count:1
time:249, count:3
time:278, count:1
time:288, count:424
time:231, count:65
time:229, count:14
time:229, count:20
time:271, count:70
time:294, count:340
time:311, count:47
time:269, count:6
time:278, count:219
time:256, count:144
time:261, count:64
time:268, count:7
time:248, count:3
time:259, count:8
time:242, count:54
time:260, count:44
time:275, count:119
time:269, count:1
time:271, count:45
time:219, count:9
time:204, count:99
time:209, count:1
time:236, count:133
time:239, count:11
time:235, count:72
time:248, count:4
time:250, count:36
time:269, count:187
time:304, count:493
time:290, count:44
time:240, count:29
time:249, count:2
time:301, count:45
time:203, count:110
time:178, count:3
time:242, count:66
time:280, count:15
time:242, count:93
time:218, count:15
time:249, count:19
time:238, count:10
time:339, count:236
time:300, count:22
time:288, count:181
time:253, count:96
time:243, count:80
time:239, count:1
time:227, count:12
time:240, count:26
time:230, count:28
time:248, count:1
time:254, count:104
time:228, count:3
time:269, count:1
time:256, count:147
time:299, count:392
time:325, count:108
time:280, count:24
time:270, count:7
time:279, count:15
time:254, count:107
time:280, count:30
time:281, count:48
time:229, count:1
time:269, count:203
time:259, count:6
time:263, count:61
time:228, count:6
time:249, count:27
time:229, count:20
time:239, count:2
time:273, count:610
time:272, count:265
time:247, count:382
time:289, count:2
time:252, count:53
time:238, count:1
time:253, count:287
time:261, count:69
time:294, count:973
time:240, count:21
total:, average count:128.94
time:291, count:6
time:296, count:1
time:260, count:109
time:300, count:332
time:283, count:171
time:289, count:68
time:307, count:5
time:285, count:469
time:236, count:1
time:258, count:49
time:295, count:104
time:257, count:1
time:226, count:8
time:206, count:20
time:226, count:2
time:265, count:715
time:271, count:633
time:255, count:3
time:228, count:43
time:272, count:163
time:316, count:7
time:292, count:935
time:251, count:4
time:290, count:118
time:291, count:160
time:246, count:17
time:239, count:120
time:290, count:69
time:280, count:151
time:205, count:37
time:255, count:2
time:255, count:1
time:265, count:9
time:265, count:1
time:277, count:301
time:227, count:21
time:211, count:93
time:215, count:9
time:227, count:55
time:264, count:227
time:247, count:62
time:277, count:77
time:295, count:501
time:324, count:724
time:223, count:210
time:228, count:84
time:286, count:11
time:263, count:477
time:266, count:7
time:255, count:1
time:257, count:319
time:267, count:547
time:267, count:53
time:257, count:48
time:257, count:101
time:236, count:49
time:197, count:53
time:197, count:60
time:296, count:19
time:241, count:135
time:276, count:12
time:269, count:66
time:245, count:22
time:220, count:102
time:256, count:25
time:230, count:137
time:236, count:12
time:238, count:83
time:244, count:6
time:249, count:116
time:266, count:12
time:297, count:1069
time:312, count:164
time:227, count:55
time:236, count:29
time:208, count:74
time:246, count:12
time:215, count:12
time:216, count:39
time:195, count:12
time:204, count:222
time:252, count:687
time:206, count:23
time:197, count:61
time:266, count:29
time:225, count:18
time:256, count:245
time:215, count:23
time:209, count:87
time:272, count:1142
time:246, count:9
time:252, count:105
time:227, count:46
time:256, count:26
time:252, count:169
time:267, count:323
time:258, count:341
time:236, count:32
time:237, count:50
time:194, count:5
time:241, count:101
time:256, count:6
time:232, count:143
time:250, count:362
time:269, count:103
time:245, count:11
time:246, count:18
time:278, count:255
time:266, count:259
time:275, count:708
time:227, count:18
time:337, count:1
time:326, count:960
time:278, count:58
time:288, count:293
time:278, count:74
time:281, count:161
time:305, count:711
time:248, count:77
time:265, count:222
time:276, count:17
time:268, count:43
time:346, count:1
time:266, count:202
time:316, count:487
time:330, count:81
time:300, count:89
time:267, count:47
time:262, count:167
time:251, count:134
time:297, count:734
time:231, count:141
time:227, count:68
time:261, count:143
time:327, count:499
time:276, count:4
time:277, count:16
time:209, count:76
time:199, count:84
time:240, count:85
time:266, count:13
time:267, count:31
time:296, count:2
time:261, count:128
time:248, count:53
time:226, count:19
time:245, count:712
time:304, count:196
time:338, count:32
time:308, count:312
time:341, count:117
time:230, count:105
time:293, count:172
time:266, count:1
time:267, count:33
time:254, count:226
time:268, count:77
time:286, count:8
time:327, count:6
time:294, count:165
time:277, count:34
time:260, count:142
time:306, count:1
time:261, count:53
time:237, count:39
time:210, count:94
time:274, count:242
time:307, count:778
time:277, count:1
time:281, count:107
